de_Subject,de_Predicate,de_Object,Triple_ID
untergrabene Bestimmung,verfugbar sein,vollstandiger Teil,directive_(eu)_2016_1919_en.txt
-,Ist,in der Richtlinie,directive_(eu)_2016_1919_en.txt
wo Anfrage,enthalten,Rechtshilfe,directive_(eu)_2016_1919_en.txt
Daten,gesammelt,gesuchte Personen,directive_(eu)_2016_1919_en.txt
29 Richtlinie,gelten,Rechtsstellung,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,respektieren,als Rasse,directive_(eu)_2016_1919_en.txt
Richtlinie,halt an,der Verteidigung,directive_(eu)_2016_1919_en.txt
Richtlinie,Implementiert in,mit Rechten,directive_(eu)_2016_1919_en.txt
30 Richtlinie,legt,Mindestregeln,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,in der Lage sein,des Schutzes,directive_(eu)_2016_1919_en.txt
Mindestregeln,bilden,Das,directive_(eu)_2016_1919_en.txt
eben,unterschreiten,ecthr,directive_(eu)_2016_1919_en.txt
Union,adoptieren,zur Europaischen Union,directive_(eu)_2016_1919_en.txt
daruber hinaus,weitergehen,Ziel erreichen,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,nehmen,seine Anwendung,directive_(eu)_2016_1919_en.txt
Danemark,nehmen,Richtlinie,directive_(eu)_2016_1919_en.txt
b wer,legt,zum Rahmenbeschluss,directive_(eu)_2016_1919_en.txt
Richtlinie,Erganzungen,Richtlinien,directive_(eu)_2016_1919_en.txt
Nichts,Interpretiert als,in Richtlinien,directive_(eu)_2016_1919_en.txt
WHO,2,der Kriminalitat,directive_(eu)_2016_1919_en.txt
WHO,gilt,EU .,directive_(eu)_2016_1919_en.txt
WHO,gilt,Strafverfolgungsbehorde,directive_(eu)_2016_1919_en.txt
Richtlinie,gilt,Strafsachen,directive_(eu)_2016_1919_en.txt
wenn Entscheidung,gilt,des Verfahrens,directive_(eu)_2016_1919_en.txt
Rechtshilfe,bedeutet,zum Anwalt,directive_(eu)_2016_1919_en.txt
wenn Interessen,Artikel,der Gerechtigkeit,directive_(eu)_2016_1919_en.txt
rechtliche Verdienstbeihilfe,anwenden,mit Absatz,directive_(eu)_2016_1919_en.txt
verdachtig,hineinnehmen,des Anwalts,directive_(eu)_2016_1919_en.txt
Interessen bestimmen,hineinnehmen,rechtliche Hilfe benotigen,directive_(eu)_2016_1919_en.txt
wo verdachtig,als angesehen,b Inhaftierung,directive_(eu)_2016_1919_en.txt
Ermittlungshandlungen,sicherstellen,des Artikels,directive_(eu)_2016_1919_en.txt
Person,gewahrt,Straftat begangen,directive_(eu)_2016_1919_en.txt
-,Artikel,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt
Rechtshilfe,sicherstellen,zur Gerechtigkeit,directive_(eu)_2016_1919_en.txt
4(3 welche,Gegenstand sein,mutatis mutandis,directive_(eu)_2016_1919_en.txt
-,-,Rechtshilfe,directive_(eu)_2016_1919_en.txt
Entscheidungen,gemacht,zustandige Behorde,directive_(eu)_2016_1919_en.txt
zustandige Behorde,angemessen nehmen,der Verteidigung,directive_(eu)_2016_1919_en.txt
ihre Bitte,nehmen notwendig,vollstandiger Teil,directive_(eu)_2016_1919_en.txt
-,Artikel,Rechtshilfedienste,directive_(eu)_2016_1919_en.txt
Rechtshilfedienste,nehmen notwendig,Anwaltschaft,directive_(eu)_2016_1919_en.txt
angemessene Ausbildung,sicherstellen,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,angemessen nehmen,Rechtshilfedienste,directive_(eu)_2016_1919_en.txt
bestimmte ersetzte Umstande,nehmen,zu ihnen,directive_(eu)_2016_1919_en.txt
Verdachtige,sicherstellen,unter Weisung,directive_(eu)_2016_1919_en.txt
besondere Bedurfnisse,sicherstellen,der Richtlinie,directive_(eu)_2016_1919_en.txt
wie Rechte,.,in der Richtlinie,directive_(eu)_2016_1919_en.txt
danach Provision,einreichen,Rat,directive_(eu)_2016_1919_en.txt
Kommission,bewerten,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt
welche,ausgelegt als,des Schutzes,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,bringen in,25. Mai,directive_(eu)_2016_1919_en.txt
Sie,informieren,sofort in Auftrag geben,directive_(eu)_2016_1919_en.txt
Sie,enthalten,offizielle Veroffentlichung,directive_(eu)_2016_1919_en.txt
Methoden,gelegt,Mitgliedsstaaten,directive_(eu)_2016_1919_en.txt
Sie,kommunizieren,abgedeckte Richtlinie,directive_(eu)_2016_1919_en.txt
Richtlinie,eintreten in,der Europaischen Union,directive_(eu)_2016_1919_en.txt
14 Adressaten,adressiert an,mit Vertragen,directive_(eu)_2016_1919_en.txt
-,erledigt bei,in Strassburg,directive_(eu)_2016_1919_en.txt
-,Prasident,fur den Rat,directive_(eu)_2016_1919_en.txt
-,Prasident,-,directive_(eu)_2016_1919_en.txt
1 Vermutung,Richtlinien,der Menschenrechte,directive_(eu)_2016_343_en.txt
2 Gewerkschaft,Satz,der Freiheit,directive_(eu)_2016_343_en.txt
gegenseitige Anerkennung,erleichtern,Individual Rechte,directive_(eu)_2016_343_en.txt
Prinzip,werden,innerhalb der Gewerkschaft,directive_(eu)_2016_343_en.txt
justizielle Zusammenarbeit,Ist,von Urteilen,directive_(eu)_2016_343_en.txt
-,C,-,directive_(eu)_2016_343_en.txt
-,Position von,der Europaischen Union,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,beruht auf,Strafjustizsysteme,directive_(eu)_2016_343_en.txt
welche,ist abhangig,aus Prinzip,directive_(eu)_2016_343_en.txt
Das,gezeigt,andere Mitgliedsstaaten,directive_(eu)_2016_343_en.txt
Rat 2009,.,1 Roadmap,directive_(eu)_2016_343_en.txt
Angeklagter wer,fordert,fur Massnahmenverdachtige,directive_(eu)_2016_343_en.txt
Es,begrusst,im Dienste der Burger,directive_(eu)_2016_343_en.txt
andere Probleme,unterstrichen,im Bereich,directive_(eu)_2016_343_en.txt
drei Massnahmen,8),Rat,directive_(eu)_2016_343_en.txt
9 Zweck,Ist,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
angeklagte Weisung,Ziele,Strafsachen,directive_(eu)_2016_343_en.txt
gemeinsame Mindestregeln,entfernen,der Mitgliedstaaten,directive_(eu)_2016_343_en.txt
11 Richtlinie,anwenden,der Menschenrechte,directive_(eu)_2016_343_en.txt
wo letzteres,gelten fur zivil,solche Verfahren,directive_(eu)_2016_343_en.txt
WHO,gelten fur naturliche,Strafverfahren,directive_(eu)_2016_343_en.txt
Er,Bewerben Sie sich ab,offizielle Mitteilung,directive_(eu)_2016_343_en.txt
verdachtige Person,Bewerben Sie sich unter,Straftat begangen,directive_(eu)_2016_343_en.txt
verfugbar nur verfugbare Entscheidung,innerhalb fallen,der Richtlinie,directive_(eu)_2016_343_en.txt
-,Richtlinie,Strafverfahren,directive_(eu)_2016_343_en.txt
dritte Seite,Richtlinie,der Freiheit,directive_(eu)_2016_343_en.txt
13 Richtlinie,erkennt an,naturliche Personen,directive_(eu)_2016_343_en.txt
solchen Schutz,spiegelt sich in etablierten wider,der Menschenrechte,directive_(eu)_2016_343_en.txt
Sie,anerkannt,naturliche Personen,directive_(eu)_2016_343_en.txt
Es,ist verfruht,juristische Personen,directive_(eu)_2016_343_en.txt
Richtlinie,gelten fur legal,juristische Personen,directive_(eu)_2016_343_en.txt
Das,ohne sein,juristische Personen,directive_(eu)_2016_343_en.txt
Fallentwicklung,gewahrleistet durch,fur Gewerkschaftsaktionen,directive_(eu)_2016_343_en.txt
so lange Person,verletzt,zum Gesetz,directive_(eu)_2016_343_en.txt
Person,reflektieren,keine Meinung,directive_(eu)_2016_343_en.txt
gewahrte Rechte,ohne sein,der Verteidigung,directive_(eu)_2016_343_en.txt
solche Entscheidungen,ohne sein,verdachtige Person verweisen,directive_(eu)_2016_343_en.txt
betroffene Entscheidung,haben,zu Elementen,directive_(eu)_2016_343_en.txt
habe das verstanden,verstanden,bezuglich der Immunitat,directive_(eu)_2016_343_en.txt
bei Strafverfolgung,Offentlichkeit verhindern,Storung der offentlichen Ordnung,directive_(eu)_2016_343_en.txt
Das,beschrankt auf,berucksichtigen,directive_(eu)_2016_343_en.txt
"ist schuldig, er",erstellen,zum Gesetz,directive_(eu)_2016_343_en.txt
so lange Personen,angemessen nehmen,zum Gesetz,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,Offentlichkeit informieren,zu den Medien,directive_(eu)_2016_343_en.txt
Das,ohne sein,der Presse,directive_(eu)_2016_343_en.txt
Beingebrauch,davon Abstand nehmen,als Zeugen,directive_(eu)_2016_343_en.txt
kompetente Autoritaten,implizieren,solche Massnahmen,directive_(eu)_2016_343_en.txt
-,-,der Europaischen Union,directive_(eu)_2016_343_en.txt
Personen,davon Abstand nehmen,Eindruck vermeiden,directive_(eu)_2016_343_en.txt
zweifeln,ist eingeschaltet,verdachtig,directive_(eu)_2016_343_en.txt
Last,verletzt,verdachtige Person,directive_(eu)_2016_343_en.txt
bedeutet,auf das Zumutbare beschrankt,"legitimes, verhaltnismassiges Ziel",directive_(eu)_2016_343_en.txt
wo Rechte,widerlegbar sein,der Verteidigung,directive_(eu)_2016_343_en.txt
nur Strafverfolgung,geladen mit,belastende Suche nach Beweisen,directive_(eu)_2016_343_en.txt
stellte es zur Verfugung,in der Lage sein,Gewerkschaftsrecht,directive_(eu)_2016_343_en.txt
24 richtig,Ist,aus Selbstbeschuldigung,directive_(eu)_2016_343_en.txt
25 richtig,Ist,der Unschuld,directive_(eu)_2016_343_en.txt
welche,gezwungen,zur Selbstbeschuldigung,directive_(eu)_2016_343_en.txt
Person,gelten,verdachtige Person,directive_(eu)_2016_343_en.txt
Personen,implizieren,Angeklagte Informationen,directive_(eu)_2016_343_en.txt
inter verletzte Pratation,hineingebracht,berucksichtigen,directive_(eu)_2016_343_en.txt
Person,gegen eingesetzt,Straftat,directive_(eu)_2016_343_en.txt
welche,verhindern,von DNA-Tests,directive_(eu)_2016_343_en.txt
stellte dies zur Verfugung,ausschliessen,fairer Prozess,directive_(eu)_2016_343_en.txt
Es,halten,mit Direktive,directive_(eu)_2016_343_en.txt
33 richtig,Ist,demokratische Gesellschaft,directive_(eu)_2016_343_en.txt
Rechts,bezogen auf,in der gesamten Union,directive_(eu)_2016_343_en.txt
Sie,haben,nationales Gesetz,directive_(eu)_2016_343_en.txt
35 richtig,Ist,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
Verdachtige,in der Lage sein,fahig ausdrucklich fahig Recht,directive_(eu)_2016_343_en.txt
gerade Person,moglich sein,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
wo verdachtig,Sei,des Nichterscheinens,directive_(eu)_2016_343_en.txt
Das,verstanden,sich der bewussten Prufung bewusst,directive_(eu)_2016_343_en.txt
reichte ihm,verstanden,vor Gericht,directive_(eu)_2016_343_en.txt
WHO,moglich sein,verdachtige Person,directive_(eu)_2016_343_en.txt
besondere Aufmerksamkeit,bezahlt um,zu ihm,directive_(eu)_2016_343_en.txt
floh davor,moglich sein,Entscheidung,directive_(eu)_2016_343_en.txt
nahm sie fest,sicherstellen,Rechtsmittel,directive_(eu)_2016_343_en.txt
solch eine Information,bereitgestellt in,schriftlich,directive_(eu)_2016_343_en.txt
Information,bereitgestellt,nationales Gesetz,directive_(eu)_2016_343_en.txt
wo dies,erlaubt,Strafverfahren,directive_(eu)_2016_343_en.txt
Gegenwart,Sei,des Zeugen,directive_(eu)_2016_343_en.txt
eine Anhorung,ausgeubt,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
Es gelten die nationalen Vorschriften,bedeutet,zum Horen,directive_(eu)_2016_343_en.txt
nationale Vorschriften,entsprechen,fairer Prozess,directive_(eu)_2016_343_en.txt
Horen,Ist,in welchem,directive_(eu)_2016_343_en.txt
besondere Bedurfnisse,sicherstellen,berucksichtigt,directive_(eu)_2016_343_en.txt
mental sie,verstanden,zu ihrem Alter,directive_(eu)_2016_343_en.txt
43 Kinder,sind verletzlich,des Schutzes,directive_(eu)_2016_343_en.txt
Verfahrensgarantien,gegrundet,in der Richtlinie,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,erfordert,Gewerkschaftsrecht,directive_(eu)_2016_343_en.txt
Verstoss,haben,der Verteidigung,directive_(eu)_2016_343_en.txt
Gerichte,respektieren,des Verfahrens,directive_(eu)_2016_343_en.txt
Verfahren durchfuhren,musste,als Ganzes,directive_(eu)_2016_343_en.txt
Stellungnahme,aufgerufen als,als Beweis,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,Versand moglich,Kommission,directive_(eu)_2016_343_en.txt
solche Daten,enthalten,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
47 Richtlinie,halt an,der Verteidigung,directive_(eu)_2016_343_en.txt
Sie,hatte,des Gewerkschaftsrechts,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,in der Lage sein,des Schutzes,directive_(eu)_2016_343_en.txt
eben,unterschreiten,der Menschenrechte,directive_(eu)_2016_343_en.txt
Union,adoptieren,5 Tage,directive_(eu)_2016_343_en.txt
daruber hinaus,weitergehen,Ziele erreichen,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,nehmen,seine Anwendung,directive_(eu)_2016_343_en.txt
Danemark,nehmen,Richtlinie,directive_(eu)_2016_343_en.txt
Richtlinie,legt,Strafverfahren,directive_(eu)_2016_343_en.txt
WHO,gilt fur naturlich,Strafverfahren,directive_(eu)_2016_343_en.txt
der Person,gilt bei,Straftat begangen,directive_(eu)_2016_343_en.txt
Verdachtige,sicherstellen,zum Gesetz,directive_(eu)_2016_343_en.txt
offentliche Ausserungen,nehmen,verweisen auf die verweisende Person,directive_(eu)_2016_343_en.txt
welche,ohne sein,auf Verdacht,directive_(eu)_2016_343_en.txt
angemessene Massnahmen,sicherstellen,bestimmten Artikel,directive_(eu)_2016_343_en.txt
Verpflichtung,Offentlichkeit verhindern,offentliches Interesse,directive_(eu)_2016_343_en.txt
Verdachtige sicherstellen,Artikel,korperliche Zuruckhaltung,directive_(eu)_2016_343_en.txt
Das,verhindern,Dritte Personen,directive_(eu)_2016_343_en.txt
Last,sicherstellen,ist eingeschaltet ist Strafverfolgung,directive_(eu)_2016_343_en.txt
Das,ohne sein,nationales Gesetz,directive_(eu)_2016_343_en.txt
beurteilt die Person,sicherstellen,Verdachtiger ist eine Person,directive_(eu)_2016_343_en.txt
Sie,sicherstellen,Das,directive_(eu)_2016_343_en.txt
Verdachtige,sicherstellen,belasten sich selbst,directive_(eu)_2016_343_en.txt
welche,verhindern,von Verdachtigen,directive_(eu)_2016_343_en.txt
Justizbehorden,erlauben,von Verdachtigen,directive_(eu)_2016_343_en.txt
nicht sie,gegen eingesetzt,Straftat,directive_(eu)_2016_343_en.txt
-,Rechts,bei der aktuellen Verhandlung anwesend,directive_(eu)_2016_343_en.txt
Verdachtige,sicherstellen,ihren gegenwartigen Prozess,directive_(eu)_2016_343_en.txt
WHO,bieten,Zustand,directive_(eu)_2016_343_en.txt
welche,gegen durchgesetzt,gegen Person,directive_(eu)_2016_343_en.txt
angemessene Anstrengungen,sorgen fur,des Artikels,directive_(eu)_2016_343_en.txt
Entscheidung,bieten,-,directive_(eu)_2016_343_en.txt
nahm sie fest,sicherstellen,mit Artikel,directive_(eu)_2016_343_en.txt
stellte dies zur Verfugung,ohne sein,fairer Prozess,directive_(eu)_2016_343_en.txt
ursprungliche Entscheidung,sicherstellen,neue Beweise,directive_(eu)_2016_343_en.txt
Verdachtige,sicherstellen,der Verteidigung,directive_(eu)_2016_343_en.txt
Ihre Rechte,sicherstellen,unter Weisung,directive_(eu)_2016_343_en.txt
Rechte,sicherstellen,des Verfahrens,directive_(eu)_2016_343_en.txt
wie Rechte,Bericht,in der Richtlinie,directive_(eu)_2016_343_en.txt
Kommission,einreichen,der Richtlinie,directive_(eu)_2016_343_en.txt
welche,ausgelegt als,des Schutzes,directive_(eu)_2016_343_en.txt
Mitgliedsstaaten,bringen in,1. April,directive_(eu)_2016_343_en.txt
Sie,informieren,sofort in Auftrag geben,directive_(eu)_2016_343_en.txt
Sie,enthalten,offizielle Veroffentlichung,directive_(eu)_2016_343_en.txt
Methoden,gelegt,Mitgliedsstaaten,directive_(eu)_2016_343_en.txt
Sie,kommunizieren,abgedeckte Richtlinie,directive_(eu)_2016_343_en.txt
Richtlinie,eintreten in,der Europaischen Union,directive_(eu)_2016_343_en.txt
16 Adressaten,adressiert an,mit Vertragen,directive_(eu)_2016_343_en.txt
-,erledigt bei,in Strassburg,directive_(eu)_2016_343_en.txt
-,Prasident,fur den Rat,directive_(eu)_2016_343_en.txt
WHO,Richtlinien,sozial - beleidigende Integration,directive_(eu)_2016_800_en.txt
angeklagte Weisung,Ziele,Strafsachen,directive_(eu)_2016_800_en.txt
Mindestregeln,entfernen,der Mitgliedstaaten,directive_(eu)_2016_800_en.txt
Das,gezeigt,andere Mitgliedsstaaten,directive_(eu)_2016_800_en.txt
Rat 2009,angenommen,3 Roadmap,directive_(eu)_2016_800_en.txt
WHO,fordert,mutmassliche Massnahmenpersonen,directive_(eu)_2016_800_en.txt
Roadmap,betont,1 jj c,directive_(eu)_2016_800_en.txt
-,Position von,21. April,directive_(eu)_2016_800_en.txt
-,C,-,directive_(eu)_2016_800_en.txt
also bezeichnend dafur,-,mit Prioritaten,directive_(eu)_2016_800_en.txt
seine Vorteile,erfahren in,als Ganzes entworfen,directive_(eu)_2016_800_en.txt
Es,begrusst,im Dienste der Burger,directive_(eu)_2016_800_en.txt
andere Probleme,unterstrichen,im Bereich,directive_(eu)_2016_800_en.txt
vier Massnahmen,angenommen gem,des Europaischen Parlaments,directive_(eu)_2016_800_en.txt
7 Richtlinie,fordert,freundliche Gerechtigkeit,directive_(eu)_2016_800_en.txt
Interesse,sicherstellen,der Europaischen Union,directive_(eu)_2016_800_en.txt
WHO,insbesondere gegeben,in die Gesellschaft,directive_(eu)_2016_800_en.txt
WHO,gelten,Kinder,directive_(eu)_2016_800_en.txt
einschlagigen Bestimmungen,Bewerben Sie sich ab,ausfuhrender Mitgliedstaat,directive_(eu)_2016_800_en.txt
wo Anwendung,gelten,der Person,directive_(eu)_2016_800_en.txt
welche,ermutigt,vom 18,directive_(eu)_2016_800_en.txt
solche Beweise,bestimmen,Zivilstand,directive_(eu)_2016_800_en.txt
medizinische Untersuchung,getragen,Kinderrechte,directive_(eu)_2016_800_en.txt
Person,vermutet,der Richtlinie,directive_(eu)_2016_800_en.txt
-,Richtlinie,Strafverfahren,directive_(eu)_2016_800_en.txt
dritte Seite,Richtlinie,Konsularbehorden,directive_(eu)_2016_800_en.txt
-,Entscheidung,zwischen den Mitgliedsstaaten,directive_(eu)_2016_800_en.txt
14 Richtlinie,bewerben in,geringe Vergehen,directive_(eu)_2016_800_en.txt
WHO,anwenden,der Freiheit,directive_(eu)_2016_800_en.txt
Behorde,hat,geringe Vergehen,directive_(eu)_2016_800_en.txt
welche,Sei,nach der Verkehrskontrolle,directive_(eu)_2016_800_en.txt
zustandige unvernunftige Behorden,unvernunftig sein,unter Weisung,directive_(eu)_2016_800_en.txt
Richtlinie,anwenden,nach Berufung,directive_(eu)_2016_800_en.txt
geringe Vergehen,berucksichtigt,kommunale Vorschriften,directive_(eu)_2016_800_en.txt
Richtlinie,anwenden,Strafsachen,directive_(eu)_2016_800_en.txt
17 Richtlinie,anwenden,Strafverfahren,directive_(eu)_2016_800_en.txt
welche,auf andere anwenden,Schutzmassnahmen,directive_(eu)_2016_800_en.txt
18 Richtlinie,umgesetzt,von Richtlinien,directive_(eu)_2016_800_en.txt
Richtlinie,sorgt fur weiteres,von Kindern,directive_(eu)_2016_800_en.txt
19 Kinder,erhalten,des Verfahrens,directive_(eu)_2016_800_en.txt
weit davon entfernt,gegeben,von Behorden,directive_(eu)_2016_800_en.txt
Information,darauf ankommen,des Falles,directive_(eu)_2016_800_en.txt
wo messen,erhalten,zum Kind,directive_(eu)_2016_800_en.txt
Brief,klar einschliessen,unter Weisung,directive_(eu)_2016_800_en.txt
22 Mitgliedstaaten,informieren,schriftlich,directive_(eu)_2016_800_en.txt
Information,bereitgestellt,des Kindes,directive_(eu)_2016_800_en.txt
Information,zur Verfugung gestellt,zustandige Behorde,directive_(eu)_2016_800_en.txt
mit Halter,Ist,mit Kind,directive_(eu)_2016_800_en.txt
welche,zur Verfugung gestellt,elterliche Verantwortung,directive_(eu)_2016_800_en.txt
Erfordernis,verlangern,Strafverfahren,directive_(eu)_2016_800_en.txt
WHO,haben,mit Direktive,directive_(eu)_2016_800_en.txt
Sie,assistiert von,in der Richtlinie,directive_(eu)_2016_800_en.txt
wo Kind,arrangieren,solche Hilfe,directive_(eu)_2016_800_en.txt
sorgen Sie fur das notige Kind,legal bereitstellen,effektiv unterstutzter Anwalt,directive_(eu)_2016_800_en.txt
Kind,setzt voraus,unter Weisung,directive_(eu)_2016_800_en.txt
eine solche Bestimmung,gelten,/ EU,directive_(eu)_2016_800_en.txt
Ausnahmen,beeintrachtigen,nationales Gewerkschaftsrecht,directive_(eu)_2016_800_en.txt
Sie,ohne Unrecht anwenden,aufmerksam gemacht,directive_(eu)_2016_800_en.txt
Hilfe,bedeutet legal,Strafverfahren,directive_(eu)_2016_800_en.txt
Rechtsanwalt,anwesend sein,wahrend der Befragung,directive_(eu)_2016_800_en.txt
Hilfe,erfordern,Beweise vorhanden Akt,directive_(eu)_2016_800_en.txt
Untersuchung,enthalten,nationales Gesetz,directive_(eu)_2016_800_en.txt
verdachtiges Kind,haben,der Menschenrechte,directive_(eu)_2016_800_en.txt
wo Kind,macht Express,Strafverfahren,directive_(eu)_2016_800_en.txt
Er,ausgesetzt,mit Direktive,directive_(eu)_2016_800_en.txt
Interesse,in der Lage sein,des Falles,directive_(eu)_2016_800_en.txt
wenn sie,assistiert von,"Na ja, Nachsitzen",directive_(eu)_2016_800_en.txt
Kind erlauben,verhangt als,vor Gericht,directive_(eu)_2016_800_en.txt
Mitgliedsstaaten,in der Lage sein,im Hinblick,directive_(eu)_2016_800_en.txt
Sofortmassnahme,in der Lage sein,Straftat,directive_(eu)_2016_800_en.txt
solche Fragen,in der Lage sein,sich selbst belasten,directive_(eu)_2016_800_en.txt
Das,moglich sein,Strafverfahren,directive_(eu)_2016_800_en.txt
