en_Subject,en_Predicate,en_Object,Triple_ID
member states,ensure,echr,directive_(eu)_2016_1919_en.txt
doing so doing they,respect,in criminal justice systems,directive_(eu)_2016_1919_en.txt
competent authority,decide,grant legal grant aid,directive_(eu)_2016_1919_en.txt
independent that,be,including judge,directive_(eu)_2016_1919_en.txt
so far this,be possible,timely manner,directive_(eu)_2016_1919_en.txt
one way,is,legal representation,directive_(eu)_2016_1919_en.txt
member states,facilitate,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
adequate training,provided,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
that,request,legal aid,directive_(eu)_2016_1919_en.txt
member states,requires,union law,directive_(eu)_2016_1919_en.txt
undermined provision,be available,full part,directive_(eu)_2016_1919_en.txt
-,is,in directive,directive_(eu)_2016_1919_en.txt
where request,include,legal aid,directive_(eu)_2016_1919_en.txt
data,collected,requested persons,directive_(eu)_2016_1919_en.txt
29 directive,apply to,legal status,directive_(eu)_2016_1919_en.txt
member states,respect,as race,directive_(eu)_2016_1919_en.txt
directive,upholds,of defence,directive_(eu)_2016_1919_en.txt
directive,implemented in,with rights,directive_(eu)_2016_1919_en.txt
30 directive,lays,minimum rules,directive_(eu)_2016_1919_en.txt
member states,be able,of protection,directive_(eu)_2016_1919_en.txt
minimum rules,constitute,that,directive_(eu)_2016_1919_en.txt
level,fall below,ecthr,directive_(eu)_2016_1919_en.txt
union,adopt,on european union,directive_(eu)_2016_1919_en.txt
beyond what,go beyond,achieve objective,directive_(eu)_2016_1919_en.txt
member states,taking,its application,directive_(eu)_2016_1919_en.txt
denmark,taking,directive,directive_(eu)_2016_1919_en.txt
b who,lays,to framework decision,directive_(eu)_2016_1919_en.txt
directive,complements,directives,directive_(eu)_2016_1919_en.txt
nothing,interpreted as,in directives,directive_(eu)_2016_1919_en.txt
who,2,of crime,directive_(eu)_2016_1919_en.txt
who,applies,eu .,directive_(eu)_2016_1919_en.txt
who,applies,law enforcement authority,directive_(eu)_2016_1919_en.txt
directive,applies,criminal matters,directive_(eu)_2016_1919_en.txt
when decision,applies,of proceedings,directive_(eu)_2016_1919_en.txt
legal aid,means,to lawyer,directive_(eu)_2016_1919_en.txt
when interests,article,of justice,directive_(eu)_2016_1919_en.txt
legal merits aid,apply,with paragraph,directive_(eu)_2016_1919_en.txt
suspect,take into,of lawyer,directive_(eu)_2016_1919_en.txt
determine interests,take into,require legal require aid,directive_(eu)_2016_1919_en.txt
where suspect,deemed,b detention,directive_(eu)_2016_1919_en.txt
investigative acts,ensure,of article,directive_(eu)_2016_1919_en.txt
person,granted,criminal committed offence,directive_(eu)_2016_1919_en.txt
-,article,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
legal aid,ensure,to justice,directive_(eu)_2016_1919_en.txt
4(3 which,be subject,mutatis mutandis,directive_(eu)_2016_1919_en.txt
-,-,legal aid,directive_(eu)_2016_1919_en.txt
decisions,made,competent authority,directive_(eu)_2016_1919_en.txt
competent authority,take appropriate,of defence,directive_(eu)_2016_1919_en.txt
their request,take necessary,full part,directive_(eu)_2016_1919_en.txt
-,article,legal aid services,directive_(eu)_2016_1919_en.txt
legal aid services,take necessary,legal profession,directive_(eu)_2016_1919_en.txt
adequate training,ensure,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
member states,take appropriate,legal aid services,directive_(eu)_2016_1919_en.txt
specific replaced circumstances,take,to them,directive_(eu)_2016_1919_en.txt
suspects,ensure,under directive,directive_(eu)_2016_1919_en.txt
particular needs,ensure,of directive,directive_(eu)_2016_1919_en.txt
how rights,.,in directive,directive_(eu)_2016_1919_en.txt
thereafter commission,submit,council,directive_(eu)_2016_1919_en.txt
commission,assess,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
which,construed as,of protection,directive_(eu)_2016_1919_en.txt
member states,bring into,25 may,directive_(eu)_2016_1919_en.txt
they,inform,immediately commission,directive_(eu)_2016_1919_en.txt
they,contain,official publication,directive_(eu)_2016_1919_en.txt
methods,laid,member states,directive_(eu)_2016_1919_en.txt
they,communicate to,covered directive,directive_(eu)_2016_1919_en.txt
directive,enter into,of european union,directive_(eu)_2016_1919_en.txt
14 addressees,addressed to,with treaties,directive_(eu)_2016_1919_en.txt
-,done at,at strasbourg,directive_(eu)_2016_1919_en.txt
-,president,for council,directive_(eu)_2016_1919_en.txt
-,president,-,directive_(eu)_2016_1919_en.txt
1 presumption,directives,of human rights,directive_(eu)_2016_343_en.txt
2 union,set,of freedom,directive_(eu)_2016_343_en.txt
mutual recognition,facilitate,individual rights,directive_(eu)_2016_343_en.txt
principle,become,within union,directive_(eu)_2016_343_en.txt
judicial cooperation,is,of judgments,directive_(eu)_2016_343_en.txt
-,c,-,directive_(eu)_2016_343_en.txt
-,position of,of european union,directive_(eu)_2016_343_en.txt
member states,relies on,criminal justice systems,directive_(eu)_2016_343_en.txt
which,is dependent,of principle,directive_(eu)_2016_343_en.txt
this,shown,other member states,directive_(eu)_2016_343_en.txt
2009 council,.,1 roadmap,directive_(eu)_2016_343_en.txt
accused who,calls for,for measure suspects,directive_(eu)_2016_343_en.txt
it,welcomed,serving citizens,directive_(eu)_2016_343_en.txt
other issues,underlined,in area,directive_(eu)_2016_343_en.txt
three measures,8),council,directive_(eu)_2016_343_en.txt
9 purpose,is,present at present trial,directive_(eu)_2016_343_en.txt
accused directive,aims,criminal matters,directive_(eu)_2016_343_en.txt
common minimum rules,remove,of member states,directive_(eu)_2016_343_en.txt
11 directive,apply,of human rights,directive_(eu)_2016_343_en.txt
where latter,apply to civil,such proceedings,directive_(eu)_2016_343_en.txt
who,apply to natural,criminal proceedings,directive_(eu)_2016_343_en.txt
he,apply from,official notification,directive_(eu)_2016_343_en.txt
suspect person,apply at,criminal committed offence,directive_(eu)_2016_343_en.txt
available only available decision,fall within,of directive,directive_(eu)_2016_343_en.txt
-,directive,criminal proceedings,directive_(eu)_2016_343_en.txt
third party,directive,of liberty,directive_(eu)_2016_343_en.txt
13 directive,acknowledges,natural persons,directive_(eu)_2016_343_en.txt
such protection,reflected in wellestablished,of human rights,directive_(eu)_2016_343_en.txt
they,recognised,natural persons,directive_(eu)_2016_343_en.txt
it,is premature,legal persons,directive_(eu)_2016_343_en.txt
directive,apply to legal,legal persons,directive_(eu)_2016_343_en.txt
this,be without,legal persons,directive_(eu)_2016_343_en.txt
case evolution,ensured by,for union action,directive_(eu)_2016_343_en.txt
as long person,violated,to law,directive_(eu)_2016_343_en.txt
person,reflect,not opinion,directive_(eu)_2016_343_en.txt
provided rights,be without,of defence,directive_(eu)_2016_343_en.txt
such decisions,be without,suspect refer person,directive_(eu)_2016_343_en.txt
concerned decision,have,to elements,directive_(eu)_2016_343_en.txt
understood this,understood,regarding immunity,directive_(eu)_2016_343_en.txt
when prosecution,prevent public,public order disturbance,directive_(eu)_2016_343_en.txt
this,confined to,into account,directive_(eu)_2016_343_en.txt
is guilty he,create,to law,directive_(eu)_2016_343_en.txt
such long persons,take appropriate,to law,directive_(eu)_2016_343_en.txt
member states,inform public,to media,directive_(eu)_2016_343_en.txt
this,be without,of press,directive_(eu)_2016_343_en.txt
leg use,abstain from,as witnesses,directive_(eu)_2016_343_en.txt
competent authorities,imply,such measures,directive_(eu)_2016_343_en.txt
-,-,of european union,directive_(eu)_2016_343_en.txt
persons,abstain from,avoid impression,directive_(eu)_2016_343_en.txt
doubt,is on,suspect,directive_(eu)_2016_343_en.txt
burden,infringed,suspect person,directive_(eu)_2016_343_en.txt
means,confined within reasonable,legitimate propor tionate aim,directive_(eu)_2016_343_en.txt
where rights,be rebuttable,of defence,directive_(eu)_2016_343_en.txt
only prosecution,charged with,inculpatory seeking evidence,directive_(eu)_2016_343_en.txt
provided it,be able,union law,directive_(eu)_2016_343_en.txt
24 right,is,from self incrimination,directive_(eu)_2016_343_en.txt
25 right,is,of innocence,directive_(eu)_2016_343_en.txt
which,forced,to self incrimination,directive_(eu)_2016_343_en.txt
person,apply to,suspect person,directive_(eu)_2016_343_en.txt
persons,imply,accused information,directive_(eu)_2016_343_en.txt
inter violated pretation,taken into,into account,directive_(eu)_2016_343_en.txt
person,used against,criminal offence,directive_(eu)_2016_343_en.txt
which,prevent,of dna testing,directive_(eu)_2016_343_en.txt
provided this,preclude,fair trial,directive_(eu)_2016_343_en.txt
it,consider,with directive,directive_(eu)_2016_343_en.txt
33 right,is,democratic society,directive_(eu)_2016_343_en.txt
right,based on,throughout union,directive_(eu)_2016_343_en.txt
they,have,national law,directive_(eu)_2016_343_en.txt
35 right,is,present at present trial,directive_(eu)_2016_343_en.txt
suspects,be able,able expressly able right,directive_(eu)_2016_343_en.txt
even person,be possible,present at present trial,directive_(eu)_2016_343_en.txt
where suspect,be,of nonappearance,directive_(eu)_2016_343_en.txt
that,understood,aware of aware trial,directive_(eu)_2016_343_en.txt
handed he,understood,at trial,directive_(eu)_2016_343_en.txt
who,be possible,suspect person,directive_(eu)_2016_343_en.txt
particular attention,paid to,to him,directive_(eu)_2016_343_en.txt
fled it,be possible,decision,directive_(eu)_2016_343_en.txt
apprehended they,ensure,legal remedy,directive_(eu)_2016_343_en.txt
such information,provided in,in writing,directive_(eu)_2016_343_en.txt
information,provided,national law,directive_(eu)_2016_343_en.txt
where this,allowed,criminal proceedings,directive_(eu)_2016_343_en.txt
presence,be,of witness,directive_(eu)_2016_343_en.txt
one hearings,exercised,present at present trial,directive_(eu)_2016_343_en.txt
national apply rules,means,for hearing,directive_(eu)_2016_343_en.txt
national rules,comply with,fair trial,directive_(eu)_2016_343_en.txt
hearing,is,in which,directive_(eu)_2016_343_en.txt
particular needs,ensure,taken into taken account,directive_(eu)_2016_343_en.txt
mental they,understood,to their to age,directive_(eu)_2016_343_en.txt
43 children,are vulnerable,of protection,directive_(eu)_2016_343_en.txt
procedural safeguards,established,in directive,directive_(eu)_2016_343_en.txt
member states,requires,union law,directive_(eu)_2016_343_en.txt
breach,have,of defence,directive_(eu)_2016_343_en.txt
courts,respect,of proceedings,directive_(eu)_2016_343_en.txt
render proceedings,had to,as whole,directive_(eu)_2016_343_en.txt
statement,invoked as,as evidence,directive_(eu)_2016_343_en.txt
member states,send available,commission,directive_(eu)_2016_343_en.txt
such data,include,present at present trial,directive_(eu)_2016_343_en.txt
47 directive,upholds,of defence,directive_(eu)_2016_343_en.txt
they,had,of union law,directive_(eu)_2016_343_en.txt
member states,be able,of protection,directive_(eu)_2016_343_en.txt
level,fall below,of human rights,directive_(eu)_2016_343_en.txt
union,adopt,5 teu,directive_(eu)_2016_343_en.txt
beyond what,go beyond,achieve objectives,directive_(eu)_2016_343_en.txt
member states,taking,its application,directive_(eu)_2016_343_en.txt
denmark,taking,directive,directive_(eu)_2016_343_en.txt
directive,lays,criminal proceedings,directive_(eu)_2016_343_en.txt
who,applies to natural,criminal proceedings,directive_(eu)_2016_343_en.txt
of person,applies at,criminal committed offence,directive_(eu)_2016_343_en.txt
suspects,ensure,to law,directive_(eu)_2016_343_en.txt
public statements,take,refer to refer person,directive_(eu)_2016_343_en.txt
which,be without,on suspicion,directive_(eu)_2016_343_en.txt
appropriate measures,ensure,particular article,directive_(eu)_2016_343_en.txt
obligation,prevent public,public interest,directive_(eu)_2016_343_en.txt
ensure suspects,article,physical restraint,directive_(eu)_2016_343_en.txt
that,prevent,third persons,directive_(eu)_2016_343_en.txt
burden,ensure,is on is prosecution,directive_(eu)_2016_343_en.txt
this,be without,national law,directive_(eu)_2016_343_en.txt
assesses person,ensure,suspect is person,directive_(eu)_2016_343_en.txt
they,ensure,that,directive_(eu)_2016_343_en.txt
suspects,ensure,incriminate themselves,directive_(eu)_2016_343_en.txt
which,prevent,of suspects,directive_(eu)_2016_343_en.txt
judicial authorities,allow,of suspects,directive_(eu)_2016_343_en.txt
not they,used against,criminal offence,directive_(eu)_2016_343_en.txt
-,right,present at present trial,directive_(eu)_2016_343_en.txt
suspects,ensure,their present trial,directive_(eu)_2016_343_en.txt
who,provide,state,directive_(eu)_2016_343_en.txt
which,enforced against,against person,directive_(eu)_2016_343_en.txt
reasonable efforts,provide for,of article,directive_(eu)_2016_343_en.txt
decision,provide,-,directive_(eu)_2016_343_en.txt
apprehended they,ensure,with article,directive_(eu)_2016_343_en.txt
provided this,be without,fair trial,directive_(eu)_2016_343_en.txt
original decision,ensure,new evidence,directive_(eu)_2016_343_en.txt
suspects,ensure,of defence,directive_(eu)_2016_343_en.txt
their rights,ensure,under directive,directive_(eu)_2016_343_en.txt
rights,ensure,of proceedings,directive_(eu)_2016_343_en.txt
how rights,report,in directive,directive_(eu)_2016_343_en.txt
commission,submit,of directive,directive_(eu)_2016_343_en.txt
which,construed as,of protection,directive_(eu)_2016_343_en.txt
member states,bring into,1 april,directive_(eu)_2016_343_en.txt
they,inform,immediately commission,directive_(eu)_2016_343_en.txt
they,contain,official publication,directive_(eu)_2016_343_en.txt
methods,laid,member states,directive_(eu)_2016_343_en.txt
they,communicate to,covered directive,directive_(eu)_2016_343_en.txt
directive,enter into,of european union,directive_(eu)_2016_343_en.txt
16 addressees,addressed to,with treaties,directive_(eu)_2016_343_en.txt
-,done at,at strasbourg,directive_(eu)_2016_343_en.txt
-,president,for council,directive_(eu)_2016_343_en.txt
who,directives,social - offending integration,directive_(eu)_2016_800_en.txt
accused directive,aims,criminal matters,directive_(eu)_2016_800_en.txt
minimum rules,remove,of member states,directive_(eu)_2016_800_en.txt
this,shown,other member states,directive_(eu)_2016_800_en.txt
2009 council,adopted,3 roadmap,directive_(eu)_2016_800_en.txt
who,calls for,suspected measure persons,directive_(eu)_2016_800_en.txt
roadmap,emphasises,1 oj c,directive_(eu)_2016_800_en.txt
-,position of,21 april,directive_(eu)_2016_800_en.txt
-,c,-,directive_(eu)_2016_800_en.txt
thus indicative it,-,with priorities,directive_(eu)_2016_800_en.txt
its benefits,experienced in,as designed whole,directive_(eu)_2016_800_en.txt
it,welcomed,serving citizens,directive_(eu)_2016_800_en.txt
other issues,underlined,in area,directive_(eu)_2016_800_en.txt
four measures,adopted pursuant,of european parliament,directive_(eu)_2016_800_en.txt
7 directive,promotes,friendly justice,directive_(eu)_2016_800_en.txt
best interests,ensure,of european union,directive_(eu)_2016_800_en.txt
who,given particular,into society,directive_(eu)_2016_800_en.txt
who,apply to,children,directive_(eu)_2016_800_en.txt
relevant provisions,apply from,executing member state,directive_(eu)_2016_800_en.txt
where application,apply to,of person,directive_(eu)_2016_800_en.txt
which,encouraged,of 18,directive_(eu)_2016_800_en.txt
such evidence,determine,civil status,directive_(eu)_2016_800_en.txt
medical examination,carried,child rights,directive_(eu)_2016_800_en.txt
person,presumed,of directive,directive_(eu)_2016_800_en.txt
-,directive,criminal proceedings,directive_(eu)_2016_800_en.txt
third party,directive,consular authorities,directive_(eu)_2016_800_en.txt
-,decision,between member states,directive_(eu)_2016_800_en.txt
14 directive,apply in,minor offences,directive_(eu)_2016_800_en.txt
who,apply,of liberty,directive_(eu)_2016_800_en.txt
authority,has,minor offences,directive_(eu)_2016_800_en.txt
which,be,following traffic control,directive_(eu)_2016_800_en.txt
competent unreasonable authorities,be unreasonable,under directive,directive_(eu)_2016_800_en.txt
directive,apply,following appeal,directive_(eu)_2016_800_en.txt
minor offences,considered,municipal regulations,directive_(eu)_2016_800_en.txt
directive,apply,criminal matters,directive_(eu)_2016_800_en.txt
17 directive,apply,criminal proceedings,directive_(eu)_2016_800_en.txt
which,apply to other,protective measures,directive_(eu)_2016_800_en.txt
18 directive,implemented,of directives,directive_(eu)_2016_800_en.txt
directive,provides for further,of children,directive_(eu)_2016_800_en.txt
19 children,receive,of proceedings,directive_(eu)_2016_800_en.txt
far this,given,of authorities,directive_(eu)_2016_800_en.txt
information,depend on,of case,directive_(eu)_2016_800_en.txt
where measure,receive,to child,directive_(eu)_2016_800_en.txt
letter,include clear,under directive,directive_(eu)_2016_800_en.txt
22 member states,inform,in writing,directive_(eu)_2016_800_en.txt
information,provided,of child,directive_(eu)_2016_800_en.txt
information,provided to,competent authority,directive_(eu)_2016_800_en.txt
with holder,is,with child,directive_(eu)_2016_800_en.txt
which,provided to,parental responsibility,directive_(eu)_2016_800_en.txt
requirement,prolong,criminal proceedings,directive_(eu)_2016_800_en.txt
who,have,with directive,directive_(eu)_2016_800_en.txt
they,assisted by,in directive,directive_(eu)_2016_800_en.txt
where child,arrange,such assistance,directive_(eu)_2016_800_en.txt
ensure necessary child,provide legal,effectively assisted lawyer,directive_(eu)_2016_800_en.txt
child,presupposes,under directive,directive_(eu)_2016_800_en.txt
such provision,apply to,/ eu,directive_(eu)_2016_800_en.txt
derogations,affect,national union law,directive_(eu)_2016_800_en.txt
they,apply without undue,made aware,directive_(eu)_2016_800_en.txt
assistance,means legal,criminal proceedings,directive_(eu)_2016_800_en.txt
lawyer,be present,during questioning,directive_(eu)_2016_800_en.txt
assistance,require,evidence present act,directive_(eu)_2016_800_en.txt
investigation,include,national law,directive_(eu)_2016_800_en.txt
suspect child,have,of human rights,directive_(eu)_2016_800_en.txt
where child,makes express,criminal proceedings,directive_(eu)_2016_800_en.txt
he,suspended,with directive,directive_(eu)_2016_800_en.txt
best interests,be able,of case,directive_(eu)_2016_800_en.txt
when they,assisted by,well detention,directive_(eu)_2016_800_en.txt
allow child,imposed as,before court,directive_(eu)_2016_800_en.txt
member states,be able,in respect,directive_(eu)_2016_800_en.txt
immediate action,be able,criminal offence,directive_(eu)_2016_800_en.txt
such questioning,be able,incriminate oneself,directive_(eu)_2016_800_en.txt
that,be possible,criminal proceedings,directive_(eu)_2016_800_en.txt
abuse,prejudice,of defence,directive_(eu)_2016_800_en.txt
they,set,restricted use,directive_(eu)_2016_800_en.txt
temporary derogation,be proportional,of proceedings,directive_(eu)_2016_800_en.txt
not decision,ensure,during trial stage,directive_(eu)_2016_800_en.txt
33 confidentiality,is key,fair trial,directive_(eu)_2016_800_en.txt
member states,respect,without derogation,directive_(eu)_2016_800_en.txt
lawyer,is without,criminal offence,directive_(eu)_2016_800_en.txt
criminal activity,considered,of directive,directive_(eu)_2016_800_en.txt
arrangements,implies,such uphold confidentiality,directive_(eu)_2016_800_en.txt
competent allow authorities,is without,between children,directive_(eu)_2016_800_en.txt
to correspondence,is,competent submitted court,directive_(eu)_2016_800_en.txt
that,is without,competent authorities,directive_(eu)_2016_800_en.txt
title v,is,internal security,directive_(eu)_2016_800_en.txt
to extent they,have,particular penalty,directive_(eu)_2016_800_en.txt
individual assessment,take into,as learning disabilities,directive_(eu)_2016_800_en.txt
taken child,be possible,of offence,directive_(eu)_2016_800_en.txt
it,used,recent past,directive_(eu)_2016_800_en.txt
specific measure,take,criminal proceedings,directive_(eu)_2016_800_en.txt
provided conditions,prevent,of proceedings,directive_(eu)_2016_800_en.txt
individual assessment,re,of measures,directive_(eu)_2016_800_en.txt
individual assessment,assessed,-,directive_(eu)_2016_800_en.txt
information,take,of trial,directive_(eu)_2016_800_en.txt
provided this,be possible,best is interests,directive_(eu)_2016_800_en.txt
individual assessment,be,such available detention,directive_(eu)_2016_800_en.txt
provided derogation,be able,best is compatible interests,directive_(eu)_2016_800_en.txt
case,taken into,without indictment,directive_(eu)_2016_800_en.txt
where children,underpins,weak position,directive_(eu)_2016_800_en.txt
child,have,medical examination,directive_(eu)_2016_800_en.txt
specific health indications,carried,child lawyer,directive_(eu)_2016_800_en.txt
that,lay,such examinations,directive_(eu)_2016_800_en.txt
two requests,address,of time,directive_(eu)_2016_800_en.txt
they,are,which,directive_(eu)_2016_800_en.txt
best interests,recorded,of liberty,directive_(eu)_2016_800_en.txt
directive,require,by judge,directive_(eu)_2016_800_en.txt
it,be able,best compatible interests,directive_(eu)_2016_800_en.txt
that,carried,of children,directive_(eu)_2016_800_en.txt
when they,are in,of liberty,directive_(eu)_2016_800_en.txt
deprivation,undertaken,into society,directive_(eu)_2016_800_en.txt
member states,make practical,of police custody,directive_(eu)_2016_800_en.txt
criminal delicto offence,is without,in situations,directive_(eu)_2016_800_en.txt
-,-,l,directive_(eu)_2016_800_en.txt
competent authorities,consider,such measures,directive_(eu)_2016_800_en.txt
child,include,therapeutic programmes,directive_(eu)_2016_800_en.txt
which,be subject,by court,directive_(eu)_2016_800_en.txt
which,be possible,judicial authority,directive_(eu)_2016_800_en.txt
child review,provide for practical,officio court,directive_(eu)_2016_800_en.txt
detained they,benefit from special,special protection measures,directive_(eu)_2016_800_en.txt
it,held,of child,directive_(eu)_2016_800_en.txt
it,be possible,of person,directive_(eu)_2016_800_en.txt
detained children,paid to,inherent vulnerability,directive_(eu)_2016_800_en.txt
children,have,their needs,directive_(eu)_2016_800_en.txt
that,ensure,best compatible interests,directive_(eu)_2016_800_en.txt
this,be possible,best contrary interests,directive_(eu)_2016_800_en.txt
particular vigilance,required on,physical integrity,directive_(eu)_2016_800_en.txt
determine persons,is,national law,directive_(eu)_2016_800_en.txt
persons,encouraged,young qualify adults,directive_(eu)_2016_800_en.txt
detained member states,take appropriate,in directive,directive_(eu)_2016_800_en.txt
such measures,ensure,to family life,directive_(eu)_2016_800_en.txt
exceptional correspon restrictions,have,of justice,directive_(eu)_2016_800_en.txt
52 member states,take appropriate,of child,directive_(eu)_2016_800_en.txt
member states,refrain from,of child,directive_(eu)_2016_800_en.txt
member states,required,children,directive_(eu)_2016_800_en.txt
appropriate member states,take appropriate,of liberty,directive_(eu)_2016_800_en.txt
measures,be proportionate,its duration,directive_(eu)_2016_800_en.txt
proceedings,take into,adapted to adapted them,directive_(eu)_2016_800_en.txt
professionals,trained in,dealing with dealing children,directive_(eu)_2016_800_en.txt
they,treated in,that,directive_(eu)_2016_800_en.txt
-,-,of european union,directive_(eu)_2016_800_en.txt
privacy,ensured in,into society,directive_(eu)_2016_800_en.txt
courts,provide,of public,directive_(eu)_2016_800_en.txt
this,is without,6 echr,directive_(eu)_2016_800_en.txt
they,have,in which,directive_(eu)_2016_800_en.txt
this,have,reasonable efforts,directive_(eu)_2016_800_en.txt
accompanying person,lay,from court hearings,directive_(eu)_2016_800_en.txt
best interests,address,taken into taken account,directive_(eu)_2016_800_en.txt
child,have,parental responsibility,directive_(eu)_2016_800_en.txt
with holder,is,criminal activity,directive_(eu)_2016_800_en.txt
they,have,during police questioning,directive_(eu)_2016_800_en.txt
60 right,based on,of human rights,directive_(eu)_2016_800_en.txt
where that,take appropriate,appropriate adult,directive_(eu)_2016_800_en.txt
member states,provide for practical,at trial,directive_(eu)_2016_800_en.txt
child,include,from trial,directive_(eu)_2016_800_en.txt
when they,apply to,executing member state,directive_(eu)_2016_800_en.txt
european arrest warrant proceedings,are crucial,criminal matters,directive_(eu)_2016_800_en.txt
compliance,is essential,such essential cooperation,directive_(eu)_2016_800_en.txt
time limits,complied with,european arrest warrant proceedings,directive_(eu)_2016_800_en.txt
who,take appropriate,to children,directive_(eu)_2016_800_en.txt
who,take appropriate,involving children,directive_(eu)_2016_800_en.txt
-,is,in directive,directive_(eu)_2016_800_en.txt
such data,include,of liberty,directive_(eu)_2016_800_en.txt
-,21.5.2016,of european union,directive_(eu)_2016_800_en.txt
member states,respect,as race,directive_(eu)_2016_800_en.txt
66 directive,upholds,of defence,directive_(eu)_2016_800_en.txt
directive,implemented in,with rights,directive_(eu)_2016_800_en.txt
67 directive,lays,minimum rules,directive_(eu)_2016_800_en.txt
member states,be able,of protection,directive_(eu)_2016_800_en.txt
minimum rules,constitute,that,directive_(eu)_2016_800_en.txt
level,fall below,of human rights,directive_(eu)_2016_800_en.txt
union,adopt,5 teu,directive_(eu)_2016_800_en.txt
beyond what,go beyond,achieve objectives,directive_(eu)_2016_800_en.txt
member states,taking,its application,directive_(eu)_2016_800_en.txt
denmark,taking,its application,directive_(eu)_2016_800_en.txt
1 member states,undertaken,national transposition instruments,directive_(eu)_2016_800_en.txt
who,considers,to framework decision,directive_(eu)_2016_800_en.txt
who,applies to,criminal proceedings,directive_(eu)_2016_800_en.txt
suspect,applies until,of appeal,directive_(eu)_2016_800_en.txt
who,applies to,with article,directive_(eu)_2016_800_en.txt
application,applies to,of person,directive_(eu)_2016_800_en.txt
when person,decide,of 21,directive_(eu)_2016_800_en.txt
who,applies to,law enforcement authority,directive_(eu)_2016_800_en.txt
directive,affect national,criminal responsibility,directive_(eu)_2016_800_en.txt
directive,apply to,criminal matters,directive_(eu)_2016_800_en.txt
where child,apply,criminal proceedings,directive_(eu)_2016_800_en.txt
which,means,of access,directive_(eu)_2016_800_en.txt
