de_Subject,de_Predicate,de_Object,Triple_ID
fur parlaments die,6)Richtlinie,-,Directive_(EU)_2016_1919_de.pdf
bestimmt zuwiderhandlunge,gelten,gegen,Directive_(EU)_2016_1919_de.pdf
in solc es,ware,nach zu gewahrleisten,Directive_(EU)_2016_1919_de.pdf
liedstaats bei liedstaats freiheitsentzug,.,in anwendung,Directive_(EU)_2016_1919_de.pdf
richtlinie auf richtlinie unterlie,gt,-,Directive_(EU)_2016_1919_de.pdf
festzustellen prozessk,Mog,ist,Directive_(EU)_2016_1919_de.pdf
ist prufung,kann,werden,Directive_(EU)_2016_1919_de.pdf
anwen,lassen,unberuhr t,Directive_(EU)_2016_1919_de.pdf
festst ermittlungen,Durchfuhr,auf en r,Directive_(EU)_2016_1919_de.pdf
mit mindestv,werden,festgelegt,Directive_(EU)_2016_1919_de.pdf
beweiserhebungshandlungen,.,enommen,Directive_(EU)_2016_1919_de.pdf
das,mussen,sein,Directive_(EU)_2016_1919_de.pdf
mindestv,licht,n prufung,Directive_(EU)_2016_1919_de.pdf
die,en,nach gerichtshofs gewahrleistet,Directive_(EU)_2016_1919_de.pdf
-,sollt,fur prozessk ostenhi einfuhren,Directive_(EU)_2016_1919_de.pdf
wird,konnte,einer gesucht einer bewilligt,Directive_(EU)_2016_1919_de.pdf
-,sein,-,Directive_(EU)_2016_1919_de.pdf
behorden,e,-,Directive_(EU)_2016_1919_de.pdf
-,en,-,Directive_(EU)_2016_1919_de.pdf
in sie,Beweiserhebungshandlungen,-,Directive_(EU)_2016_1919_de.pdf
-,oder,e gewahren,Directive_(EU)_2016_1919_de.pdf
auslegung,sollt,werden,Directive_(EU)_2016_1919_de.pdf
-,haben,ungsmitg anspr,Directive_(EU)_2016_1919_de.pdf
solc,sollt,in ten zugang,Directive_(EU)_2016_1919_de.pdf
dann recht,ware,wirksam tellungsmitg erfullen,Directive_(EU)_2016_1919_de.pdf
von,sollt,bei richtlinie festgelegt,Directive_(EU)_2016_1919_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_1919_de.pdf
-,ellen,sicherzust gesucht,Directive_(EU)_2016_1919_de.pdf
zu bis entscheidung,sollten,zu ubergeben,Directive_(EU)_2016_1919_de.pdf
grundrecht,sollt,wird,Directive_(EU)_2016_1919_de.pdf
-,beacht,-,Directive_(EU)_2016_1919_de.pdf
-,Unbeschadet,-,Directive_(EU)_2016_1919_de.pdf
lich oste nhilfe von,.,en getroffen,Directive_(EU)_2016_1919_de.pdf
fur heidungen,sollte,handeln,Directive_(EU)_2016_1919_de.pdf
auch einbeziehung,sollt,t sein,Directive_(EU)_2016_1919_de.pdf
fortfuhr,konnen,vertretung erleich vertretung tert,Directive_(EU)_2016_1919_de.pdf
-,en,in fortfuhr,Directive_(EU)_2016_1919_de.pdf
-,hls,-,Directive_(EU)_2016_1919_de.pdf
personal,sollt,werden,Directive_(EU)_2016_1919_de.pdf
fur entsc heidungen,sollten,schulung,Directive_(EU)_2016_1919_de.pdf
nach mitg liedstaat,sind,-,Directive_(EU)_2016_1919_de.pdf
ganz e rechtsbehelf,sollten wirksame,zur stehen,Directive_(EU)_2016_1919_de.pdf
einsch daten,mussen,werden,Directive_(EU)_2016_1919_de.pdf
falle in falle antrag,Anzahl,auf e abgewiesen,Directive_(EU)_2016_1919_de.pdf
ebenfalls mog daten,sollten,-,Directive_(EU)_2016_1919_de.pdf
-,Personen,fur personen,Directive_(EU)_2016_1919_de.pdf
richtlinie,sollt,e,Directive_(EU)_2016_1919_de.pdf
-,e,beschuldigt personen,Directive_(EU)_2016_1919_de.pdf
-,htet,recht gelten,Directive_(EU)_2016_1919_de.pdf
-,sollt,aus gebur kommen,Directive_(EU)_2016_1919_de.pdf
die,anerkannt,en char te,Directive_(EU)_2016_1919_de.pdf
linie,sollte,werden,Directive_(EU)_2016_1919_de.pdf
mit iften,werden,festgelegt,Directive_(EU)_2016_1919_de.pdf
mitg,sollt,schutzniveau,Directive_(EU)_2016_1919_de.pdf
entsc heidunge die,sollte,ehen,Directive_(EU)_2016_1919_de.pdf
en schutzniveau,sollt,-,Directive_(EU)_2016_1919_de.pdf
-,.,-,Directive_(EU)_2016_1919_de.pdf
fur ostenhilf e,hte,personen,Directive_(EU)_2016_1919_de.pdf
von,kann,werden,Directive_(EU)_2016_1919_de.pdf
ist union,kann,vertrags uber itatspr werden,Directive_(EU)_2016_1919_de.pdf
in verhaltnismassigkeit linie,geht,uber,Directive_(EU)_2016_1919_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_1919_de.pdf
tlinie durc,en,anwen,Directive_(EU)_2016_1919_de.pdf
an durc h linie,iligt,zu,Directive_(EU)_2016_1919_de.pdf
richtlinie,),mindestvorsc,Directive_(EU)_2016_1919_de.pdf
gegen  verfahren,besc huldigte,personen,Directive_(EU)_2016_1919_de.pdf
ende rich richtlinien,zt,-,Directive_(EU)_2016_1919_de.pdf
in recht,ist,so linie auszulegen,Directive_(EU)_2016_1919_de.pdf
)  die,folge,liesslich vorgesc ns,Directive_(EU)_2016_1919_de.pdf
tlinie,e,-,Directive_(EU)_2016_1919_de.pdf
-,liedstaat,-,Directive_(EU)_2016_1919_de.pdf
die,nach,-,Directive_(EU)_2016_1919_de.pdf
fur die,gilt,-,Directive_(EU)_2016_1919_de.pdf
in  freiheitsentzug,findet,in strafsac anwendung,Directive_(EU)_2016_1919_de.pdf
entsc,findet,heidung uber heidung getroffen,Directive_(EU)_2016_1919_de.pdf
-,Ausdr,im richtlinie et,Directive_(EU)_2016_1919_de.pdf
-,el,-,Directive_(EU)_2016_1919_de.pdf
sodass mitg recht,kann,zu wahrgeno mmen werden,Directive_(EU)_2016_1919_de.pdf
-,erfahren,ostenhilfe,Directive_(EU)_2016_1919_de.pdf
es,stellen,im rechts pflege,Directive_(EU)_2016_1919_de.pdf
prozessk,konnen,nach zu ist,Directive_(EU)_2016_1919_de.pdf
festzustellen rech verdacht,tragt,unterstutzung durch unterstutzung verfugen,Directive_(EU)_2016_1919_de.pdf
erfor recht ist,kann,werden,Directive_(EU)_2016_1919_de.pdf
wird  er,gelten,sich,Directive_(EU)_2016_1919_de.pdf
sicher prozessk,nhilfe,-,Directive_(EU)_2016_1919_de.pdf
durch einer,wird,genannt beweiserhebungshandlungen bewilligt,Directive_(EU)_2016_1919_de.pdf
in person,wird,begehung,Directive_(EU)_2016_1919_de.pdf
-,1,-,Directive_(EU)_2016_1919_de.pdf
diese,stellt,personen,Directive_(EU)_2016_1919_de.pdf
gegen verfahren,stellt,sicher gesucht,Directive_(EU)_2016_1919_de.pdf
-,nehmen,-,Directive_(EU)_2016_1919_de.pdf
-,lfe,auf,Directive_(EU)_2016_1919_de.pdf
-,haben,als mitg zuga,Directive_(EU)_2016_1919_de.pdf
gemass absatze der,kann,werden,Directive_(EU)_2016_1919_de.pdf
-,Entscheidungen,uber,Directive_(EU)_2016_1919_de.pdf
-,ostenhilf,uber,Directive_(EU)_2016_1919_de.pdf
-,und,-,Directive_(EU)_2016_1919_de.pdf
-,treffe,-,Directive_(EU)_2016_1919_de.pdf
behorde,ergreifen geeignete,dabei trifft recht,Directive_(EU)_2016_1919_de.pdf
en,treffen,erforderlic hen,Directive_(EU)_2016_1919_de.pdf
schriftlich informier antrag,ist,teilweise ostenhi abgewiesen,Directive_(EU)_2016_1919_de.pdf
-,Diens,mit,Directive_(EU)_2016_1919_de.pdf
-,1,-,Directive_(EU)_2016_1919_de.pdf
-,treffe,n,Directive_(EU)_2016_1919_de.pdf
-,Massnahmen,-,Directive_(EU)_2016_1919_de.pdf
wobei verfahrens zu unabhangigk,System,dienstleistunge fairness,Directive_(EU)_2016_1919_de.pdf
mitg,sorgen,europaisch zur gestellt,Directive_(EU)_2016_1919_de.pdf
fur mitg,ergreifen,-,Directive_(EU)_2016_1919_de.pdf
weiterbildungsmassnahmen fur weiterbildungsmassnahmen die,Massnahmen,im ostenhi erbr,Directive_(EU)_2016_1919_de.pdf
umstande,ist,es,Directive_(EU)_2016_1919_de.pdf
verdachti,sorgen,dafur,Directive_(EU)_2016_1919_de.pdf
-,sbehelf,nach zuste,Directive_(EU)_2016_1919_de.pdf
en,sorgen,bei berucksichtig t werden,Directive_(EU)_2016_1919_de.pdf
-,Bereitstellung,-,Directive_(EU)_2016_1919_de.pdf
-,estens,-,Directive_(EU)_2016_1919_de.pdf
sind,Daten,worden,Directive_(EU)_2016_1919_de.pdf
kommission,mittelt,uber,Directive_(EU)_2016_1919_de.pdf
in sie,tet,umsetzung,Directive_(EU)_2016_1919_de.pdf
gewahrleist,ist,et sind,Directive_(EU)_2016_1919_de.pdf
-,Umsetzung,-,Directive_(EU)_2016_1919_de.pdf
iften in kraf die,setzen,am nachzuk,Directive_(EU)_2016_1919_de.pdf
sie,setzen,kommission,Directive_(EU)_2016_1919_de.pdf
erlassen sie,.,bei auf,Directive_(EU)_2016_1919_de.pdf
en,regeln,einzelheiten,Directive_(EU)_2016_1919_de.pdf
sie,teilen,mit die,Directive_(EU)_2016_1919_de.pdf
rich tlinie,Artikel,-,Directive_(EU)_2016_1919_de.pdf
tlinie,ist,-,Directive_(EU)_2016_1919_de.pdf
-,hehen,-,Directive_(EU)_2016_1919_de.pdf
-,ULZ,-,Directive_(EU)_2016_1919_de.pdf
-,Y,-,Directive_(EU)_2016_1919_de.pdf
-,RICHTLINIE,-,Directive_(EU)_2016_343_de.pdf
-,erfahren,-,Directive_(EU)_2016_343_de.pdf
-,UNION,-,Directive_(EU)_2016_343_de.pdf
-,1,-,Directive_(EU)_2016_343_de.pdf
mutung,t.,-,Directive_(EU)_2016_343_de.pdf
union,hat,zum freiheit gesetzt,Directive_(EU)_2016_343_de.pdf
aus hervor verbesser,Annaher,aus,Directive_(EU)_2016_343_de.pdf
ern,wurden,-,Directive_(EU)_2016_343_de.pdf
grundsatz,sollt,innerhalb zusammenarbeit werden,Directive_(EU)_2016_343_de.pdf
uber union aeuv zusammenarbeit,beruht,anerkennung gerichtlic,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
mitg,beruht,jeweilig haben,Directive_(EU)_2016_343_de.pdf
aus,hangt,gegenseitig von,Directive_(EU)_2016_343_de.pdf
fur recht e die,gehoren,grundsatzes zu erleich,Directive_(EU)_2016_343_de.pdf
dies,sind,in mitg liedstaate schafft,Directive_(EU)_2016_343_de.pdf
am rat,Fahrpl,en,Directive_(EU)_2016_343_de.pdf
zu ergreifen die,wird,massnahme fur,Directive_(EU)_2016_343_de.pdf
-,en,-,Directive_(EU)_2016_343_de.pdf
am rat,hat,ihn,Directive_(EU)_2016_343_de.pdf
zu themen,betont,zusammenarbeit,Directive_(EU)_2016_343_de.pdf
bislang massnahmen,nd,betreffe,Directive_(EU)_2016_343_de.pdf
-,gemass,-,Directive_(EU)_2016_343_de.pdf
e iften aspekte,soll,in unschuldsver festgelegt,Directive_(EU)_2016_343_de.pdf
-,Verdacht,-,Directive_(EU)_2016_343_de.pdf
richtlinie,her,ab vertrauen,Directive_(EU)_2016_343_de.pdf
-,heidungen,-,Directive_(EU)_2016_343_de.pdf
durch mindestvorschrif,nisse,werden,Directive_(EU)_2016_343_de.pdf
richt,e,-,Directive_(EU)_2016_343_de.pdf
-,te,-,Directive_(EU)_2016_343_de.pdf
etwa verfahren,einschliess,mit hen gelten,Directive_(EU)_2016_343_de.pdf
die,sollt,fur gelten,Directive_(EU)_2016_343_de.pdf
sie,sollt,unterrichtet,Directive_(EU)_2016_343_de.pdf
entsc,hat,hat anwen dung,Directive_(EU)_2016_343_de.pdf
dann zur entsc,e,rechtskraf geworden,Directive_(EU)_2016_343_de.pdf
-,te,-,Directive_(EU)_2016_343_de.pdf
en,sollt,in richtlinie fallen,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
-,4)Richtlinie,-,Directive_(EU)_2016_343_de.pdf
vom parlaments er,5)Richtlinie,auf dritten mit,Directive_(EU)_2016_343_de.pdf
personen nach durc bestimmt,wird,in anerkannt,Directive_(EU)_2016_343_de.pdf
-,h,-,Directive_(EU)_2016_343_de.pdf
-,gibt,rech,Directive_(EU)_2016_343_de.pdf
-,e.,-,Directive_(EU)_2016_343_de.pdf
aus recht,hat,juristisch gelten,Directive_(EU)_2016_343_de.pdf
tsprechung auf tsprechung es,ware,auf rechts vorsc hriften,Directive_(EU)_2016_343_de.pdf
deshalb richtlinie,sollt,fur gelten,Directive_(EU)_2016_343_de.pdf
fur menschenrec vom,sollt,von e bleiben,Directive_(EU)_2016_343_de.pdf
-,mutung,in auf,Directive_(EU)_2016_343_de.pdf
-,Garantien,et sein,Directive_(EU)_2016_343_de.pdf
union,wird,werden,Directive_(EU)_2016_343_de.pdf
wird schuld,lage,rechtsformlich person nachgewiesen,Directive_(EU)_2016_343_de.pdf
person,en,ist,Directive_(EU)_2016_343_de.pdf
mit gerichtlic he aus,bleiben,verteidigung gewahr t,Directive_(EU)_2016_343_de.pdf
uber untersuc hungshaf verdachti,wird,gerichtlic getroffen,Directive_(EU)_2016_343_de.pdf
-,verfahrensrecht licher,-,Directive_(EU)_2016_343_de.pdf
beweismater,hst,betreffe,Directive_(EU)_2016_343_de.pdf
bezug,konnte,werden,Directive_(EU)_2016_343_de.pdf
mit rechtsv,.,von orschrif bleiben,Directive_(EU)_2016_343_de.pdf
verbot,sollte,offentlic,Directive_(EU)_2016_343_de.pdf
offentlich zu verbreiten dies,ist,zum strafverfahrens storun,Directive_(EU)_2016_343_de.pdf
in dies,sollte,auf bleiben,Directive_(EU)_2016_343_de.pdf
bevo schuld,sollt,ig ist,Directive_(EU)_2016_343_de.pdf
schuld,sollten geeigne,rechtsformlich nachgewiesen,Directive_(EU)_2016_343_de.pdf
mutung gebuhrend beac hten informationen,sollt,eben et,Directive_(EU)_2016_343_de.pdf
das,sollt,freiheit,Directive_(EU)_2016_343_de.pdf
her sseln zum massnahmen,sollt,zu kontakt,Directive_(EU)_2016_343_de.pdf
zustandig behorden,bedeute,zu treffe,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
personen,zeig,seien,Directive_(EU)_2016_343_de.pdf
beweislast,liegt,-,Directive_(EU)_2016_343_de.pdf
l,sollten,zugutek ommen,Directive_(EU)_2016_343_de.pdf
unbesc,hadet,befugnis,Directive_(EU)_2016_343_de.pdf
-,von,-,Directive_(EU)_2016_343_de.pdf
vor beweislast,wurde,auf verlager,Directive_(EU)_2016_343_de.pdf
en,stehen,ange zu,Directive_(EU)_2016_343_de.pdf
vermutungen,sollten,werden,Directive_(EU)_2016_343_de.pdf
er,sind,auch beweise,Directive_(EU)_2016_343_de.pdf
die,sofer,konnen,Directive_(EU)_2016_343_de.pdf
dieses,steht,-,Directive_(EU)_2016_343_de.pdf
-,ist,-,Directive_(EU)_2016_343_de.pdf
-,und,e,Directive_(EU)_2016_343_de.pdf
recht,huldsver,zu mussen,Directive_(EU)_2016_343_de.pdf
zu die,sollten,zur fuhren,Directive_(EU)_2016_343_de.pdf
mit deren jemand,sollt,mit verdachti gen person,Directive_(EU)_2016_343_de.pdf
zustandig behorden,umf,sie,Directive_(EU)_2016_343_de.pdf
wie es,sollt,fur mensc henrec ausgelegt,Directive_(EU)_2016_343_de.pdf
-,Rechn,getrag werden,Directive_(EU)_2016_343_de.pdf
person,.,begang,Directive_(EU)_2016_343_de.pdf
verteidigungsrecht,sollt,davon bleiben,Directive_(EU)_2016_343_de.pdf
verpflichtung,eht,auf dessen rech,Directive_(EU)_2016_343_de.pdf
en,sollt,regelung,Directive_(EU)_2016_343_de.pdf
-,bezug,-,Directive_(EU)_2016_343_de.pdf
-,t,-,Directive_(EU)_2016_343_de.pdf
recht,konnen,werden,Directive_(EU)_2016_343_de.pdf
sie,sollt,zu mussen,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
wie es,enthalt,zu mussen,Directive_(EU)_2016_343_de.pdf
recht,ist,-,Directive_(EU)_2016_343_de.pdf
recht,beruht,werden,Directive_(EU)_2016_343_de.pdf
sie,sollt,in konnen,Directive_(EU)_2016_343_de.pdf
recht,gilt,-,Directive_(EU)_2016_343_de.pdf
verdachti,hweigend,erklaren,Directive_(EU)_2016_343_de.pdf
t person,mog,dann verdachti gen ergeh,Directive_(EU)_2016_343_de.pdf
er,kann,sein,Directive_(EU)_2016_343_de.pdf
sie,sollte,nehmen,Directive_(EU)_2016_343_de.pdf
kann sie,werden,en,Directive_(EU)_2016_343_de.pdf
wurde sie,sollte,vor tatsac vertreten,Directive_(EU)_2016_343_de.pdf
person,gegebenenf,von,Directive_(EU)_2016_343_de.pdf
behorden,werden,haben,Directive_(EU)_2016_343_de.pdf
person,hat,informationen an informationen gelegt,Directive_(EU)_2016_343_de.pdf
es,vorsieht,in zu erlassen entsc,Directive_(EU)_2016_343_de.pdf
festg,Mitg,zu chten rechts,Directive_(EU)_2016_343_de.pdf
en,sollt,werden,Directive_(EU)_2016_343_de.pdf
informationen,konnen,wurden,Directive_(EU)_2016_343_de.pdf
dies,sollten,strafverfahrens sicherzust,Directive_(EU)_2016_343_de.pdf
anwesenheit,konnte,sich,Directive_(EU)_2016_343_de.pdf
recht,kann,-,Directive_(EU)_2016_343_de.pdf
wahrgeno verhandlungen,werden,-,Directive_(EU)_2016_343_de.pdf
massge verfahrensvorsc,bedeutet,verhandlung,Directive_(EU)_2016_343_de.pdf
wie ta sie,ausg,-,Directive_(EU)_2016_343_de.pdf
-,.,-,Directive_(EU)_2016_343_de.pdf
dies,fahren,bei vereinfac gerichtsver,Directive_(EU)_2016_343_de.pdf
mundlich verhandlung,werden,-,Directive_(EU)_2016_343_de.pdf
auf bedurfnisse,sollten,personen berucksichtigt,Directive_(EU)_2016_343_de.pdf
-,1,fur kommission schutzbe,Directive_(EU)_2016_343_de.pdf
die,sind,teilzunehmen,Directive_(EU)_2016_343_de.pdf
kinder,und,werden,Directive_(EU)_2016_343_de.pdf
daher en,e,-,Directive_(EU)_2016_343_de.pdf
-,Verfahrensgarantien,werden,Directive_(EU)_2016_343_de.pdf
nach mitg liedstaat,sind,vorzusehen,Directive_(EU)_2016_343_de.pdf
rechts,behelf,bei gegen,Directive_(EU)_2016_343_de.pdf
recht,sollt,auf gewahr,Directive_(EU)_2016_343_de.pdf
er,Bei,wurden,Directive_(EU)_2016_343_de.pdf
-,ung,-,Directive_(EU)_2016_343_de.pdf
die,werden,gegen,Directive_(EU)_2016_343_de.pdf
folter,wurden,erlangt,Directive_(EU)_2016_343_de.pdf
dazu sachverhal ts verfahren,als,-,Directive_(EU)_2016_343_de.pdf
dafur aussage,durfen,gemac ht,Directive_(EU)_2016_343_de.pdf
kann liedstaaten,sollten,daten,Directive_(EU)_2016_343_de.pdf
justizbehorden,konnte,erfasst,Directive_(EU)_2016_343_de.pdf
die,gehoren,in angewandt,Directive_(EU)_2016_343_de.pdf
aus ergeb en allge,Artikel,sich,Directive_(EU)_2016_343_de.pdf
-,schri,-,Directive_(EU)_2016_343_de.pdf
mitg,konnen,schutzniveau,Directive_(EU)_2016_343_de.pdf
vom,Standards,fur mensc ausgelegt,Directive_(EU)_2016_343_de.pdf
union,kann,in itatspr werden,Directive_(EU)_2016_343_de.pdf
genannt verhaltnismassigkeit linie,geht,uber,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
mitg,iligen,zu,Directive_(EU)_2016_343_de.pdf
-,bete,-,Directive_(EU)_2016_343_de.pdf
danemark,iligt,durch gebunden zu,Directive_(EU)_2016_343_de.pdf
tlinie,iften,mindestv,Directive_(EU)_2016_343_de.pdf
-,bestimmt,in b  recht,Directive_(EU)_2016_343_de.pdf
tlinie,he,-,Directive_(EU)_2016_343_de.pdf
die,Personen,-,Directive_(EU)_2016_343_de.pdf
person,gilt,erlangt,Directive_(EU)_2016_343_de.pdf
schuld,stellen,als gelten,Directive_(EU)_2016_343_de.pdf
-,1,auf,Directive_(EU)_2016_343_de.pdf
schuld,treffen,wurde in schuld enden,Directive_(EU)_2016_343_de.pdf
sie,wird,genommen,Directive_(EU)_2016_343_de.pdf
unbeschadet die,et,person,Directive_(EU)_2016_343_de.pdf
von,Beweismater,beruhen,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
insbesondere massnahmen,.,zu nehmen,Directive_(EU)_2016_343_de.pdf
offentlich verbreit en dies,hinder,uber,Directive_(EU)_2016_343_de.pdf
-,ellung,-,Directive_(EU)_2016_343_de.pdf
sie,ergreifen,werden,Directive_(EU)_2016_343_de.pdf
einzusetzen dies,daran,n zu n kontakt,Directive_(EU)_2016_343_de.pdf
sicher beweislast,stellen,bei schuld liegt,Directive_(EU)_2016_343_de.pdf
dies,gilt,vorzulegen,Directive_(EU)_2016_343_de.pdf
betreff,stellen,sollt,Directive_(EU)_2016_343_de.pdf
-,Recht,zu mussen,Directive_(EU)_2016_343_de.pdf
auf deren sie,stellen,zu verweige,Directive_(EU)_2016_343_de.pdf
sicher verdacht,stellen,zu mussen,Directive_(EU)_2016_343_de.pdf
vom verdachti personen,steht,werden,Directive_(EU)_2016_343_de.pdf
mitg liedstaat,konnen,verhalt personen,Directive_(EU)_2016_343_de.pdf
-,Wahrnehmung,zu mussen,Directive_(EU)_2016_343_de.pdf
sie,darf,begangen,Directive_(EU)_2016_343_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_343_de.pdf
recht,Mitg,konnen,Directive_(EU)_2016_343_de.pdf
-,1,-,Directive_(EU)_2016_343_de.pdf
personen,stellen,betreff zu sein,Directive_(EU)_2016_343_de.pdf
entweder von,konnen,llt,Directive_(EU)_2016_343_de.pdf
die,kann,werden,Directive_(EU)_2016_343_de.pdf
wohl entsc,konnen,kann,Directive_(EU)_2016_343_de.pdf
insbesondere sie,.,unterrichtet,Directive_(EU)_2016_343_de.pdf
artikel,Vorsch,-,Directive_(EU)_2016_343_de.pdf
te gewahr,riften,werden,Directive_(EU)_2016_343_de.pdf
unbeschadet die,gilt,e,Directive_(EU)_2016_343_de.pdf
recht,esetzt,gewahr bleibt,Directive_(EU)_2016_343_de.pdf
die,stellen,zur heidung fuhren,Directive_(EU)_2016_343_de.pdf
sicher verdachtig,stellen,rechts effektiv rechts verteidigungsrecht,Directive_(EU)_2016_343_de.pdf
mitg,verfuge,in recht uber,Directive_(EU)_2016_343_de.pdf
unbesc,eit,-,Directive_(EU)_2016_343_de.pdf
verteidigungsrec,sorgen,wurden,Directive_(EU)_2016_343_de.pdf
sind,Mitg,worden,Directive_(EU)_2016_343_de.pdf
kommission,mittelt,uber,Directive_(EU)_2016_343_de.pdf
einsch liedstaat en die,ist,beschrankt,Directive_(EU)_2016_343_de.pdf
-,Umsetzung,-,Directive_(EU)_2016_343_de.pdf
in kraf die,setzen,rschr iften,Directive_(EU)_2016_343_de.pdf
sie,setzen,kommission,Directive_(EU)_2016_343_de.pdf
bei vorsch mitg,nehmen,bezug,Directive_(EU)_2016_343_de.pdf
-,ln,-,Directive_(EU)_2016_343_de.pdf
sie,teilen,iften mit die,Directive_(EU)_2016_343_de.pdf
rich tlinie,tritt,-,Directive_(EU)_2016_343_de.pdf
tlinie,ist,-,Directive_(EU)_2016_343_de.pdf
-,hehen,-,Directive_(EU)_2016_343_de.pdf
-,L,-,Directive_(EU)_2016_343_de.pdf
-,RICHTLINIE,-,Directive_(EU)_2016_800_de.pdf
fur verdachtige,sind,-,Directive_(EU)_2016_800_de.pdf
-,UNION,-,Directive_(EU)_2016_800_de.pdf
kinder,sollen,integrat,Directive_(EU)_2016_800_de.pdf
verdachti richtlinie,zielt,entscheidung,Directive_(EU)_2016_800_de.pdf
-,.,liedstaat en beseitigt,Directive_(EU)_2016_800_de.pdf
zwar mitg,z,-,Directive_(EU)_2016_800_de.pdf
immer hinreich,hat,in n geschaff wird,Directive_(EU)_2016_800_de.pdf
zur verfahrensrec von,3,entsc,Directive_(EU)_2016_800_de.pdf
was,2)Standpunkt,im massnahme betont,Directive_(EU)_2016_800_de.pdf
-,und,-,Directive_(EU)_2016_800_de.pdf
-,3)ABl,-,Directive_(EU)_2016_800_de.pdf
reihenf,kann,entsprechend geander werden,Directive_(EU)_2016_800_de.pdf
darin einzelmassnahmen,soll,worden,Directive_(EU)_2016_800_de.pdf
am rat,eil,ihn,Directive_(EU)_2016_800_de.pdf
-,Europa,-,Directive_(EU)_2016_800_de.pdf
n,betont,zusammenarbeit,Directive_(EU)_2016_800_de.pdf
bisher  massnahmen,sind,worden,Directive_(EU)_2016_800_de.pdf
-,echt,-,Directive_(EU)_2016_800_de.pdf
-,Recht,-,Directive_(EU)_2016_800_de.pdf
sind gegen sind verfahren,wurde,-,Directive_(EU)_2016_800_de.pdf
kindesw ohl,sollten,immer char ist,Directive_(EU)_2016_800_de.pdf
in aufmerksa mkeit,sollt,potenzial,Directive_(EU)_2016_800_de.pdf
richtlinie,sollt,in gesucht,Directive_(EU)_2016_800_de.pdf
