fr_Subject,fr_Predicate,fr_Object,Triple_ID
16 directive,pose,regles minimales,directive_(eu)_2016_1919_en.txt
actes de preuve,etre capable,dans la directive,directive_(eu)_2016_1919_en.txt
quand les interets,sont,de la justice,directive_(eu)_2016_1919_en.txt
Etats membres,permet,test de moyens,directive_(eu)_2016_1919_en.txt
procedural qui,limite,ecthr,directive_(eu)_2016_1919_en.txt
18 Etats membres,poser,l'aide juridique,directive_(eu)_2016_1919_en.txt
l'aide juridique,determiner,par suspect,directive_(eu)_2016_1919_en.txt
demande,etre,accorder l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt
actes de preuve d'enquete,subvention juridique,dans la directive,directive_(eu)_2016_1919_en.txt
actes de preuve d'enquete,accorder,un tel questionnement,directive_(eu)_2016_1919_en.txt
interpretation,prendre en,de directive,directive_(eu)_2016_1919_en.txt
personnes demandees,ont,Etat membre d'execution,directive_(eu)_2016_1919_en.txt
aide juridique,ont,de charte,directive_(eu)_2016_1919_en.txt
ou avocat,etre,Etat membre emetteur,directive_(eu)_2016_1919_en.txt
ce,pris par,directive d'execution,directive_(eu)_2016_1919_en.txt
decision remise,assurer,les rendre,directive_(eu)_2016_1919_en.txt
Etats membres,assurer,echr,directive_(eu)_2016_1919_en.txt
ils le font,respect,dans les systemes de justice penale,directive_(eu)_2016_1919_en.txt
autorite competente,decider,accorder une aide juridique,directive_(eu)_2016_1919_en.txt
independant que,etre,y compris juge,directive_(eu)_2016_1919_en.txt
jusqu'ici ca,etre possible,en temps opportun,directive_(eu)_2016_1919_en.txt
Sens Unique,est,representation legale,directive_(eu)_2016_1919_en.txt
Etats membres,faciliter,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
une formation adequate,fourni,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
ce,demande,l'aide juridique,directive_(eu)_2016_1919_en.txt
Etats membres,a besoin,droit syndical,directive_(eu)_2016_1919_en.txt
disposition compromise,etre disponible,partie entiere,directive_(eu)_2016_1919_en.txt
-,est,dans la directive,directive_(eu)_2016_1919_en.txt
ou demande,inclure,l'aide juridique,directive_(eu)_2016_1919_en.txt
donnees,collecte,personnes demandees,directive_(eu)_2016_1919_en.txt
29 directive,postuler a,statut legal,directive_(eu)_2016_1919_en.txt
Etats membres,respect,comme course,directive_(eu)_2016_1919_en.txt
directif,soutient,de defense,directive_(eu)_2016_1919_en.txt
directif,mis en oeuvre dans,avec droits,directive_(eu)_2016_1919_en.txt
30 directive,pose,regles minimales,directive_(eu)_2016_1919_en.txt
Etats membres,etre capable,de protection,directive_(eu)_2016_1919_en.txt
regles minimales,constituer,ce,directive_(eu)_2016_1919_en.txt
niveau,tomber en dessous,ecthr,directive_(eu)_2016_1919_en.txt
syndicat,adopter,sur l'union europeenne,directive_(eu)_2016_1919_en.txt
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_(eu)_2016_1919_en.txt
Etats membres,prise,son application,directive_(eu)_2016_1919_en.txt
Danemark,prise,directif,directive_(eu)_2016_1919_en.txt
b qui,pose,a la decision-cadre,directive_(eu)_2016_1919_en.txt
directif,complements,directives,directive_(eu)_2016_1919_en.txt
rien,interprete comme,dans les directives,directive_(eu)_2016_1919_en.txt
OMS,2,de la criminalite,directive_(eu)_2016_1919_en.txt
OMS,s'applique,UE .,directive_(eu)_2016_1919_en.txt
OMS,s'applique,autorite chargee de l'application de la loi,directive_(eu)_2016_1919_en.txt
directif,s'applique,affaires criminelles,directive_(eu)_2016_1919_en.txt
quand la decision,s'applique,de la procedure,directive_(eu)_2016_1919_en.txt
l'aide juridique,moyens,a l'avocat,directive_(eu)_2016_1919_en.txt
quand les interets,article,de la justice,directive_(eu)_2016_1919_en.txt
aide au fond juridique,appliquer,avec paragraphe,directive_(eu)_2016_1919_en.txt
suspect,prendre en,d'avocat,directive_(eu)_2016_1919_en.txt
determiner les interets,prendre en,besoin d'aide juridique,directive_(eu)_2016_1919_en.txt
ou suspect,juge,b detention,directive_(eu)_2016_1919_en.txt
actes d'enquete,assurer,de l'article,directive_(eu)_2016_1919_en.txt
personne,accorde,infraction penale commise,directive_(eu)_2016_1919_en.txt
-,article,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
l'aide juridique,assurer,a la justice,directive_(eu)_2016_1919_en.txt
4(3 qui,faire l'objet,mutatis mutandis,directive_(eu)_2016_1919_en.txt
-,-,l'aide juridique,directive_(eu)_2016_1919_en.txt
les decisions,fait,autorite competente,directive_(eu)_2016_1919_en.txt
autorite competente,prendre ce qu'il faut,de defense,directive_(eu)_2016_1919_en.txt
leur demande,prendre necessaire,partie entiere,directive_(eu)_2016_1919_en.txt
-,article,services d'aide juridique,directive_(eu)_2016_1919_en.txt
services d'aide juridique,prendre necessaire,profession legale,directive_(eu)_2016_1919_en.txt
une formation adequate,assurer,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
Etats membres,prendre ce qu'il faut,services d'aide juridique,directive_(eu)_2016_1919_en.txt
circonstances remplacees specifiques,prendre,pour eux,directive_(eu)_2016_1919_en.txt
suspects,assurer,sous directive,directive_(eu)_2016_1919_en.txt
besoins particuliers,assurer,de directive,directive_(eu)_2016_1919_en.txt
comment les droits,.,dans la directive,directive_(eu)_2016_1919_en.txt
par la suite commission,soumettre,conseil,directive_(eu)_2016_1919_en.txt
commission,evaluer,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
qui,interprete comme,de protection,directive_(eu)_2016_1919_en.txt
Etats membres,Amener dans,25 mai,directive_(eu)_2016_1919_en.txt
ils,informer,commission immediate,directive_(eu)_2016_1919_en.txt
ils,contenir,publication officielle,directive_(eu)_2016_1919_en.txt
methodes,pose,Etats membres,directive_(eu)_2016_1919_en.txt
ils,communiquer a,directive couverte,directive_(eu)_2016_1919_en.txt
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_1919_en.txt
14 destinataires,adressee a,avec des traites,directive_(eu)_2016_1919_en.txt
-,fait a,a strasbourg,directive_(eu)_2016_1919_en.txt
-,president,pour le conseil,directive_(eu)_2016_1919_en.txt
-,president,-,directive_(eu)_2016_1919_en.txt
1 presomption,directives,des droits de l'homme,directive_(eu)_2016_343_en.txt
2 union,ensemble,de liberte,directive_(eu)_2016_343_en.txt
reconnaissance mutuelle,faciliter,droits individuels,directive_(eu)_2016_343_en.txt
principe,devenir,au sein du syndicat,directive_(eu)_2016_343_en.txt
cooperation judiciaire,est,des jugements,directive_(eu)_2016_343_en.txt
-,c,-,directive_(eu)_2016_343_en.txt
-,position de,de l'union europeenne,directive_(eu)_2016_343_en.txt
Etats membres,repose sur,systemes de justice penale,directive_(eu)_2016_343_en.txt
qui,est dependant,de principe,directive_(eu)_2016_343_en.txt
ce,montre,autres Etats membres,directive_(eu)_2016_343_en.txt
conseil de 2009,.,1 feuille de route,directive_(eu)_2016_343_en.txt
accuse qui,appels pour,pour les suspects de mesure,directive_(eu)_2016_343_en.txt
il,accueilli,au service des citoyens,directive_(eu)_2016_343_en.txt
autres issues,souligne,dans la zone,directive_(eu)_2016_343_en.txt
trois mesures,8),conseil,directive_(eu)_2016_343_en.txt
9 but,est,present au proces actuel,directive_(eu)_2016_343_en.txt
directive accuse,objectifs,affaires criminelles,directive_(eu)_2016_343_en.txt
regles minimales communes,retirer,des Etats membres,directive_(eu)_2016_343_en.txt
11 directive,appliquer,des droits de l'homme,directive_(eu)_2016_343_en.txt
ou ce dernier,appliquer au civil,de telles procedures,directive_(eu)_2016_343_en.txt
OMS,appliquer au naturel,procedure penale,directive_(eu)_2016_343_en.txt
il,postuler a partir de,notification officielle,directive_(eu)_2016_343_en.txt
personne suspecte,postuler a,infraction penale commise,directive_(eu)_2016_343_en.txt
disponible seulement decision disponible,tomber dans,de directive,directive_(eu)_2016_343_en.txt
-,directif,procedure penale,directive_(eu)_2016_343_en.txt
tierce personne,directif,de liberte,directive_(eu)_2016_343_en.txt
13 directive,reconnait,personnes physiques,directive_(eu)_2016_343_en.txt
une telle protection,reflete dans bien etabli,des droits de l'homme,directive_(eu)_2016_343_en.txt
ils,reconnu,personnes physiques,directive_(eu)_2016_343_en.txt
il,est premature,personnes morales,directive_(eu)_2016_343_en.txt
directif,s'appliquer au juridique,personnes morales,directive_(eu)_2016_343_en.txt
ce,etre sans,personnes morales,directive_(eu)_2016_343_en.txt
evolution du cas,assure par,pour l'action syndicale,directive_(eu)_2016_343_en.txt
aussi longue personne,viole,a la loi,directive_(eu)_2016_343_en.txt
personne,refleter,pas d'avis,directive_(eu)_2016_343_en.txt
droits fournis,etre sans,de defense,directive_(eu)_2016_343_en.txt
de telles decisions,etre sans,suspect referer la personne,directive_(eu)_2016_343_en.txt
decision concernee,ont,aux elements,directive_(eu)_2016_343_en.txt
compris cela,compris,concernant l'immunite,directive_(eu)_2016_343_en.txt
lors des poursuites,empecher le public,troubles a l'ordre public,directive_(eu)_2016_343_en.txt
ce,confine a,en compte,directive_(eu)_2016_343_en.txt
est coupable il,creer,a la loi,directive_(eu)_2016_343_en.txt
des personnes si longues,prendre ce qu'il faut,a la loi,directive_(eu)_2016_343_en.txt
Etats membres,informer le public,aux medias,directive_(eu)_2016_343_en.txt
ce,etre sans,de la presse,directive_(eu)_2016_343_en.txt
utilisation des jambes,s'abstenir de,comme temoins,directive_(eu)_2016_343_en.txt
autorites competentes,impliquer,de telles mesures,directive_(eu)_2016_343_en.txt
-,-,de l'union europeenne,directive_(eu)_2016_343_en.txt
personnes,s'abstenir de,eviter l'impression,directive_(eu)_2016_343_en.txt
doute,est sur,suspect,directive_(eu)_2016_343_en.txt
fardeau,enfreint,personne suspecte,directive_(eu)_2016_343_en.txt
moyens,confine dans des limites raisonnables,objectif legitime proportionne,directive_(eu)_2016_343_en.txt
ou les droits,etre refutable,de defense,directive_(eu)_2016_343_en.txt
seules poursuites,charge de,recherche de preuves a charge,directive_(eu)_2016_343_en.txt
a condition qu'il,etre capable,droit syndical,directive_(eu)_2016_343_en.txt
24 a droite,est,de l'auto-incrimination,directive_(eu)_2016_343_en.txt
25 a droite,est,de l'innocence,directive_(eu)_2016_343_en.txt
qui,force,a l'auto-incrimination,directive_(eu)_2016_343_en.txt
personne,postuler a,personne suspecte,directive_(eu)_2016_343_en.txt
personnes,impliquer,informations sur l'accuse,directive_(eu)_2016_343_en.txt
pretation inter violee,pris dans,en compte,directive_(eu)_2016_343_en.txt
personne,utilise contre,infraction penale,directive_(eu)_2016_343_en.txt
qui,prevenir,des tests ADN,directive_(eu)_2016_343_en.txt
a condition que cela,empecher,proces equitable,directive_(eu)_2016_343_en.txt
il,considerer,avec directives,directive_(eu)_2016_343_en.txt
33 a droite,est,societe democratique,directive_(eu)_2016_343_en.txt
droite,base sur,tout au long de l'union,directive_(eu)_2016_343_en.txt
ils,ont,loi nationale,directive_(eu)_2016_343_en.txt
35 a droite,est,present au proces actuel,directive_(eu)_2016_343_en.txt
suspects,etre capable,pouvoir expressement pouvoir droit,directive_(eu)_2016_343_en.txt
meme personne,etre possible,present au proces actuel,directive_(eu)_2016_343_en.txt
ou suspect,etre,de non-apparition,directive_(eu)_2016_343_en.txt
ce,compris,conscient du proces conscient,directive_(eu)_2016_343_en.txt
il a remis,compris,au proces,directive_(eu)_2016_343_en.txt
OMS,etre possible,personne suspecte,directive_(eu)_2016_343_en.txt
attention particuliere,versee a,a lui,directive_(eu)_2016_343_en.txt
l'a fui,etre possible,decision,directive_(eu)_2016_343_en.txt
ils ont apprehende,assurer,Remede legal,directive_(eu)_2016_343_en.txt
de telles informations,Fourni dans,en cours d'ecriture,directive_(eu)_2016_343_en.txt
information,fourni,loi nationale,directive_(eu)_2016_343_en.txt
ou ce,autorise,procedure penale,directive_(eu)_2016_343_en.txt
presence,etre,de temoin,directive_(eu)_2016_343_en.txt
une audience,exerce,present au proces actuel,directive_(eu)_2016_343_en.txt
regles d'application nationales,moyens,pour entendre,directive_(eu)_2016_343_en.txt
regles nationales,conformer a,proces equitable,directive_(eu)_2016_343_en.txt
audience,est,dans lequel,directive_(eu)_2016_343_en.txt
besoins particuliers,assurer,pris en compte pris en compte,directive_(eu)_2016_343_en.txt
mentale ils,compris,a leur age,directive_(eu)_2016_343_en.txt
43 enfants,sont vulnerables,de protection,directive_(eu)_2016_343_en.txt
garanties procedurales,etabli,dans la directive,directive_(eu)_2016_343_en.txt
Etats membres,a besoin,droit syndical,directive_(eu)_2016_343_en.txt
enfreindre,ont,de defense,directive_(eu)_2016_343_en.txt
tribunaux,respect,de la procedure,directive_(eu)_2016_343_en.txt
rendre la procedure,devait,dans son ensemble,directive_(eu)_2016_343_en.txt
declaration,invoque comme,comme preuve,directive_(eu)_2016_343_en.txt
Etats membres,envoyer disponible,commission,directive_(eu)_2016_343_en.txt
ces donnees,inclure,present au proces actuel,directive_(eu)_2016_343_en.txt
47 directive,soutient,de defense,directive_(eu)_2016_343_en.txt
ils,avait,du droit syndical,directive_(eu)_2016_343_en.txt
Etats membres,etre capable,de protection,directive_(eu)_2016_343_en.txt
niveau,tomber en dessous,des droits de l'homme,directive_(eu)_2016_343_en.txt
syndicat,adopter,5 evp,directive_(eu)_2016_343_en.txt
au-dela de quoi,aller au-dela,atteindre les objectifs,directive_(eu)_2016_343_en.txt
Etats membres,prise,son application,directive_(eu)_2016_343_en.txt
Danemark,prise,directif,directive_(eu)_2016_343_en.txt
directif,pose,procedure penale,directive_(eu)_2016_343_en.txt
OMS,s'applique au naturel,procedure penale,directive_(eu)_2016_343_en.txt
de personne,s'applique a,infraction penale commise,directive_(eu)_2016_343_en.txt
suspects,assurer,a la loi,directive_(eu)_2016_343_en.txt
declarations publiques,prendre,referer a referer la personne,directive_(eu)_2016_343_en.txt
qui,etre sans,soupconne,directive_(eu)_2016_343_en.txt
Mesures appropriees,assurer,article particulier,directive_(eu)_2016_343_en.txt
obligation,empecher le public,interet public,directive_(eu)_2016_343_en.txt
s'assurer que les suspects,article,Contrainte physique,directive_(eu)_2016_343_en.txt
ce,prevenir,tiers,directive_(eu)_2016_343_en.txt
fardeau,assurer,est en cours,directive_(eu)_2016_343_en.txt
ce,etre sans,loi nationale,directive_(eu)_2016_343_en.txt
evalue la personne,assurer,le suspect est une personne,directive_(eu)_2016_343_en.txt
ils,assurer,ce,directive_(eu)_2016_343_en.txt
suspects,assurer,s'incriminer,directive_(eu)_2016_343_en.txt
qui,prevenir,des suspects,directive_(eu)_2016_343_en.txt
autorites judiciaires,permettre,des suspects,directive_(eu)_2016_343_en.txt
pas eux,utilise contre,infraction penale,directive_(eu)_2016_343_en.txt
-,droite,present au proces actuel,directive_(eu)_2016_343_en.txt
suspects,assurer,leur proces actuel,directive_(eu)_2016_343_en.txt
OMS,fournir,Etat,directive_(eu)_2016_343_en.txt
qui,applique contre,contre personne,directive_(eu)_2016_343_en.txt
efforts raisonnables,prevoir,de l'article,directive_(eu)_2016_343_en.txt
decision,fournir,-,directive_(eu)_2016_343_en.txt
ils ont apprehende,assurer,avec articles,directive_(eu)_2016_343_en.txt
a condition que cela,etre sans,proces equitable,directive_(eu)_2016_343_en.txt
decision initiale,assurer,nouvelle preuve,directive_(eu)_2016_343_en.txt
suspects,assurer,de defense,directive_(eu)_2016_343_en.txt
leurs droits,assurer,sous directive,directive_(eu)_2016_343_en.txt
droits,assurer,de la procedure,directive_(eu)_2016_343_en.txt
comment les droits,rapport,dans la directive,directive_(eu)_2016_343_en.txt
commission,soumettre,de directive,directive_(eu)_2016_343_en.txt
qui,interprete comme,de protection,directive_(eu)_2016_343_en.txt
Etats membres,Amener dans,1er avril,directive_(eu)_2016_343_en.txt
ils,informer,commission immediate,directive_(eu)_2016_343_en.txt
ils,contenir,publication officielle,directive_(eu)_2016_343_en.txt
methodes,pose,Etats membres,directive_(eu)_2016_343_en.txt
ils,communiquer a,directive couverte,directive_(eu)_2016_343_en.txt
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_343_en.txt
16 destinataires,adressee a,avec des traites,directive_(eu)_2016_343_en.txt
-,fait a,a strasbourg,directive_(eu)_2016_343_en.txt
-,president,pour le conseil,directive_(eu)_2016_343_en.txt
OMS,directives,integration sociale - delinquance,directive_(eu)_2016_800_en.txt
directive accuse,objectifs,affaires criminelles,directive_(eu)_2016_800_en.txt
regles minimales,retirer,des Etats membres,directive_(eu)_2016_800_en.txt
ce,montre,autres Etats membres,directive_(eu)_2016_800_en.txt
conseil de 2009,adopte,3 feuille de route,directive_(eu)_2016_800_en.txt
OMS,appels pour,personnes soupconnees de mesure,directive_(eu)_2016_800_en.txt
feuille de route,souligne,1 jo c,directive_(eu)_2016_800_en.txt
-,position de,21 avril,directive_(eu)_2016_800_en.txt
-,c,-,directive_(eu)_2016_800_en.txt
donc indicatif,-,avec des priorites,directive_(eu)_2016_800_en.txt
ses avantages,experimente dans,comme concu ensemble,directive_(eu)_2016_800_en.txt
il,accueilli,au service des citoyens,directive_(eu)_2016_800_en.txt
autres issues,souligne,dans la zone,directive_(eu)_2016_800_en.txt
quatre mesures,adopte en vertu,du parlement europeen,directive_(eu)_2016_800_en.txt
7 directive,favorise,justice amicale,directive_(eu)_2016_800_en.txt
meilleurs interets,assurer,de l'union europeenne,directive_(eu)_2016_800_en.txt
OMS,donne en particulier,dans la societe,directive_(eu)_2016_800_en.txt
OMS,postuler a,enfants,directive_(eu)_2016_800_en.txt
dispositions pertinentes,postuler a partir de,Etat membre d'execution,directive_(eu)_2016_800_en.txt
ou l'application,postuler a,de personne,directive_(eu)_2016_800_en.txt
qui,encourage,de 18,directive_(eu)_2016_800_en.txt
une telle preuve,determiner,etat civil,directive_(eu)_2016_800_en.txt
examen medical,porte,droits de l'enfant,directive_(eu)_2016_800_en.txt
personne,presume,de directive,directive_(eu)_2016_800_en.txt
-,directif,procedure penale,directive_(eu)_2016_800_en.txt
tierce personne,directif,autorites consulaires,directive_(eu)_2016_800_en.txt
-,decision,entre les Etats membres,directive_(eu)_2016_800_en.txt
14 directive,appliquer dans,infractions mineures,directive_(eu)_2016_800_en.txt
OMS,appliquer,de liberte,directive_(eu)_2016_800_en.txt
autorite,a,infractions mineures,directive_(eu)_2016_800_en.txt
qui,etre,apres le controle du trafic,directive_(eu)_2016_800_en.txt
autorites deraisonnables competentes,etre deraisonnable,sous directive,directive_(eu)_2016_800_en.txt
directif,appliquer,apres appel,directive_(eu)_2016_800_en.txt
infractions mineures,considere,reglements municipaux,directive_(eu)_2016_800_en.txt
directif,appliquer,affaires criminelles,directive_(eu)_2016_800_en.txt
17 directive,appliquer,procedure penale,directive_(eu)_2016_800_en.txt
qui,appliquer a d'autres,Mesures protectives,directive_(eu)_2016_800_en.txt
18 directive,mis en oeuvre,des directives,directive_(eu)_2016_800_en.txt
directif,prevoit plus loin,des enfants,directive_(eu)_2016_800_en.txt
19 enfants,recevoir,de la procedure,directive_(eu)_2016_800_en.txt
loin ce,donne,des autorites,directive_(eu)_2016_800_en.txt
information,depend de,de cas,directive_(eu)_2016_800_en.txt
ou mesurer,recevoir,a l'enfant,directive_(eu)_2016_800_en.txt
lettre,inclure clair,sous directive,directive_(eu)_2016_800_en.txt
22 Etats membres,informer,en cours d'ecriture,directive_(eu)_2016_800_en.txt
information,fourni,d'enfant,directive_(eu)_2016_800_en.txt
information,fourni a,autorite competente,directive_(eu)_2016_800_en.txt
avec support,est,avec un enfant,directive_(eu)_2016_800_en.txt
qui,fourni a,responsabilite parentale,directive_(eu)_2016_800_en.txt
exigence,prolonger,procedure penale,directive_(eu)_2016_800_en.txt
OMS,ont,avec directives,directive_(eu)_2016_800_en.txt
ils,assiste par,dans la directive,directive_(eu)_2016_800_en.txt
ou enfant,organiser,une telle aide,directive_(eu)_2016_800_en.txt
assurer l'enfant necessaire,fournir juridique,avocat assiste efficacement,directive_(eu)_2016_800_en.txt
enfant,presuppose,sous directive,directive_(eu)_2016_800_en.txt
telle disposition,postuler a,/ UE,directive_(eu)_2016_800_en.txt
derogations,affecter,droit syndical national,directive_(eu)_2016_800_en.txt
ils,appliquer sans exces,mis au courant,directive_(eu)_2016_800_en.txt
assistance,signifie legal,procedure penale,directive_(eu)_2016_800_en.txt
avocat,etre present,pendant l'interrogatoire,directive_(eu)_2016_800_en.txt
assistance,exiger,preuve presente acte,directive_(eu)_2016_800_en.txt
enquete,inclure,loi nationale,directive_(eu)_2016_800_en.txt
enfant suspect,ont,des droits de l'homme,directive_(eu)_2016_800_en.txt
ou enfant,rend express,procedure penale,directive_(eu)_2016_800_en.txt
il,suspendu,avec directives,directive_(eu)_2016_800_en.txt
meilleurs interets,etre capable,de cas,directive_(eu)_2016_800_en.txt
quand ils,assiste par,bien la detention,directive_(eu)_2016_800_en.txt
permettre a l'enfant,impose comme,devant le tribunal,directive_(eu)_2016_800_en.txt
Etats membres,etre capable,en ce qui concerne,directive_(eu)_2016_800_en.txt
Action immediate,etre capable,infraction penale,directive_(eu)_2016_800_en.txt
un tel questionnement,etre capable,s'incriminer,directive_(eu)_2016_800_en.txt
ce,etre possible,procedure penale,directive_(eu)_2016_800_en.txt
abus,prejudice,de defense,directive_(eu)_2016_800_en.txt
ils,ensemble,utilisation restreinte,directive_(eu)_2016_800_en.txt
derogation temporaire,etre proportionnel,de la procedure,directive_(eu)_2016_800_en.txt
pas de decision,assurer,pendant la phase d'essai,directive_(eu)_2016_800_en.txt
33 confidentialite,C est la cle,proces equitable,directive_(eu)_2016_800_en.txt
Etats membres,respect,sans derogation,directive_(eu)_2016_800_en.txt
avocat,est sans,infraction penale,directive_(eu)_2016_800_en.txt
activite criminelle,considere,de directive,directive_(eu)_2016_800_en.txt
arrangements,implique,telle respecter la confidentialite,directive_(eu)_2016_800_en.txt
autoriser les autorites competentes,est sans,entre enfants,directive_(eu)_2016_800_en.txt
a la correspondance,est,tribunal soumis competent,directive_(eu)_2016_800_en.txt
ce,est sans,autorites competentes,directive_(eu)_2016_800_en.txt
titre v,est,Securite interne,directive_(eu)_2016_800_en.txt
dans la mesure ou ils,ont,peine particuliere,directive_(eu)_2016_800_en.txt
evaluation individuelle,prendre en,comme troubles d'apprentissage,directive_(eu)_2016_800_en.txt
enfant enleve,etre possible,d'offense,directive_(eu)_2016_800_en.txt
il,utilise,passe recent,directive_(eu)_2016_800_en.txt
mesure specifique,prendre,procedure penale,directive_(eu)_2016_800_en.txt
conditions prevues,prevenir,de la procedure,directive_(eu)_2016_800_en.txt
evaluation individuelle,concernant,de mesures,directive_(eu)_2016_800_en.txt
evaluation individuelle,evalue,-,directive_(eu)_2016_800_en.txt
information,prendre,du proces,directive_(eu)_2016_800_en.txt
a condition que cela,etre possible,le meilleur est l'interet,directive_(eu)_2016_800_en.txt
evaluation individuelle,etre,telle detention disponible,directive_(eu)_2016_800_en.txt
derogation prevue,etre capable,le mieux est les interets compatibles,directive_(eu)_2016_800_en.txt
cas,pris dans,sans acte d'accusation,directive_(eu)_2016_800_en.txt
ou les enfants,sous-tend,position de faiblesse,directive_(eu)_2016_800_en.txt
enfant,ont,examen medical,directive_(eu)_2016_800_en.txt
indications sanitaires specifiques,porte,avocat pour enfants,directive_(eu)_2016_800_en.txt
ce,poser,de tels examens,directive_(eu)_2016_800_en.txt
deux demandes,adresse,de temps,directive_(eu)_2016_800_en.txt
ils,sont,qui,directive_(eu)_2016_800_en.txt
meilleurs interets,enregistre,de liberte,directive_(eu)_2016_800_en.txt
directif,exiger,par juge,directive_(eu)_2016_800_en.txt
il,etre capable,meilleurs interets compatibles,directive_(eu)_2016_800_en.txt
ce,porte,des enfants,directive_(eu)_2016_800_en.txt
quand ils,sont dans,de liberte,directive_(eu)_2016_800_en.txt
privation,entreprise,dans la societe,directive_(eu)_2016_800_en.txt
Etats membres,rendre pratique,de la garde a vue,directive_(eu)_2016_800_en.txt
delit delictuel,est sans,dans des situations,directive_(eu)_2016_800_en.txt
-,-,je,directive_(eu)_2016_800_en.txt
autorites competentes,considerer,de telles mesures,directive_(eu)_2016_800_en.txt
enfant,inclure,programmes therapeutiques,directive_(eu)_2016_800_en.txt
qui,faire l'objet,par le tribunal,directive_(eu)_2016_800_en.txt
qui,etre possible,autorite judiciaire,directive_(eu)_2016_800_en.txt
examen de l'enfant,prevoir des pratiques,tribunal d'office,directive_(eu)_2016_800_en.txt
detenus ils,beneficier d'offres speciales,mesures de protection speciales,directive_(eu)_2016_800_en.txt
il,detenu,d'enfant,directive_(eu)_2016_800_en.txt
il,etre possible,de personne,directive_(eu)_2016_800_en.txt
enfants detenus,versee a,vulnerabilite inherente,directive_(eu)_2016_800_en.txt
enfants,ont,leurs besoins,directive_(eu)_2016_800_en.txt
ce,assurer,meilleurs interets compatibles,directive_(eu)_2016_800_en.txt
ce,etre possible,meilleurs interets contraires,directive_(eu)_2016_800_en.txt
vigilance particuliere,requis sur,integrite physique,directive_(eu)_2016_800_en.txt
determiner les personnes,est,loi nationale,directive_(eu)_2016_800_en.txt
personnes,encourage,jeunes adultes qualifies,directive_(eu)_2016_800_en.txt
Etats membres detenus,prendre ce qu'il faut,dans la directive,directive_(eu)_2016_800_en.txt
de telles mesures,assurer,a la vie de famille,directive_(eu)_2016_800_en.txt
