de_Subject,de_Predicate,de_Object,Triple_ID,de_Subject_concept,de_Predicate_concept,de_Object_concept
Vertrauen,verbessern,Erkennung,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,gemeinsame Mindestregeln,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,also verbessern,Strafsachen,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern,Anerkennung von Entscheidungen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,gemeinsame Mindestregeln bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,somit verbessern,gegenseitige Anerkennung,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Mindestregeln,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Festlegung gemeinsamer Mindestregeln,directive_(eu)_2016_1919_en.txt,-,-,-
andere,In,Strafjustizsysteme,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Festlegung von Mindestregeln,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Konvention zum Schutz der Menschenrechte,directive_(eu)_2016_1919_en.txt,-,-,Menschenrechte
Artikel 47,des Absatzes ist,C,directive_(eu)_2016_1919_en.txt,-,-,-
Europaische Konvention,des Absatzes ist,C,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Europaische Konvention,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Europaisches Ubereinkommen zum Schutz,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Konvention zum Schutz der Menschenrechte,directive_(eu)_2016_1919_en.txt,-,-,Menschenrechte
Rechts,Absatz von,Konvention,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 der Charta der Grundrechte der Europaischen Union,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Konvention zum Schutz,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 Charta der Grundrechte der Europaischen Union,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Konvention zum Schutz,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Europaisches Ubereinkommen zum Schutz,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 der Charta der Grundrechte der Europaischen Union,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,ist in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Rechts,dritter Absatz von,Europaische Konvention,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47,directive_(eu)_2016_1919_en.txt,-,-,-
Artikel 47,des Absatzes ist,Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 Charta der Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 Charta der Grundrechte der Europaischen Union,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 der Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 Charta der Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 der Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Konvention,directive_(eu)_2016_1919_en.txt,-,-,-
internationaler Pakt,des Artikels ist,D,directive_(eu)_2016_1919_en.txt,internationaler Markt,-,-
Europaische Konvention,des Absatzes ist,Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,dritter Absatz von,Artikel 47 der Charta der Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Europaische Konvention,des Absatzes ist,Artikel 6 3,directive_(eu)_2016_1919_en.txt,-,-,-
Artikel 47,des Absatzes ist,Artikel 6 3,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 der Charta der Grundrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Absatz von,Artikel 47 Charta,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,haben denselben rechtlichen Wert wie Vertrage,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,Rechtswert als Vertrage,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,gleichen Wert,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,Sind,Parteien,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,Wert als Vertrage,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,gleichen Wert wie Vertrage,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,gleicher Rechtswert,directive_(eu)_2016_1919_en.txt,-,-,-
Mitgliedsstaaten,sind Parteien von,echr,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,Wert,directive_(eu)_2016_1919_en.txt,-,-,-
Charta,hat,rechtlicher Wert,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren mit,Konsularbehorden,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren mit,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren mit,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Rat,ist in,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren,wahrend beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren mit,Dritte Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Party,daruber informiert,Freiheitsberaubung,directive_(eu)_2016_1919_en.txt,-,-,Freiheitsberaubung
dritte Seite,kommunizieren,der Freiheit beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren mit,Konsularbehorden,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren mit,Dritte Personen,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,daruber informiert,Freiheitsberaubung,directive_(eu)_2016_1919_en.txt,-,-,Freiheitsberaubung
dritte Seite,kommunizieren,beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren,wahrend beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren,wahrend der Freiheit beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtsanwalt,ist in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
dritte Seite,daruber informiert,Entbehrung,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren,beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren,wahrend der Freiheit beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
Party,daruber informiert,Entbehrung,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren mit,Behorden,directive_(eu)_2016_1919_en.txt,-,-,-
dritte Seite,kommunizieren mit,Behorden,directive_(eu)_2016_1919_en.txt,-,-,-
Party,kommunizieren,der Freiheit beraubt,directive_(eu)_2016_1919_en.txt,-,-,-
verdachtige Personen,der Rechte ist,Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
verdachtige Personen,ist in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Roadmap,fordert,Annahme,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,fordert,Verabschiedung von Massnahmen,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,ruft genau nach,a messen,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,nehmen,Schritt-fur-Schritt-Ansatz,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,besondere Schutzmassnahmen fur,Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,Anrufe,Recht auf Auskunft uber Rechte bezuglich Gebuhren,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,ruft genau nach,Verabschiedung von Massnahmen,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,Anrufe,Recht auf Information,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Recht auf,Rechtsberatung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechts,Schutzmassnahmen fur,Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,ruft genau nach,Ergreifung von Massnahmen bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,fordert,a messen,directive_(eu)_2016_1919_en.txt,-,-,-
Information,nach rechts ist,Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
Mittel,der Adoption ist,a messen,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,fordert,Ergreifung von Massnahmen bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,ruft genau nach,Annahme,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,Anrufe,Recht auf Auskunft uber Rechte,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,nehmen,schrittweiser Ansatz,directive_(eu)_2016_1919_en.txt,-,-,-
Roadmap,Anrufe,Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,gemacht,Es ist Teil des Stockholm-Programms,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,gemacht,es Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Es,Teil von,Punkt 2.4,directive_(eu)_2016_1919_en.txt,-,-,-
Es,Teil von,2,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,begrusst,Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
Es,Teil von,Stockholm-Programm,directive_(eu)_2016_1919_en.txt,-,-,-
bessere Zusammenarbeit,ist in,Bereich,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente von Mindestrechten fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,einladend,prufen,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente von Mindestverfahrensrechten,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente von Mindestrechten,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,bewerten,ob,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente der Verfahrensrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente der Rechte von Verdachtigen,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,einladend,prufen,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente der Verfahrensrechte fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichen,nicht erschopfender Charakter,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente der Rechte fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Rechteelemente,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichen,Charakter,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichenes Zeichen,durch Einladung,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente von Mindestverfahrensrechten fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichen,nicht erschopfender Charakter der Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
weitere Elemente,beschuldigt,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Elemente,beschuldigt,Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente der Verfahrensrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente von Mindestrechten fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente der Mindestverfahrensrechte fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,einladend,Kommission,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente von Rechten,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente der Mindestverfahrensrechte,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente der Verfahrensrechte fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,weitere Elemente von Mindestrechten,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichen,Charakter der Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
Kommission,prufen,Elemente fur Verdachtige,directive_(eu)_2016_1919_en.txt,-,-,-
europaischer Rat,unterstrichenes Zeichen,einladend,directive_(eu)_2016_1919_en.txt,-,-,-
Verfahrensrechte,ist in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Europaisches Parlament,von eu ist,3,directive_(eu)_2016_1919_en.txt,-,-,-
funf Massnahmen,haben,habe adoptiert,directive_(eu)_2016_1919_en.txt,-,-,-
6 funf Takte,haben,habe adoptiert,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil der Massnahme c der Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil der Massnahme c betreffend Beihilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil zur Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil der Massnahme c betreffend Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Massnahme c des Fahrplans zur Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil der Massnahme c des Fahrplans zur Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Massnahme c,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,Teil uber Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil von Takt c,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,Teil der Beihilfemassnahme c,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,Teil der Massnahme c betreffend Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,Teil der Massnahme c des Fahrplans zur Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil uber Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt,-,-,Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Massnahme c der Roadmap,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil zum Thema Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,bezieht sich auf,zweiter Teil der Massnahme c des Fahrplans zur Hilfe,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,abdecken sollte,Kosten der Verteidigung von Verdachtigen,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,abdecken sollte,Kosten,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,abdecken sollte,Kosten der Verteidigung von Verdachtigen,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,abdecken sollte,Kosten,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen Personen,Kosten von,Verteidigung,directive_(eu)_2016_1919_en.txt,-,-,-
Personen Personen,Kosten von,Verteidigung von Verdachtigen,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,abdecken sollte,Angeklagte Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,abdecken sollte,Kosten der Verteidigung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,abdecken sollte,Kosten der Verteidigung,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,abdecken sollte,Angeklagte Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen Personen,Kosten von,Verteidigung,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,abdecken sollte,Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,abdecken sollte,Personen Personen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen Personen,Kosten von,Verteidigung von Verdachtigen,directive_(eu)_2016_1919_en.txt,-,-,-
Gewahrung von Prozesskostenhilfe,sollen,sollte in der Lage sein,directive_(eu)_2016_1919_en.txt,Prozesskostenhilfe,-,-
Gewahrung von Prozesskostenhilfe,sollen,wann sollte es moglich sein,directive_(eu)_2016_1919_en.txt,Prozesskostenhilfe,-,-
Rechtshilfe,sollen,wann sollte es moglich sein,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,tragen,Teil der Kosten selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Bar abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,tragen,Teil der Kosten selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Bar abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Gewahrung von Hilfen,sollen,sollte in der Lage sein,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,Bar abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Barenteil abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,Teil von,kostet sich selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Gewahrung von Hilfen,sollen,wann sollte es moglich sein,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,Bar abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Barenteil abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Barenteil abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Gewahrung von Prozesskostenhilfe,Behorden von,Mitgliedsstaaten,directive_(eu)_2016_1919_en.txt,Prozesskostenhilfe,-,-
Verdachtige,Barenteil abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Teil von,kostet sich selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,Bar abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,tragen,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,Barenteil abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,tragen,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,tragen,Teil der Kosten selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Barenteil abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,sollen,sollte in der Lage sein,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,Barenteil abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Hilfe,sollen,wann sollte es moglich sein,directive_(eu)_2016_1919_en.txt,-,-,-
Rechtshilfe,sollen,sollte in der Lage sein,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,Bar abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,tragen,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,tragen,Teil der Kosten selbst,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,Bar abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,Barenteil abhangig,abhangig von ihren Ressourcen,directive_(eu)_2016_1919_en.txt,-,-,-
Personen,tragen,Teil,directive_(eu)_2016_1919_en.txt,-,-,-
Angeklagte Personen,Bar abhangig,abhangig von ihren finanziellen Moglichkeiten,directive_(eu)_2016_1919_en.txt,-,-,-
Gerechtigkeit,des Gerichts ist,Gericht,directive_(eu)_2016_1919_en.txt,-,-,-
Gericht,Gericht von,Gerechtigkeit,directive_(eu)_2016_1919_en.txt,-,-,-
Strafverfolgungsbehorde,ist in,Kontext eines Strafverfahrens,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,Referenz,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,ausdrucklichen Bezug zur Situation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,ausdrucklicher Hinweis,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,ausdrucklichen Bezug zur Praxissituation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,Referenz,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,Bezug zur Praxissituation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,Bezug zur Situation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,Bezug zur Situation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,ausdrucklichen Bezug zur Situation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,ausdrucklichen Bezug zur Praxissituation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht,Bezug zur Praxissituation,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,macht also,ausdrucklicher Hinweis,directive_(eu)_2016_1919_en.txt,-,-,-
Befragung,Sei,ausgesetzt,directive_(eu)_2016_1919_en.txt,-,-,-
Person,wird in,Kurs,directive_(eu)_2016_1919_en.txt,-,-,-
