en_Subject,en_Predicate,en_Object,Triple_ID
right,third paragraph of,convention for protection,directive_(eu)_2016_1919_en.txt
right,paragraph of,european convention for protection,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 charter,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 of charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt
legal aid,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
right,third paragraph of,european convention,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47,directive_(eu)_2016_1919_en.txt
article 47,of paragraph is,charter,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 charter of fundamental rights,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 of charter,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 charter of fundamental rights,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 of charter,directive_(eu)_2016_1919_en.txt
right,third paragraph of,convention,directive_(eu)_2016_1919_en.txt
international covenant,of article is,d,directive_(eu)_2016_1919_en.txt
european convention,of paragraph is,charter,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 of charter of fundamental rights,directive_(eu)_2016_1919_en.txt
european convention,of paragraph is,article 6 3,directive_(eu)_2016_1919_en.txt
article 47,of paragraph is,article 6 3,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 of charter of fundamental rights,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 charter,directive_(eu)_2016_1919_en.txt
charter,has,same legal value as treaties,directive_(eu)_2016_1919_en.txt
charter,has,legal value as treaties,directive_(eu)_2016_1919_en.txt
charter,has,same value,directive_(eu)_2016_1919_en.txt
member states,are,parties,directive_(eu)_2016_1919_en.txt
charter,has,value as treaties,directive_(eu)_2016_1919_en.txt
charter,has,same value as treaties,directive_(eu)_2016_1919_en.txt
charter,has,same legal value,directive_(eu)_2016_1919_en.txt
member states,are parties to,echr,directive_(eu)_2016_1919_en.txt
charter,has,value,directive_(eu)_2016_1919_en.txt
charter,has,legal value,directive_(eu)_2016_1919_en.txt
third party,communicate with,consular authorities,directive_(eu)_2016_1919_en.txt
party,communicate with,persons,directive_(eu)_2016_1919_en.txt
third party,communicate with,persons,directive_(eu)_2016_1919_en.txt
council,is in,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
third party,communicate,while deprived,directive_(eu)_2016_1919_en.txt
party,communicate with,third persons,directive_(eu)_2016_1919_en.txt
party,informed upon,deprivation of liberty,directive_(eu)_2016_1919_en.txt
third party,communicate,deprived of liberty,directive_(eu)_2016_1919_en.txt
party,communicate with,consular authorities,directive_(eu)_2016_1919_en.txt
third party,communicate with,third persons,directive_(eu)_2016_1919_en.txt
third party,informed upon,deprivation of liberty,directive_(eu)_2016_1919_en.txt
third party,communicate,deprived,directive_(eu)_2016_1919_en.txt
party,communicate,while deprived,directive_(eu)_2016_1919_en.txt
party,communicate,while deprived of liberty,directive_(eu)_2016_1919_en.txt
lawyer,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
third party,informed upon,deprivation,directive_(eu)_2016_1919_en.txt
party,communicate,deprived,directive_(eu)_2016_1919_en.txt
third party,communicate,while deprived of liberty,directive_(eu)_2016_1919_en.txt
party,informed upon,deprivation,directive_(eu)_2016_1919_en.txt
party,communicate with,authorities,directive_(eu)_2016_1919_en.txt
third party,communicate with,authorities,directive_(eu)_2016_1919_en.txt
party,communicate,deprived of liberty,directive_(eu)_2016_1919_en.txt
suspected persons,of rights is,roadmap,directive_(eu)_2016_1919_en.txt
suspected persons,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
roadmap,calls for,adoption,directive_(eu)_2016_1919_en.txt
roadmap,calls for,adoption of measures,directive_(eu)_2016_1919_en.txt
roadmap,calls right for,measure a,directive_(eu)_2016_1919_en.txt
roadmap,taking,step by step approach,directive_(eu)_2016_1919_en.txt
right,special safeguards for,suspects,directive_(eu)_2016_1919_en.txt
roadmap,calls,right to information on rights about charges,directive_(eu)_2016_1919_en.txt
roadmap,calls right for,adoption of measures,directive_(eu)_2016_1919_en.txt
roadmap,calls,right to information,directive_(eu)_2016_1919_en.txt
right,right to,legal advice,directive_(eu)_2016_1919_en.txt
right,safeguards for,suspects,directive_(eu)_2016_1919_en.txt
roadmap,calls right for,adoption of measures regarding,directive_(eu)_2016_1919_en.txt
roadmap,calls for,measure a,directive_(eu)_2016_1919_en.txt
information,to right is,right,directive_(eu)_2016_1919_en.txt
measures,of adoption is,measure a,directive_(eu)_2016_1919_en.txt
roadmap,calls for,adoption of measures regarding,directive_(eu)_2016_1919_en.txt
roadmap,calls right for,adoption,directive_(eu)_2016_1919_en.txt
roadmap,calls,right to information on rights,directive_(eu)_2016_1919_en.txt
roadmap,taking,step approach,directive_(eu)_2016_1919_en.txt
roadmap,calls,right,directive_(eu)_2016_1919_en.txt
european council,made,it part of stockholm programme,directive_(eu)_2016_1919_en.txt
european council,made,it part,directive_(eu)_2016_1919_en.txt
it,part of,point 2.4,directive_(eu)_2016_1919_en.txt
it,part of,2,directive_(eu)_2016_1919_en.txt
european council,welcomed,roadmap,directive_(eu)_2016_1919_en.txt
it,part of,stockholm programme,directive_(eu)_2016_1919_en.txt
better cooperation,is in,area,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of minimum rights for suspects,directive_(eu)_2016_1919_en.txt
european council,inviting,examine,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of minimum procedural rights,directive_(eu)_2016_1919_en.txt
commission,examine,elements of minimum rights,directive_(eu)_2016_1919_en.txt
european council,assess,whether,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of procedural rights,directive_(eu)_2016_1919_en.txt
commission,examine,elements of rights for suspects,directive_(eu)_2016_1919_en.txt
commission,examine,further elements for suspects,directive_(eu)_2016_1919_en.txt
european council,inviting,to examine,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of procedural rights for suspects,directive_(eu)_2016_1919_en.txt
european council,underlined,non-exhaustive character,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of rights for suspects,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of rights,directive_(eu)_2016_1919_en.txt
commission,examine,further elements,directive_(eu)_2016_1919_en.txt
european council,underlined,character,directive_(eu)_2016_1919_en.txt
european council,underlined character,by inviting,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of minimum procedural rights for suspects,directive_(eu)_2016_1919_en.txt
european council,underlined,non-exhaustive character of roadmap,directive_(eu)_2016_1919_en.txt
further elements,accused,persons,directive_(eu)_2016_1919_en.txt
elements,accused,persons,directive_(eu)_2016_1919_en.txt
commission,examine,elements of procedural rights,directive_(eu)_2016_1919_en.txt
commission,examine,elements of minimum rights for suspects,directive_(eu)_2016_1919_en.txt
commission,examine,elements of minimum procedural rights for suspects,directive_(eu)_2016_1919_en.txt
european council,inviting,commission,directive_(eu)_2016_1919_en.txt
commission,examine,elements of rights,directive_(eu)_2016_1919_en.txt
commission,examine,elements of minimum procedural rights,directive_(eu)_2016_1919_en.txt
commission,examine,elements,directive_(eu)_2016_1919_en.txt
commission,examine,elements of procedural rights for suspects,directive_(eu)_2016_1919_en.txt
commission,examine,further elements of minimum rights,directive_(eu)_2016_1919_en.txt
european council,underlined,character of roadmap,directive_(eu)_2016_1919_en.txt
commission,examine,elements for suspects,directive_(eu)_2016_1919_en.txt
european council,underlined character,inviting,directive_(eu)_2016_1919_en.txt
procedural rights,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
european parliament,of eu is,3,directive_(eu)_2016_1919_en.txt
five measures,have,have adopted,directive_(eu)_2016_1919_en.txt
6 five measures,have,have adopted,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c of roadmap,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c regarding aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c of roadmap regarding aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c of roadmap regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c,directive_(eu)_2016_1919_en.txt
directive,relates to,part regarding aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c regarding aid,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part,directive_(eu)_2016_1919_en.txt
directive,relates to,part,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c of roadmap regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,part regarding legal aid,directive_(eu)_2016_1919_en.txt
directive,relates to,part of measure c of roadmap,directive_(eu)_2016_1919_en.txt
directive,relates to,second part regarding aid,directive_(eu)_2016_1919_en.txt
directive,relates to,second part of measure c of roadmap regarding aid,directive_(eu)_2016_1919_en.txt
aid,should cover,costs of defence of suspects,directive_(eu)_2016_1919_en.txt
legal aid,should cover,costs,directive_(eu)_2016_1919_en.txt
legal aid,should cover,costs of defence of suspects,directive_(eu)_2016_1919_en.txt
aid,should cover,costs,directive_(eu)_2016_1919_en.txt
accused persons persons,costs of,defence,directive_(eu)_2016_1919_en.txt
persons persons,costs of,defence of suspects,directive_(eu)_2016_1919_en.txt
legal aid,should cover,accused persons persons,directive_(eu)_2016_1919_en.txt
aid,should cover,costs of defence,directive_(eu)_2016_1919_en.txt
legal aid,should cover,costs of defence,directive_(eu)_2016_1919_en.txt
aid,should cover,accused persons persons,directive_(eu)_2016_1919_en.txt
persons persons,costs of,defence,directive_(eu)_2016_1919_en.txt
legal aid,should cover,persons persons,directive_(eu)_2016_1919_en.txt
aid,should cover,persons persons,directive_(eu)_2016_1919_en.txt
accused persons persons,costs of,defence of suspects,directive_(eu)_2016_1919_en.txt
granting legal aid,should,should able,directive_(eu)_2016_1919_en.txt
granting legal aid,should,when should able,directive_(eu)_2016_1919_en.txt
legal aid,should,when should able,directive_(eu)_2016_1919_en.txt
suspects,bear,part of costs themselves,directive_(eu)_2016_1919_en.txt
persons,bear depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
requested persons,bear,part of costs themselves,directive_(eu)_2016_1919_en.txt
accused persons,bear depending,depending their resources,directive_(eu)_2016_1919_en.txt
granting aid,should,should able,directive_(eu)_2016_1919_en.txt
requested persons,bear depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
persons,bear part depending,depending their resources,directive_(eu)_2016_1919_en.txt
requested persons,part of,costs themselves,directive_(eu)_2016_1919_en.txt
granting aid,should,when should able,directive_(eu)_2016_1919_en.txt
requested persons,bear depending,depending their resources,directive_(eu)_2016_1919_en.txt
persons,bear part depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
accused persons,bear part depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
granting legal aid,authorities of,member states,directive_(eu)_2016_1919_en.txt
suspects,bear part depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
persons,part of,costs themselves,directive_(eu)_2016_1919_en.txt
suspects,bear depending,depending their resources,directive_(eu)_2016_1919_en.txt
suspects,bear,part,directive_(eu)_2016_1919_en.txt
suspects,bear part depending,depending their resources,directive_(eu)_2016_1919_en.txt
accused persons,bear,part,directive_(eu)_2016_1919_en.txt
persons,bear,part of costs themselves,directive_(eu)_2016_1919_en.txt
accused persons,bear part depending,depending their resources,directive_(eu)_2016_1919_en.txt
aid,should,should able,directive_(eu)_2016_1919_en.txt
requested persons,bear part depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
aid,should,when should able,directive_(eu)_2016_1919_en.txt
legal aid,should,should able,directive_(eu)_2016_1919_en.txt
persons,bear depending,depending their resources,directive_(eu)_2016_1919_en.txt
requested persons,bear,part,directive_(eu)_2016_1919_en.txt
accused persons,bear,part of costs themselves,directive_(eu)_2016_1919_en.txt
suspects,bear depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
requested persons,bear part depending,depending their resources,directive_(eu)_2016_1919_en.txt
persons,bear,part,directive_(eu)_2016_1919_en.txt
accused persons,bear depending,depending their financial resources,directive_(eu)_2016_1919_en.txt
justice,of court is,court,directive_(eu)_2016_1919_en.txt
court,court of,justice,directive_(eu)_2016_1919_en.txt
law enforcement authority,is in,context of criminal proceedings,directive_(eu)_2016_1919_en.txt
directive,makes,reference,directive_(eu)_2016_1919_en.txt
directive,therefore makes,express reference to situation,directive_(eu)_2016_1919_en.txt
directive,makes,express reference,directive_(eu)_2016_1919_en.txt
directive,makes,express reference to practical situation,directive_(eu)_2016_1919_en.txt
directive,therefore makes,reference,directive_(eu)_2016_1919_en.txt
directive,therefore makes,reference to practical situation,directive_(eu)_2016_1919_en.txt
directive,makes,reference to situation,directive_(eu)_2016_1919_en.txt
directive,therefore makes,reference to situation,directive_(eu)_2016_1919_en.txt
directive,makes,express reference to situation,directive_(eu)_2016_1919_en.txt
directive,therefore makes,express reference to practical situation,directive_(eu)_2016_1919_en.txt
directive,makes,reference to practical situation,directive_(eu)_2016_1919_en.txt
directive,therefore makes,express reference,directive_(eu)_2016_1919_en.txt
questioning,be,suspended,directive_(eu)_2016_1919_en.txt
person,becomes in,course,directive_(eu)_2016_1919_en.txt
person,becomes in,course of such questioning,directive_(eu)_2016_1919_en.txt
person other,becomes,suspect,directive_(eu)_2016_1919_en.txt
person other,becomes in,course,directive_(eu)_2016_1919_en.txt
person,becomes,suspect,directive_(eu)_2016_1919_en.txt
person other,becomes in,course of questioning,directive_(eu)_2016_1919_en.txt
person other,becomes in,course of such questioning,directive_(eu)_2016_1919_en.txt
person,becomes in,course of questioning,directive_(eu)_2016_1919_en.txt
questioning,be,suspended immediately,directive_(eu)_2016_1919_en.txt
person concerned,has,has made,directive_(eu)_2016_1919_en.txt
person,has,where has made,directive_(eu)_2016_1919_en.txt
person concerned,has,where has made,directive_(eu)_2016_1919_en.txt
it,should,should possible,directive_(eu)_2016_1919_en.txt
person,is,able,directive_(eu)_2016_1919_en.txt
person,fully exercise,rights provided for in directive,directive_(eu)_2016_1919_en.txt
it,should,however should possible,directive_(eu)_2016_1919_en.txt
person,fully exercise,rights,directive_(eu)_2016_1919_en.txt
person,exercise,rights provided for in directive,directive_(eu)_2016_1919_en.txt
person,fully exercise,rights provided,directive_(eu)_2016_1919_en.txt
it,continue,questioning,directive_(eu)_2016_1919_en.txt
she,become,suspect,directive_(eu)_2016_1919_en.txt
person,exercise,rights,directive_(eu)_2016_1919_en.txt
person,has,has made,directive_(eu)_2016_1919_en.txt
he,become,suspect,directive_(eu)_2016_1919_en.txt
person,exercise,rights provided,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation in relation to offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation of liberty in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation of liberty in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation in relation,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation of liberty in relation,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation of liberty in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation in relation,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation of liberty in relation to offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation of liberty in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation of liberty in relation,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation of liberty in relation,directive_(eu)_2016_1919_en.txt
authority,has,competence,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other,directive_(eu)_2016_1919_en.txt
deprivation,is in,relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other,directive_(eu)_2016_1919_en.txt
authority,has competence in,member states,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation in relation to offences,directive_(eu)_2016_1919_en.txt
authority other,has competence in,member states,directive_(eu)_2016_1919_en.txt
authority other,has,competence,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation in relation to offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation of liberty in relation to offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation of liberty in relation to offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation of liberty,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation in relation,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation of liberty in relation to offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
jurisdiction,is in,criminal matters,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation of liberty,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation of liberty in relation,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation of liberty,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation of liberty in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation in relation to offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation,directive_(eu)_2016_1919_en.txt
authority other,has,competence for imposing sanctions other than deprivation,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation of liberty in relation to minor offences,directive_(eu)_2016_1919_en.txt
authority,has,competence for imposing sanctions other than deprivation in relation to relatively minor offences,directive_(eu)_2016_1919_en.txt
authority other,has,competence for sanctions other than deprivation in relation,directive_(eu)_2016_1919_en.txt
authority,has,competence for sanctions other than deprivation of liberty,directive_(eu)_2016_1919_en.txt
may case,is in,relation to traffic offences,directive_(eu)_2016_1919_en.txt
it,would,would unreasonable,directive_(eu)_2016_1919_en.txt
it,would,in such situations would unreasonable,directive_(eu)_2016_1919_en.txt
authorities,ensure,rights under directive,directive_(eu)_2016_1919_en.txt
it,would,in situations would unreasonable,directive_(eu)_2016_1919_en.txt
competent authorities,ensure,rights under directive,directive_(eu)_2016_1919_en.txt
law,provides for,imposition of sanction,directive_(eu)_2016_1919_en.txt
law,provides for,imposition of sanction regarding offences,directive_(eu)_2016_1919_en.txt
law,provides for,imposition of sanction regarding minor offences,directive_(eu)_2016_1919_en.txt
law,provides for,imposition,directive_(eu)_2016_1919_en.txt
right,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
information,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
trial,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
certain minor offences,is in,particular minor traffic offences,directive_(eu)_2016_1919_en.txt
european union,of journal is,l 297/3 12,directive_(eu)_2016_1919_en.txt
minor offences,be,offences,directive_(eu)_2016_1919_en.txt
member states,in journal is,l 297/3 12,directive_(eu)_2016_1919_en.txt
minor offences,is in,relation to general municipal regulations,directive_(eu)_2016_1919_en.txt
minor offences,be,criminal offences,directive_(eu)_2016_1919_en.txt
certain minor offences,be,criminal offences,directive_(eu)_2016_1919_en.txt
certain offences,be,offences,directive_(eu)_2016_1919_en.txt
offences,be,criminal offences,directive_(eu)_2016_1919_en.txt
certain minor offences,offences in,relation to general municipal regulations,directive_(eu)_2016_1919_en.txt
offences,be,offences,directive_(eu)_2016_1919_en.txt
certain minor offences,be,offences,directive_(eu)_2016_1919_en.txt
4.11.2016 en official journal,is in,member states,directive_(eu)_2016_1919_en.txt
certain offences,be,criminal offences,directive_(eu)_2016_1919_en.txt
directive,should therefore apply to,only proceedings,directive_(eu)_2016_1919_en.txt
law,provides in,respect,directive_(eu)_2016_1919_en.txt
directive,should apply before to,proceedings,directive_(eu)_2016_1919_en.txt
directive,should apply to,proceedings,directive_(eu)_2016_1919_en.txt
directive,should therefore apply to,proceedings,directive_(eu)_2016_1919_en.txt
directive,should therefore apply before to,only proceedings,directive_(eu)_2016_1919_en.txt
directive,should apply to,only proceedings,directive_(eu)_2016_1919_en.txt
directive,should apply before to,only proceedings,directive_(eu)_2016_1919_en.txt
directive,should therefore apply before to,proceedings,directive_(eu)_2016_1919_en.txt
application,is subject to,conditions,directive_(eu)_2016_1919_en.txt
application,is,subject,directive_(eu)_2016_1919_en.txt
member states,apply,means test,directive_(eu)_2016_1919_en.txt
legal aid,is,granted,directive_(eu)_2016_1919_en.txt
member states,should,should able,directive_(eu)_2016_1919_en.txt
aid,is,granted,directive_(eu)_2016_1919_en.txt
suspect,bringing,to appear before competent authority,directive_(eu)_2016_1919_en.txt
suspect,carrying out,acts other than those specifically referred to in directive,directive_(eu)_2016_1919_en.txt
suspect,bringing,appear before competent authority,directive_(eu)_2016_1919_en.txt
suspect,verifying,possession,directive_(eu)_2016_1919_en.txt
suspect,carrying out,acts other than those,directive_(eu)_2016_1919_en.txt
suspect,carrying out,acts other than those specifically referred,directive_(eu)_2016_1919_en.txt
suspect,carrying out,investigative acts other than those,directive_(eu)_2016_1919_en.txt
investigation,be,started,directive_(eu)_2016_1919_en.txt
following situations,identifying,suspect,directive_(eu)_2016_1919_en.txt
person,appear before,authority,directive_(eu)_2016_1919_en.txt
suspect,bringing,to appear,directive_(eu)_2016_1919_en.txt
suspect,carrying out,acts other,directive_(eu)_2016_1919_en.txt
suspect,carrying out,investigative acts other than those specifically referred,directive_(eu)_2016_1919_en.txt
suspect,bringing,to appear before authority,directive_(eu)_2016_1919_en.txt
