en_Subject,en_Predicate,en_Object,Triple_ID,en_Subject_concept,en_Predicate_concept,en_Object_concept
council,acting in,ordinary legislative procedure,directive_(eu)_2016_1919_en.txt,-,subcontracting,criminalprocedure:legislative procedure
26 october 2016,of council is,acting in ordinary legislative procedure,directive_(eu)_2016_1919_en.txt,-,-,subcontracting:criminalprocedure:legislative procedure
council framework decision 2002 584,pursuant proceedings is,requested persons,directive_(eu)_2016_1919_en.txt,frameworkdecision:decision:decision-making:frameworkdecision:decisions:decisions...:framework decision,-,-
opinion,to regard is,1,directive_(eu)_2016_1919_en.txt,opinion,-,-
regard,having,regard to opinion of european economic social committee,directive_(eu)_2016_1919_en.txt,-,-,opinion:european:europeanconvention:economics:macroeconomics:microeconomics:socialism:european economic andsocial committee
regard,having regard,after consulting,directive_(eu)_2016_1919_en.txt,-,-,-
effectiveness provided,for under,directive 2013 48 making,directive_(eu)_2016_1919_en.txt,-,-,directive:directives:bread-making:decision-making:pastry-making
trust,thus improve in,matters,directive_(eu)_2016_1919_en.txt,trust,-,-
trust,improve recognition in,criminal matters,directive_(eu)_2016_1919_en.txt,trust,-,criminalprocedure
directive,strengthen,trust,directive_(eu)_2016_1919_en.txt,directive:directives,-,trust
trust,improve,mutual recognition,directive_(eu)_2016_1919_en.txt,trust,-,-
directive,aims by,minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,thus improve recognition in,matters,directive_(eu)_2016_1919_en.txt,trust,-,-
directive,aims by,establishing common minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,thus improve,recognition of decisions,directive_(eu)_2016_1919_en.txt,trust,-,decisions:decisions...
directive,aims,to strengthen,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,improve in,matters,directive_(eu)_2016_1919_en.txt,trust,-,-
directive,strengthen,trust of member states,directive_(eu)_2016_1919_en.txt,directive:directives,-,trust:states
trust,improve,mutual recognition of decisions,directive_(eu)_2016_1919_en.txt,trust,-,decisions:decisions...
trust,thus improve recognition in,criminal matters,directive_(eu)_2016_1919_en.txt,trust,-,criminalprocedure
trust,thus improve,recognition,directive_(eu)_2016_1919_en.txt,trust,-,-
trust,improve recognition in,matters,directive_(eu)_2016_1919_en.txt,trust,-,-
trust,improve in,criminal matters,directive_(eu)_2016_1919_en.txt,trust,-,criminalprocedure
trust,thus improve,mutual recognition of decisions,directive_(eu)_2016_1919_en.txt,trust,-,decisions:decisions...
directive,aims,strengthen,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,aims by,establishing minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,improve,recognition,directive_(eu)_2016_1919_en.txt,trust,-,-
directive,aims by,common minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,thus improve in,criminal matters,directive_(eu)_2016_1919_en.txt,trust,-,criminalprocedure
trust,improve,recognition of decisions,directive_(eu)_2016_1919_en.txt,trust,-,decisions:decisions...
directive,aims by,common minimum rules concerning,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
trust,thus improve,mutual recognition,directive_(eu)_2016_1919_en.txt,trust,-,-
directive,aims by,minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
directive,aims by,establishing common minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
other,in,criminal justice systems,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure
directive,aims by,establishing minimum rules,directive_(eu)_2016_1919_en.txt,directive:directives,-,-
right,paragraph of,convention for protection of human rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention:protectionism:humanrights:humanrights:human rights
article 47,of paragraph is,c,directive_(eu)_2016_1919_en.txt,article,-,account:accountant:accounting:acculturation:acid:acidification:acoustics:advance:aerodynamics:Africa:aircraft:alcohol:alcoholism:Alsace:America:anarchism:Anglicanism:Antarctica:antibiotic:apiculture:apprentice:apprenticeship:aquaculture:arboriculture:archaeology:archipelago:architecture:archives:Arctic:association:astronautics:Attica:bankruptcy:Basilicata:benchmarking:bio-ethics:biochemistry:bioclimatology:bioconversion:biometrics:bioprocess:biotechnology:branch:brick:broadcasting:brucellosis:buckwheat:by-catch:by-election:by-product:cadmium:calcium:calf:camping:cancer:candidate:cannery:carbon:carcase:Caricom:carpet:carrier:cartel:cartography:case-law:cassava:cast-iron:catalogue:cataloguing:catering:Catholicism:cattle:cease-fire:cellulose:cement:cemetery:Cenelec:censorship:census:ceramics:cereal-growing:cereals:cervidae:champagne:chaptalisation:charcoal:charge:chartering:cheese:chemistry:cheque:child:chlorine:chromium:church:cider:cindynics:cinema:circular:civics:civilisation:claim:classification:clergy:climate:climatology:cloning:clothing:clover:co-determination:co-financing:co-insurance:coal:cobalt:cocoa:coding:coffee:cohabitation:coke:collectivism:colonialism:Comecon:comitology:commemoration:commuting:competition:competitiveness:composition:computer:concessionaire:concrete:condiment:confectionery:confidentiality:conglomerate:conifer:Connacht:conservatism:consortium:constitution:consulate:consultancy:consumer:consumption:container:contraception:contract:cooperative:copper:copyright:cork:corporatism:correspondence:corrosion:corruption:Corsica:cosmology:costing:cotton:countertrade:county:cow:craftsman:cream:credit:crew:crime:criminology:crustacean:cryptography:culture:Curacao:custody:customers:customs:cybernetics:cyclone:cytology:Czechoslovakia:decentralisation:decision:decision-making:decolonisation:decontamination:decree:delinquency:democracy:democratisation:depoliticisation:descendant:desertification:dictatorship:dictionary:directive:directory:discounting:dissidence:divorce:doctor:document:documentation:Dominica:eco-label:Ecofin:ecologism:ecology:econometrics:economics:economy:Ecosoc:ecosystem:Ecu:Ecuador:education:election:electorate:electrochemistry:electrometallurgy:electronics:electrotechnology:emancipation:encyclopaedia:epidemic:ergonomics:ethics:eugenics:Eurocommunism:Eurocontrol:Eurocorps:Eurocredit:Eurocurrency:Eurydice:eutrophication:evidence:ex-serviceman:executive:facsimile:Fascism:financing:floriculture:France:Franche-Comte:franchising:furnace:Galicia:genetics:geochemistry:geophysics:glucose:governance:Greece:gynaecology:handicrafts:helicopter:herbicide:homicide:horticulture:hydrocarbon:hydroponics:ice:icebreaker:Iceland:Ile-de-France:illiteracy:income:incompatibility:incorporation:incoterms:incunabula:indemnification:infancy:inheritance:injunction:insect:insecticide:insurance:intellectual:interactivity:interference:invoicing:isoglucose:Jamaica:jurisdiction:lactose:Languedoc-Roussillon:legitimacy:Liberec:Liechtenstein:linguistics:livestock:lockout:logistics:lubricants:lucerne:Macao:Macedonia:machinery:macroeconomics:Madagascar:maintenance:manuscript:Marches:mathematics:mechanisation:medicament:medicine:mendicity:mercenary:merchandising:merchant:Mercosur:mercury:Mexico:micro-computer:micro-enterprise:microeconomics:microelectronics:microfinance:microform:microloan:Micronesia:microorganism:mnemonics:mollusc:Moluccas:Monaco:monocracy:Morocco:municipality:music:nanotechnology:narcotic:Nicaragua:nickel:nomenclature:non-violence:nuisance:ocean:Oceania:oceanography:offence:oligarchy:Olomouc:optics:orchard:ordinance:outplacement:outsourcing:over-production:pacifism:packaging:paediatrics:Pardubice:peace:peacekeeping:pesticide:petrochemicals:pharmacist:pharmacology:pharmacy:photochemistry:Picardy:piracy:plasticiser:plastics:plebiscite:police:politician:politics:post-communism:pre-packaging:prefabrication:prices:production:productivity:protectionism:protocol:province:psychiatry:psychoanalysis:psychology:publication:purchase:racism:radioactivity:receivership:recommendation:record:recording:recruitment:rediscounting:redundancy:reinsurance:reparcelling:repentance:republic:research:residence:rice:robotics:scanner:Schleswig-Holstein:schooling:schoolwork:Scotland:screen:sculpture:search:section:secularity:securities:self-defence:self-financing:sericulture:service:Seychelles:Sicily:silviculture:socialism:sociology:spectrometry:speech:starch:statistics:stock:Stockholm:subcontracting:sucrose:suicide:surveillance:Taric:teacher:teaching:technology:telecommunications:telematics:telemedicine:therapeutics:thermodynamics:ticket:tobacco:toxicology:traceability:tractor:triticale:Tuscany:underproduction:Unesco:Unicef:usufruct:Utrecht:vaccination:vaccine:vehicle:victim:vinification:violence:viticulture:volcanology:Vysocina:watercourse:workplace:zinc:zootechnics:article:charges:children:costs:directives:frameworkdecision:march:offences:security:services:stockholm:constitutional:decisions:documents:importance:legalactions:victims:documentary:recorded:recordings:screening:therapeutic:trafficcontrol:criminalprocedure:judicialreview:decisions...:diplomatic:europeanconvention:judicialcooperation
european convention,of paragraph is,c,directive_(eu)_2016_1919_en.txt,european:europeanconvention:europeanconvention:european convention,-,account:accountant:accounting:acculturation:acid:acidification:acoustics:advance:aerodynamics:Africa:aircraft:alcohol:alcoholism:Alsace:America:anarchism:Anglicanism:Antarctica:antibiotic:apiculture:apprentice:apprenticeship:aquaculture:arboriculture:archaeology:archipelago:architecture:archives:Arctic:association:astronautics:Attica:bankruptcy:Basilicata:benchmarking:bio-ethics:biochemistry:bioclimatology:bioconversion:biometrics:bioprocess:biotechnology:branch:brick:broadcasting:brucellosis:buckwheat:by-catch:by-election:by-product:cadmium:calcium:calf:camping:cancer:candidate:cannery:carbon:carcase:Caricom:carpet:carrier:cartel:cartography:case-law:cassava:cast-iron:catalogue:cataloguing:catering:Catholicism:cattle:cease-fire:cellulose:cement:cemetery:Cenelec:censorship:census:ceramics:cereal-growing:cereals:cervidae:champagne:chaptalisation:charcoal:charge:chartering:cheese:chemistry:cheque:child:chlorine:chromium:church:cider:cindynics:cinema:circular:civics:civilisation:claim:classification:clergy:climate:climatology:cloning:clothing:clover:co-determination:co-financing:co-insurance:coal:cobalt:cocoa:coding:coffee:cohabitation:coke:collectivism:colonialism:Comecon:comitology:commemoration:commuting:competition:competitiveness:composition:computer:concessionaire:concrete:condiment:confectionery:confidentiality:conglomerate:conifer:Connacht:conservatism:consortium:constitution:consulate:consultancy:consumer:consumption:container:contraception:contract:cooperative:copper:copyright:cork:corporatism:correspondence:corrosion:corruption:Corsica:cosmology:costing:cotton:countertrade:county:cow:craftsman:cream:credit:crew:crime:criminology:crustacean:cryptography:culture:Curacao:custody:customers:customs:cybernetics:cyclone:cytology:Czechoslovakia:decentralisation:decision:decision-making:decolonisation:decontamination:decree:delinquency:democracy:democratisation:depoliticisation:descendant:desertification:dictatorship:dictionary:directive:directory:discounting:dissidence:divorce:doctor:document:documentation:Dominica:eco-label:Ecofin:ecologism:ecology:econometrics:economics:economy:Ecosoc:ecosystem:Ecu:Ecuador:education:election:electorate:electrochemistry:electrometallurgy:electronics:electrotechnology:emancipation:encyclopaedia:epidemic:ergonomics:ethics:eugenics:Eurocommunism:Eurocontrol:Eurocorps:Eurocredit:Eurocurrency:Eurydice:eutrophication:evidence:ex-serviceman:executive:facsimile:Fascism:financing:floriculture:France:Franche-Comte:franchising:furnace:Galicia:genetics:geochemistry:geophysics:glucose:governance:Greece:gynaecology:handicrafts:helicopter:herbicide:homicide:horticulture:hydrocarbon:hydroponics:ice:icebreaker:Iceland:Ile-de-France:illiteracy:income:incompatibility:incorporation:incoterms:incunabula:indemnification:infancy:inheritance:injunction:insect:insecticide:insurance:intellectual:interactivity:interference:invoicing:isoglucose:Jamaica:jurisdiction:lactose:Languedoc-Roussillon:legitimacy:Liberec:Liechtenstein:linguistics:livestock:lockout:logistics:lubricants:lucerne:Macao:Macedonia:machinery:macroeconomics:Madagascar:maintenance:manuscript:Marches:mathematics:mechanisation:medicament:medicine:mendicity:mercenary:merchandising:merchant:Mercosur:mercury:Mexico:micro-computer:micro-enterprise:microeconomics:microelectronics:microfinance:microform:microloan:Micronesia:microorganism:mnemonics:mollusc:Moluccas:Monaco:monocracy:Morocco:municipality:music:nanotechnology:narcotic:Nicaragua:nickel:nomenclature:non-violence:nuisance:ocean:Oceania:oceanography:offence:oligarchy:Olomouc:optics:orchard:ordinance:outplacement:outsourcing:over-production:pacifism:packaging:paediatrics:Pardubice:peace:peacekeeping:pesticide:petrochemicals:pharmacist:pharmacology:pharmacy:photochemistry:Picardy:piracy:plasticiser:plastics:plebiscite:police:politician:politics:post-communism:pre-packaging:prefabrication:prices:production:productivity:protectionism:protocol:province:psychiatry:psychoanalysis:psychology:publication:purchase:racism:radioactivity:receivership:recommendation:record:recording:recruitment:rediscounting:redundancy:reinsurance:reparcelling:repentance:republic:research:residence:rice:robotics:scanner:Schleswig-Holstein:schooling:schoolwork:Scotland:screen:sculpture:search:section:secularity:securities:self-defence:self-financing:sericulture:service:Seychelles:Sicily:silviculture:socialism:sociology:spectrometry:speech:starch:statistics:stock:Stockholm:subcontracting:sucrose:suicide:surveillance:Taric:teacher:teaching:technology:telecommunications:telematics:telemedicine:therapeutics:thermodynamics:ticket:tobacco:toxicology:traceability:tractor:triticale:Tuscany:underproduction:Unesco:Unicef:usufruct:Utrecht:vaccination:vaccine:vehicle:victim:vinification:violence:viticulture:volcanology:Vysocina:watercourse:workplace:zinc:zootechnics:article:charges:children:costs:directives:frameworkdecision:march:offences:security:services:stockholm:constitutional:decisions:documents:importance:legalactions:victims:documentary:recorded:recordings:screening:therapeutic:trafficcontrol:criminalprocedure:judicialreview:decisions...:diplomatic:europeanconvention:judicialcooperation
right,paragraph of,european convention,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,european:europeanconvention:europeanconvention:european convention
right,third paragraph of,european convention for protection,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,european:europeanconvention:europeanconvention:protectionism:european convention
right,third paragraph of,convention for protection of human rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention:protectionism:humanrights:humanrights:human rights
right,paragraph of,convention,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention
right,third paragraph of,article 47 of charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights:european:europeanconvention:Reunion:european union
right,paragraph of,article 47,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article
right,paragraph of,convention for protection,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention:protectionism
right,paragraph of,article 47 charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights:european:europeanconvention:Reunion:european union
right,third paragraph of,convention for protection,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention:protectionism
right,paragraph of,european convention for protection,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,european:europeanconvention:europeanconvention:protectionism:european convention
right,third paragraph of,article 47 charter,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering
right,paragraph of,article 47 of charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights:european:europeanconvention:Reunion:european union
legal aid,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,criminalprocedure:criminal proceedings
right,third paragraph of,european convention,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,european:europeanconvention:europeanconvention:european convention
right,third paragraph of,article 47,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article
article 47,of paragraph is,charter,directive_(eu)_2016_1919_en.txt,article,-,chartering
right,third paragraph of,article 47 charter of fundamental rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights
right,third paragraph of,article 47 charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights:european:europeanconvention:Reunion:european union
right,paragraph of,article 47 of charter,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering
right,paragraph of,article 47 charter of fundamental rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights
right,third paragraph of,article 47 of charter,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering
right,third paragraph of,convention,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,europeanconvention
international covenant,of article is,d,directive_(eu)_2016_1919_en.txt,-,article,-
european convention,of paragraph is,charter,directive_(eu)_2016_1919_en.txt,european:europeanconvention:europeanconvention:european convention,-,chartering
right,third paragraph of,article 47 of charter of fundamental rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights
european convention,of paragraph is,article 6 3,directive_(eu)_2016_1919_en.txt,european:europeanconvention:europeanconvention:european convention,-,article
article 47,of paragraph is,article 6 3,directive_(eu)_2016_1919_en.txt,article,-,article
right,paragraph of,article 47 of charter of fundamental rights,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering:humanrights
right,paragraph of,article 47 charter,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,article:chartering
charter,has,same legal value as treaties,directive_(eu)_2016_1919_en.txt,chartering,-,legality:legalactions:legalaid
charter,has,legal value as treaties,directive_(eu)_2016_1919_en.txt,chartering,-,legality:legalactions:legalaid
charter,has,same value,directive_(eu)_2016_1919_en.txt,chartering,-,-
member states,are,parties,directive_(eu)_2016_1919_en.txt,states,-,-
charter,has,value as treaties,directive_(eu)_2016_1919_en.txt,chartering,-,-
charter,has,same value as treaties,directive_(eu)_2016_1919_en.txt,chartering,-,-
charter,has,same legal value,directive_(eu)_2016_1919_en.txt,chartering,-,legality:legalactions:legalaid
member states,are parties to,echr,directive_(eu)_2016_1919_en.txt,states,-,-
charter,has,value,directive_(eu)_2016_1919_en.txt,chartering,-,-
charter,has,legal value,directive_(eu)_2016_1919_en.txt,chartering,-,legality:legalactions:legalaid
third party,communicate with,consular authorities,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate with,persons,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate with,persons,directive_(eu)_2016_1919_en.txt,-,-,-
council,is in,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt,-,-,european:europeanconvention:arrest:arrested:warrant:european arrest warrant
third party,communicate,while deprived,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate with,third persons,directive_(eu)_2016_1919_en.txt,-,-,-
party,informed upon,deprivation of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate,deprived of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate with,consular authorities,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate with,third persons,directive_(eu)_2016_1919_en.txt,-,-,-
third party,informed upon,deprivation of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate,deprived,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate,while deprived,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate,while deprived of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
lawyer,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:criminal proceedings
third party,informed upon,deprivation,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate,deprived,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate,while deprived of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
party,informed upon,deprivation,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate with,authorities,directive_(eu)_2016_1919_en.txt,-,-,-
third party,communicate with,authorities,directive_(eu)_2016_1919_en.txt,-,-,-
party,communicate,deprived of liberty,directive_(eu)_2016_1919_en.txt,-,-,-
suspected persons,of rights is,roadmap,directive_(eu)_2016_1919_en.txt,-,humanrights,-
suspected persons,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:criminal proceedings
roadmap,calls for,adoption,directive_(eu)_2016_1919_en.txt,-,-,-
roadmap,calls for,adoption of measures,directive_(eu)_2016_1919_en.txt,-,-,-
roadmap,calls right for,measure a,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
roadmap,taking,step by step approach,directive_(eu)_2016_1919_en.txt,-,-,stepfamily:stepfamily
right,special safeguards for,suspects,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,-
roadmap,calls,right to information on rights about charges,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights:disinformation:information:humanrights:charges
roadmap,calls right for,adoption of measures,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
roadmap,calls,right to information,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights:disinformation:information
right,right to,legal advice,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,copyright:Euroright:humanrights,legality:legalactions:legalaid
right,safeguards for,suspects,directive_(eu)_2016_1919_en.txt,copyright:Euroright:humanrights,-,-
roadmap,calls right for,measure a,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
roadmap,calls right for,adoption of measures regarding,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
roadmap,calls for,measure a,directive_(eu)_2016_1919_en.txt,-,-,-
information,to right is,right,directive_(eu)_2016_1919_en.txt,disinformation:information,copyright:Euroright:humanrights,copyright:Euroright:humanrights
measures,of adoption is,measure a,directive_(eu)_2016_1919_en.txt,-,-,-
roadmap,calls for,adoption of measures regarding,directive_(eu)_2016_1919_en.txt,-,-,-
roadmap,calls right for,adoption,directive_(eu)_2016_1919_en.txt,-,copyright:Euroright:humanrights,-
roadmap,calls,right to information on rights,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights:disinformation:information:humanrights
roadmap,taking,step approach,directive_(eu)_2016_1919_en.txt,-,-,stepfamily
roadmap,calls,right,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
roadmap,calls,right,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
roadmap,calls for,measure a,directive_(eu)_2016_1919_en.txt,-,-,-
european council,made,it part of stockholm programme,directive_(eu)_2016_1919_en.txt,european:europeanconvention:european council,-,apartheid:partnership:stockholm
european council,made,it part,directive_(eu)_2016_1919_en.txt,european:europeanconvention:european council,-,apartheid:partnership
it,part of,point 2.4,directive_(eu)_2016_1919_en.txt,-,apartheid:partnership,-
it,part of,2,directive_(eu)_2016_1919_en.txt,-,apartheid:partnership,-
european council,welcomed,roadmap,directive_(eu)_2016_1919_en.txt,european:europeanconvention:european council,-,-
it,part of,stockholm programme,directive_(eu)_2016_1919_en.txt,-,apartheid:partnership,stockholm
better cooperation,is in,area,directive_(eu)_2016_1919_en.txt,judicialcooperation,-,-
commission,examine,further elements of minimum rights for suspects,directive_(eu)_2016_1919_en.txt,-,-,humanrights
european council,inviting,examine,directive_(eu)_2016_1919_en.txt,european:europeanconvention:european council,-,-
