Thema,Prädikat,Objekt
Kommission,prüfen,weitere Elemente der Rechte für Verdächtige
Kommission,prüfen,weitere Rechteelemente
Kommission,prüfen,weitere Elemente
europäischer Rat,unterstrichen,Charakter
europäischer Rat,unterstrichenes Zeichen,durch Einladung
Kommission,prüfen,weitere Elemente von Mindestverfahrensrechten für Verdächtige
europäischer Rat,unterstrichen,nicht erschöpfender Charakter der Roadmap
weitere Elemente,beschuldigt,Personen
Elemente,beschuldigt,Personen
Kommission,prüfen,Elemente der Verfahrensrechte
Kommission,prüfen,Elemente von Mindestrechten für Verdächtige
Kommission,prüfen,Elemente der Mindestverfahrensrechte für Verdächtige
europäischer Rat,einladend,Kommission
Kommission,prüfen,Elemente von Rechten
Kommission,prüfen,Elemente der Mindestverfahrensrechte
Kommission,prüfen,Elemente
Kommission,prüfen,Elemente der Verfahrensrechte für Verdächtige
Kommission,prüfen,weitere Elemente von Mindestrechten
europäischer Rat,unterstrichen,Charakter der Roadmap
Kommission,prüfen,Elemente für Verdächtige
europäischer Rat,unterstrichenes Zeichen,einladend
Verfahrensrechte,ist in,Strafverfahren
Europäisches Parlament,der EU ist,3
Fünf Maßnahmen,haben,habe adoptiert
6 Fünf Maßnahmen,haben,habe adoptiert
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C der Roadmap
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C betreffend Beihilfe
Richtlinie,bezieht sich auf,zweiter Teil zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C betreffend Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C des Fahrplans zur Hilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C des Fahrplans zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C
Richtlinie,bezieht sich auf,Teil über Hilfe
Richtlinie,bezieht sich auf,zweiter Teil von Takt C
Richtlinie,bezieht sich auf,Teil der Beihilfemaßnahme C
Richtlinie,bezieht sich auf,Teil der Maßnahme C betreffend Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil
Richtlinie,bezieht sich auf,Teil
Richtlinie,bezieht sich auf,Teil der Maßnahme C des Fahrplans zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil über Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C der Roadmap
Richtlinie,bezieht sich auf,zweiter Teil zum Thema Hilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C des Fahrplans zur Hilfe
Hilfe,abdecken sollte,Kosten der Verteidigung von Verdächtigen
Rechtshilfe,abdecken sollte,Kosten
Rechtshilfe,abdecken sollte,Kosten der Verteidigung von Verdächtigen
Hilfe,abdecken sollte,Kosten
Angeklagte Personen Personen,Kosten von,Verteidigung
Personen Personen,Kosten von,Verteidigung von Verdächtigen
Rechtshilfe,abdecken sollte,Angeklagte Personen Personen
Hilfe,abdecken sollte,Kosten der Verteidigung
Rechtshilfe,abdecken sollte,Kosten der Verteidigung
Hilfe,abdecken sollte,Angeklagte Personen Personen
Personen Personen,Kosten von,Verteidigung
Rechtshilfe,abdecken sollte,Personen Personen
Hilfe,abdecken sollte,Personen Personen
Angeklagte Personen Personen,Kosten von,Verteidigung von Verdächtigen
Gewährung von Prozesskostenhilfe,sollen,sollte in der Lage sein
Gewährung von Prozesskostenhilfe,sollen,Wann sollte es möglich sein
Rechtshilfe,sollen,Wann sollte es möglich sein
Verdächtige,tragen,Teil der Kosten selbst
Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
gesuchte Personen,tragen,Teil der Kosten selbst
Angeklagte Personen,Bär abhängig,abhängig von ihren Ressourcen
Gewährung von Hilfen,sollen,sollte in der Lage sein
gesuchte Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
gesuchte Personen,Teil von,kostet sich selbst
Gewährung von Hilfen,sollen,Wann sollte es möglich sein
gesuchte Personen,Bär abhängig,abhängig von ihren Ressourcen
Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Angeklagte Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Gewährung von Prozesskostenhilfe,Behörden von,Mitgliedsstaaten
Verdächtige,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Teil von,kostet sich selbst
Verdächtige,Bär abhängig,abhängig von ihren Ressourcen
Verdächtige,tragen,Teil
Verdächtige,Bärenteil abhängig,abhängig von ihren Ressourcen
Angeklagte Personen,tragen,Teil
Personen,tragen,Teil der Kosten selbst
Personen,tragen,Teil der Kosten selbst
Angeklagte Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Hilfe,sollen,sollte in der Lage sein
gesuchte Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Hilfe,sollen,Wann sollte es möglich sein
Rechtshilfe,sollen,sollte in der Lage sein
Personen,Bär abhängig,abhängig von ihren Ressourcen
Personen,Bär abhängig,abhängig von ihren Ressourcen
gesuchte Personen,tragen,Teil
Angeklagte Personen,tragen,Teil der Kosten selbst
Verdächtige,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
gesuchte Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Personen,tragen,Teil
Personen,tragen,Teil
Angeklagte Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Gerechtigkeit,des Gerichts ist,Gericht
Gericht,Gericht von,Gerechtigkeit
Strafverfolgungsbehörde,ist in,Kontext eines Strafverfahrens
Richtlinie,macht,Referenz
Richtlinie,macht also,ausdrücklichen Bezug zur Situation
Richtlinie,macht,ausdrücklicher Hinweis
Richtlinie,macht,ausdrücklichen Bezug zur Praxissituation
Richtlinie,macht also,Referenz
Richtlinie,macht also,Bezug zur Praxissituation
Richtlinie,macht,Bezug zur Situation
Richtlinie,macht also,Bezug zur Situation
Richtlinie,macht,ausdrücklichen Bezug zur Situation
Richtlinie,macht also,ausdrücklichen Bezug zur Praxissituation
Richtlinie,macht,Bezug zur Praxissituation
Richtlinie,macht also,ausdrücklicher Hinweis
Befragung,Sei,ausgesetzt
Person,wird in,Kurs
Person,wird in,Verlauf einer solchen Befragung
Person andere,wird,verdächtig
Person andere,wird in,Kurs
Person,wird,verdächtig
Person andere,wird in,Verlauf der Befragung
Person andere,wird in,Verlauf einer solchen Befragung
Person,wird in,Verlauf der Befragung
Befragung,Sei,sofort suspendiert
betroffene Person,hat,wurde gemacht
Person,hat,wo hat gemacht
betroffene Person,hat,wo hat gemacht
Es,sollen,sollte möglich sein
Person,Ist,fähig
Person,voll trainieren,der in der Richtlinie vorgesehenen Rechte
Es,sollen,Sollte jedoch möglich sein
Person,voll trainieren,Rechte
Person,Übung,der in der Richtlinie vorgesehenen Rechte
Person,voll trainieren,gewährte Rechte
Es,weitermachen,Befragung
sie,werden,verdächtig
Person,Übung,Rechte
Person,hat,wurde gemacht
Er,werden,verdächtig
Person,Übung,gewährte Rechte
Behörde,hat,Zuständigkeit für andere Sanktionen als Entzug bei geringfügigen Straftaten
Behörde,hat,Zuständigkeit für die Verhängung von Sanktionen
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Entzug im Zusammenhang mit Straftaten
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Entbehrung in diesem Zusammenhang
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung in diesem Zusammenhang
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug bei relativ geringfügigen Straftaten
Behörde,hat,Zuständigkeit für andere Sanktionen als die Entbehrung in diesem Zusammenhang
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit Straftaten
