fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
droite,troisieme paragraphe de,article 47 de la charte des droits fondamentaux de l'union europeenne,directive_(eu)_2016_1919_en.txt,-,-,charte des droits fondamentaux de lUnion europeenne
droite,paragraphe de,Article 47,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,Convention de protection,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,article 47 charte des droits fondamentaux de l'union europeenne,directive_(eu)_2016_1919_en.txt,-,-,charte des droits fondamentaux de lUnion europeenne
droite,troisieme paragraphe de,Convention de protection,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,convention europeenne de protection,directive_(eu)_2016_1919_en.txt,-,-,convention europeenne
droite,troisieme paragraphe de,article 47 charte,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,article 47 de la charte des droits fondamentaux de l'union europeenne,directive_(eu)_2016_1919_en.txt,-,-,charte des droits fondamentaux de lUnion europeenne
l'aide juridique,est dans,procedure penale,directive_(eu)_2016_1919_en.txt,-,-,procedure penale:procedure speciale
droite,troisieme paragraphe de,convention europeenne,directive_(eu)_2016_1919_en.txt,-,-,convention europeenne
droite,troisieme paragraphe de,Article 47,directive_(eu)_2016_1919_en.txt,-,-,-
Article 47,du paragraphe est,charte,directive_(eu)_2016_1919_en.txt,-,-,-
droite,troisieme paragraphe de,article 47 charte des droits fondamentaux,directive_(eu)_2016_1919_en.txt,-,-,-
droite,troisieme paragraphe de,article 47 charte des droits fondamentaux de l'union europeenne,directive_(eu)_2016_1919_en.txt,-,-,charte des droits fondamentaux de lUnion europeenne
droite,paragraphe de,article 47 de la charte,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,article 47 charte des droits fondamentaux,directive_(eu)_2016_1919_en.txt,-,-,-
droite,troisieme paragraphe de,article 47 de la charte,directive_(eu)_2016_1919_en.txt,-,-,-
droite,troisieme paragraphe de,convention,directive_(eu)_2016_1919_en.txt,-,-,-
pacte international,de l'article est,d,directive_(eu)_2016_1919_en.txt,-,-,-
convention europeenne,du paragraphe est,charte,directive_(eu)_2016_1919_en.txt,convention europeenne,-,-
droite,troisieme paragraphe de,article 47 de la charte des droits fondamentaux,directive_(eu)_2016_1919_en.txt,-,-,-
convention europeenne,du paragraphe est,article 6 3,directive_(eu)_2016_1919_en.txt,convention europeenne,-,-
Article 47,du paragraphe est,article 6 3,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,article 47 de la charte des droits fondamentaux,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,article 47 charte,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,meme valeur juridique que les traites,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,valeur juridique en tant que traites,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,meme valeur,directive_(eu)_2016_1919_en.txt,-,-,-
Etats membres,sont,des soirees,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,valeur en tant que traites,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,meme valeur que les traites,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,meme valeur juridique,directive_(eu)_2016_1919_en.txt,-,-,-
Etats membres,sont parties a,echr,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,valeur,directive_(eu)_2016_1919_en.txt,-,-,-
charte,a,valeur legale,directive_(eu)_2016_1919_en.txt,-,-,-
tierce personne,communiquer avec,autorites consulaires,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer avec,personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel
tierce personne,communiquer avec,personnes,directive_(eu)_2016_1919_en.txt,personnel,-,personnel
conseil,est dans,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,-,-,mandat:mandat darret europeen
tierce personne,communiquer,en etant prive,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer avec,tiers,directive_(eu)_2016_1919_en.txt,-,-,-
faire la fete,informe de,privation de liberte,directive_(eu)_2016_1919_en.txt,-,-,-
tierce personne,communiquer,prive de liberte,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer avec,autorites consulaires,directive_(eu)_2016_1919_en.txt,-,-,-
tierce personne,communiquer avec,tiers,directive_(eu)_2016_1919_en.txt,personnel,-,-
tierce personne,informe de,privation de liberte,directive_(eu)_2016_1919_en.txt,personnel,-,-
tierce personne,communiquer,prive,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer,en etant prive,directive_(eu)_2016_1919_en.txt,-,-,-
faire la fete,communiquer,pendant la privation de liberte,directive_(eu)_2016_1919_en.txt,-,-,-
avocat,est dans,procedure penale,directive_(eu)_2016_1919_en.txt,avocat,-,procedure penale:procedure speciale
tierce personne,informe de,privation,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer,prive,directive_(eu)_2016_1919_en.txt,-,-,-
tierce personne,communiquer,pendant la privation de liberte,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,informe de,privation,directive_(eu)_2016_1919_en.txt,-,-,-
faire la fete,communiquer avec,les autorites,directive_(eu)_2016_1919_en.txt,-,-,-
tierce personne,communiquer avec,les autorites,directive_(eu)_2016_1919_en.txt,personnel,-,-
faire la fete,communiquer,prive de liberte,directive_(eu)_2016_1919_en.txt,-,-,-
personnes suspectes,des droits est,feuille de route,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes suspectes,est dans,procedure penale,directive_(eu)_2016_1919_en.txt,personnel,-,procedure penale:procedure speciale
feuille de route,appels pour,adoption,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels pour,adoption de mesures,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appelle juste pour,mesurer un,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,prise,approche etape par etape,directive_(eu)_2016_1919_en.txt,-,-,-
droite,des garanties speciales pour,suspects,directive_(eu)_2016_1919_en.txt,-,garantie,-
feuille de route,appels,droit a l'information sur les droits sur les charges,directive_(eu)_2016_1919_en.txt,-,-,droit a linformation:droit de linformation
feuille de route,appelle juste pour,adoption de mesures,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels,droit a l'information,directive_(eu)_2016_1919_en.txt,-,-,droit a linformation:droit de linformation
droite,droit a,conseils juridiques,directive_(eu)_2016_1919_en.txt,-,-,-
droite,garanties pour,suspects,directive_(eu)_2016_1919_en.txt,-,garantie,-
feuille de route,appelle juste pour,mesurer un,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appelle juste pour,l'adoption de mesures concernant,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels pour,mesurer un,directive_(eu)_2016_1919_en.txt,-,-,-
information,a droite est,droite,directive_(eu)_2016_1919_en.txt,information,-,-
mesures,d'adoption est,mesurer un,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels pour,l'adoption de mesures concernant,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appelle juste pour,adoption,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels,droit a l'information sur les droits,directive_(eu)_2016_1919_en.txt,-,-,droit a linformation:droit de linformation
feuille de route,prise,approche par etapes,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels,droite,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels,droite,directive_(eu)_2016_1919_en.txt,-,-,-
feuille de route,appels pour,mesurer un,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,fait,cela fait partie du programme de stockholm,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
Conseil europeen,fait,ca fait partie,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
il,partie de,point 2.4,directive_(eu)_2016_1919_en.txt,-,-,-
il,partie de,2,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,accueilli,feuille de route,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
il,partie de,programme de stockholm,directive_(eu)_2016_1919_en.txt,-,-,-
une meilleure cooperation,est dans,zone,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,autres elements de droits minimaux pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,attrayant,examiner,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,autres elements des droits proceduraux minimaux,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements de droits minimaux,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,evaluer,si,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,autres elements des droits proceduraux,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements de droits pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements supplementaires pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,attrayant,examiner,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,autres elements des droits proceduraux des suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,souligne,caractere non exhaustif,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,autres elements de droits pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,d'autres elements de droits,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,autres elements,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,souligne,personnage,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
Conseil europeen,caractere souligne,en invitant,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,autres elements des droits proceduraux minimaux pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,souligne,caractere non exhaustif de la feuille de route,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
autres elements,accuse,personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel
elements,accuse,personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel
commission,examiner,elements des droits proceduraux,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements de droits minimaux pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements des droits proceduraux minimaux pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,attrayant,commission,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,elements de droits,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements des droits proceduraux minimaux,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,elements des droits proceduraux des suspects,directive_(eu)_2016_1919_en.txt,-,-,-
commission,examiner,autres elements des droits minimaux,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,souligne,caractere de feuille de route,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
commission,examiner,elements pour les suspects,directive_(eu)_2016_1919_en.txt,-,-,-
Conseil europeen,caractere souligne,attrayant,directive_(eu)_2016_1919_en.txt,Conseil europeen,-,-
droits proceduraux,est dans,procedure penale,directive_(eu)_2016_1919_en.txt,-,-,procedure penale:procedure speciale
Parlement europeen,de l'ue est,3,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,-,-
cinq mesures,ont,ont adopte,directive_(eu)_2016_1919_en.txt,-,-,-
6 cinq mesures,ont,ont adopte,directive_(eu)_2016_1919_en.txt,-,-,-
directif,se rapporte a,deuxieme partie de la mesure c de la feuille de route,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie de la mesure c concernant les aides,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie concernant l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie de la mesure c relative a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c de la feuille de route relative aux aides,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme volet de la mesure c de la feuille de route relative a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie relative a l'aide,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie de la mesure c,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c concernant les aides,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c relative a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c de la feuille de route relative a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie relative a l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,partie de la mesure c de la feuille de route,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme partie concernant l'aide,directive_(eu)_2016_1919_en.txt,-,rapport,-
directif,se rapporte a,deuxieme volet de la mesure c de la feuille de route concernant les aides,directive_(eu)_2016_1919_en.txt,-,rapport,-
aide,devrait couvrir,les frais de defense des suspects,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,devrait couvrir,frais,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,devrait couvrir,les frais de defense des suspects,directive_(eu)_2016_1919_en.txt,-,-,-
aide,devrait couvrir,frais,directive_(eu)_2016_1919_en.txt,-,-,-
accuses personnes,frais de,la defense,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes personnes,frais de,defense des suspects,directive_(eu)_2016_1919_en.txt,personnel:personnel,-,-
l'aide juridique,devrait couvrir,accuses personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel
aide,devrait couvrir,frais de defense,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,devrait couvrir,frais de defense,directive_(eu)_2016_1919_en.txt,-,-,-
aide,devrait couvrir,accuses personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel
personnes personnes,frais de,la defense,directive_(eu)_2016_1919_en.txt,personnel:personnel,-,-
l'aide juridique,devrait couvrir,personnes personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel:personnel
aide,devrait couvrir,personnes personnes,directive_(eu)_2016_1919_en.txt,-,-,personnel:personnel
accuses personnes,frais de,defense des suspects,directive_(eu)_2016_1919_en.txt,personnel,-,-
accorder l'aide juridictionnelle,devrait,devrait pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
accorder l'aide juridictionnelle,devrait,quand devrait-il pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,devrait,quand devrait-il pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,ours,une partie des couts eux-memes,directive_(eu)_2016_1919_en.txt,-,-,-
personnes,ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes demandees,ours,une partie des couts eux-memes,directive_(eu)_2016_1919_en.txt,personnel,-,-
accuses,ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,-,-,-
accorder une aide,devrait,devrait pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
personnes demandees,ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,partie d'ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,partie d'ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes demandees,partie de,se coute,directive_(eu)_2016_1919_en.txt,personnel,-,-
accorder une aide,devrait,quand devrait-il pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
personnes demandees,ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,partie d'ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,partie d'ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
accuses,partie d'ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,-,-,-
accorder l'aide juridictionnelle,autorites de,Etats membres,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,partie d'ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,-,-,-
personnes,partie de,se coute,directive_(eu)_2016_1919_en.txt,personnel,-,-
suspects,ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,ours,partie,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,partie d'ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,-,-,-
accuses,ours,partie,directive_(eu)_2016_1919_en.txt,-,-,-
personnes,ours,une partie des couts eux-memes,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,ours,une partie des couts eux-memes,directive_(eu)_2016_1919_en.txt,personnel,-,-
accuses,partie d'ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,-,-,-
aide,devrait,devrait pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
personnes demandees,partie d'ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,personnel,-,-
aide,devrait,quand devrait-il pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,devrait,devrait pouvoir,directive_(eu)_2016_1919_en.txt,-,-,-
personnes,ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes demandees,ours,partie,directive_(eu)_2016_1919_en.txt,personnel,-,-
accuses,ours,une partie des couts eux-memes,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,-,-,-
personnes demandees,partie d'ours en fonction,en fonction de leurs ressources,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,ours,partie,directive_(eu)_2016_1919_en.txt,personnel,-,-
personnes,ours,partie,directive_(eu)_2016_1919_en.txt,personnel,-,-
accuses,ours en fonction,en fonction de leurs ressources financieres,directive_(eu)_2016_1919_en.txt,-,-,-
justice,du tribunal est,rechercher,directive_(eu)_2016_1919_en.txt,-,-,recherche
rechercher,cour de,justice,directive_(eu)_2016_1919_en.txt,recherche,-,-
autorite chargee de l'application de la loi,est dans,contexte d'une procedure penale,directive_(eu)_2016_1919_en.txt,loi,-,procedure penale:procedure speciale
directif,fait du,reference,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference expresse a la situation,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait du,reference expresse,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait du,reference expresse a la situation pratique,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference a la situation pratique,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait du,reference a la situation,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference a la situation,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait du,reference expresse a la situation,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference expresse a la situation pratique,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait du,reference a la situation pratique,directive_(eu)_2016_1919_en.txt,-,-,-
directif,fait donc,reference expresse,directive_(eu)_2016_1919_en.txt,-,-,-
interrogatoire,etre,suspendu,directive_(eu)_2016_1919_en.txt,-,-,-
personne,devient dans,cours,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne,devient dans,cours d'un tel questionnement,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne autre,devient,suspect,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne autre,devient dans,cours,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne,devient,suspect,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne autre,devient dans,cours d'interrogation,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne autre,devient dans,cours d'un tel questionnement,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne,devient dans,cours d'interrogation,directive_(eu)_2016_1919_en.txt,personnel,-,-
interrogatoire,etre,suspendu immediatement,directive_(eu)_2016_1919_en.txt,-,-,-
personne concernee,a,a fait,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne,a,ou a fait,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne concernee,a,ou a fait,directive_(eu)_2016_1919_en.txt,personnel,-,-
il,devrait,devrait etre possible,directive_(eu)_2016_1919_en.txt,-,-,-
personne,est,capable,directive_(eu)_2016_1919_en.txt,personnel,-,-
personne,exercer pleinement,droits prevus dans la directive,directive_(eu)_2016_1919_en.txt,personnel,-,directive
