Kommission,prüfen,weitere Rechteelemente
Kommission,prüfen,weitere Elemente
europäischer Rat,unterstrichen,Charakter
europäischer Rat,unterstrichenes Zeichen,durch Einladung
Kommission,prüfen,weitere Elemente von Mindestverfahrensrechten für Verdächtige
europäischer Rat,unterstrichen,nicht erschöpfender Charakter der Roadmap
weitere Elemente,beschuldigt,Personen
Elemente,beschuldigt,Personen
Kommission,prüfen,Elemente der Verfahrensrechte
Kommission,prüfen,Elemente von Mindestrechten für Verdächtige
Kommission,prüfen,Elemente der Mindestverfahrensrechte für Verdächtige
europäischer Rat,einladend,Kommission
Kommission,prüfen,Elemente von Rechten
Kommission,prüfen,Elemente der Mindestverfahrensrechte
Kommission,prüfen,Elemente
Kommission,prüfen,Elemente der Verfahrensrechte für Verdächtige
Kommission,prüfen,weitere Elemente von Mindestrechten
europäischer Rat,unterstrichen,Charakter der Roadmap
Kommission,prüfen,Elemente für Verdächtige
europäischer Rat,unterstrichenes Zeichen,einladend
Verfahrensrechte,ist in,Strafverfahren
Europäisches Parlament,der EU ist,3
Fünf Maßnahmen,haben,habe adoptiert
6 Fünf Maßnahmen,haben,habe adoptiert
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C der Roadmap
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C betreffend Beihilfe
Richtlinie,bezieht sich auf,zweiter Teil zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C betreffend Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C des Fahrplans zur Hilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C des Fahrplans zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C
Richtlinie,bezieht sich auf,Teil über Hilfe
Richtlinie,bezieht sich auf,zweiter Teil von Takt C
Richtlinie,bezieht sich auf,Teil der Beihilfemaßnahme C
Richtlinie,bezieht sich auf,Teil der Maßnahme C betreffend Prozesskostenhilfe
Richtlinie,bezieht sich auf,zweiter Teil
Richtlinie,bezieht sich auf,Teil
Richtlinie,bezieht sich auf,Teil der Maßnahme C des Fahrplans zur Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil über Prozesskostenhilfe
Richtlinie,bezieht sich auf,Teil der Maßnahme C der Roadmap
Richtlinie,bezieht sich auf,zweiter Teil zum Thema Hilfe
Richtlinie,bezieht sich auf,zweiter Teil der Maßnahme C des Fahrplans zur Hilfe
Hilfe,abdecken sollte,Kosten der Verteidigung von Verdächtigen
Rechtshilfe,abdecken sollte,Kosten
Rechtshilfe,abdecken sollte,Kosten der Verteidigung von Verdächtigen
Hilfe,abdecken sollte,Kosten
Angeklagte Personen Personen,Kosten von,Verteidigung
Personen Personen,Kosten von,Verteidigung von Verdächtigen
Rechtshilfe,abdecken sollte,Angeklagte Personen Personen
Hilfe,abdecken sollte,Kosten der Verteidigung
Rechtshilfe,abdecken sollte,Kosten der Verteidigung
Hilfe,abdecken sollte,Angeklagte Personen Personen
Personen Personen,Kosten von,Verteidigung
Rechtshilfe,abdecken sollte,Personen Personen
Hilfe,abdecken sollte,Personen Personen
Angeklagte Personen Personen,Kosten von,Verteidigung von Verdächtigen
Gewährung von Prozesskostenhilfe,sollen,sollte in der Lage sein
Gewährung von Prozesskostenhilfe,sollen,Wann sollte es möglich sein
Rechtshilfe,sollen,Wann sollte es möglich sein
Verdächtige,tragen,Teil der Kosten selbst
Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
gesuchte Personen,tragen,Teil der Kosten selbst
Angeklagte Personen,Bär abhängig,abhängig von ihren Ressourcen
Gewährung von Hilfen,sollen,sollte in der Lage sein
gesuchte Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
gesuchte Personen,Teil von,kostet sich selbst
Gewährung von Hilfen,sollen,Wann sollte es möglich sein
gesuchte Personen,Bär abhängig,abhängig von ihren Ressourcen
Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Angeklagte Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Gewährung von Prozesskostenhilfe,Behörden von,Mitgliedsstaaten
Verdächtige,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Personen,Teil von,kostet sich selbst
Verdächtige,Bär abhängig,abhängig von ihren Ressourcen
Verdächtige,tragen,Teil
Verdächtige,Bärenteil abhängig,abhängig von ihren Ressourcen
Angeklagte Personen,tragen,Teil
Personen,tragen,Teil der Kosten selbst
Personen,tragen,Teil der Kosten selbst
Angeklagte Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Hilfe,sollen,sollte in der Lage sein
gesuchte Personen,Bärenteil abhängig,abhängig von ihren finanziellen Möglichkeiten
Hilfe,sollen,Wann sollte es möglich sein
Rechtshilfe,sollen,sollte in der Lage sein
Personen,Bär abhängig,abhängig von ihren Ressourcen
Personen,Bär abhängig,abhängig von ihren Ressourcen
gesuchte Personen,tragen,Teil
Angeklagte Personen,tragen,Teil der Kosten selbst
Verdächtige,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
gesuchte Personen,Bärenteil abhängig,abhängig von ihren Ressourcen
Personen,tragen,Teil
Personen,tragen,Teil
Angeklagte Personen,Bär abhängig,abhängig von ihren finanziellen Möglichkeiten
Gerechtigkeit,des Gerichts ist,Gericht
Gericht,Gericht von,Gerechtigkeit
Strafverfolgungsbehörde,ist in,Kontext eines Strafverfahrens
Richtlinie,macht,Referenz
Richtlinie,macht also,ausdrücklichen Bezug zur Situation
Richtlinie,macht,ausdrücklicher Hinweis
Richtlinie,macht,ausdrücklichen Bezug zur Praxissituation
Richtlinie,macht also,Referenz
Richtlinie,macht also,Bezug zur Praxissituation
Richtlinie,macht,Bezug zur Situation
Richtlinie,macht also,Bezug zur Situation
Richtlinie,macht,ausdrücklichen Bezug zur Situation
Richtlinie,macht also,ausdrücklichen Bezug zur Praxissituation
Richtlinie,macht,Bezug zur Praxissituation
Richtlinie,macht also,ausdrücklicher Hinweis
Befragung,Sei,ausgesetzt
Person,wird in,Kurs
Person,wird in,Verlauf einer solchen Befragung
Person andere,wird,verdächtig
Person andere,wird in,Kurs
Person,wird,verdächtig
Person andere,wird in,Verlauf der Befragung
Person andere,wird in,Verlauf einer solchen Befragung
Person,wird in,Verlauf der Befragung
Befragung,Sei,sofort suspendiert
betroffene Person,hat,wurde gemacht
Person,hat,wo hat gemacht
betroffene Person,hat,wo hat gemacht
Es,sollen,sollte möglich sein
Person,Ist,fähig
Person,voll trainieren,der in der Richtlinie vorgesehenen Rechte
Es,sollen,Sollte jedoch möglich sein
Person,voll trainieren,Rechte
Person,Übung,der in der Richtlinie vorgesehenen Rechte
Person,voll trainieren,gewährte Rechte
Es,weitermachen,Befragung
sie,werden,verdächtig
Person,Übung,Rechte
Person,hat,wurde gemacht
Er,werden,verdächtig
Person,Übung,gewährte Rechte
Behörde,hat,Zuständigkeit für andere Sanktionen als Entzug bei geringfügigen Straftaten
Behörde,hat,Zuständigkeit für die Verhängung von Sanktionen
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Entzug im Zusammenhang mit Straftaten
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Entbehrung in diesem Zusammenhang
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung in diesem Zusammenhang
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug bei relativ geringfügigen Straftaten
Behörde,hat,Zuständigkeit für andere Sanktionen als die Entbehrung in diesem Zusammenhang
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit Straftaten
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug bei geringfügigen Straftaten
Behörde,hat,Sanktionskompetenz
Behörde,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug in diesem Zusammenhang
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug in diesem Zusammenhang
Behörde,hat,Kompetenz
Autorität andere,hat,Zuständigkeit für die Verhängung von Sanktionen
Autorität andere,hat,Zuständigkeit für die Verhängung von Sanktionen Sonstiges
Entbehrung,ist in,Bezug auf relativ geringfügige Straftaten
Autorität andere,hat,Zuständigkeit für Sanktionen Sonstiges
Behörde,hat Kompetenz in,Mitgliedsstaaten
Behörde,hat,Zuständigkeit für Sanktionen Sonstiges
Behörde,hat,Zuständigkeit für die Verhängung von Sanktionen Sonstiges
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Deprivation
Behörde,hat,Zuständigkeit für andere Sanktionen als Deprivation
Behörde,hat,Zuständigkeit für andere Sanktionen als Entzug im Zusammenhang mit Straftaten
Autorität andere,hat Kompetenz in,Mitgliedsstaaten
Autorität andere,hat,Kompetenz
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit Straftaten
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug im Zusammenhang mit Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung im Zusammenhang mit Straftaten
Autorität andere,hat,Sanktionskompetenz
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Entbehrung in diesem Zusammenhang
Behörde,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug im Zusammenhang mit Straftaten
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Entzug bei relativ geringfügigen Straftaten
Zuständigkeit,ist in,Strafsachen
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung in diesem Zusammenhang
Autorität andere,hat,Die Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit relativ geringfügigen Straftaten liegt bei
Behörde,hat,Zuständigkeit für andere Sanktionen als Entzug bei relativ geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für andere Sanktionen als Entzug bei geringfügigen Straftaten
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Freiheitsberaubung
Behörde,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug bei relativ geringfügigen Straftaten
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit Straftaten
Behörde,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung
Autorität andere,hat,Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung
Behörde,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug bei geringfügigen Straftaten
Behörde,hat,Die Zuständigkeit für die Verhängung anderer Sanktionen als der Benachteiligung im Zusammenhang mit relativ geringfügigen Straftaten liegt bei
Autorität andere,hat,Zuständigkeit für andere Sanktionen als die Entbehrung in diesem Zusammenhang
Behörde,hat,Zuständigkeit für andere Sanktionen als Freiheitsentzug
kann Fall,ist in,Zusammenhang mit Verkehrsdelikten
Es,würde,wäre unvernünftig
Es,würde,In solchen Situationen wäre es unvernünftig
Behörden,sicherstellen,Rechte gemäß der Richtlinie
Es,würde,In Situationen wäre unvernünftig
kompetente Autoritäten,sicherstellen,Rechte gemäß der Richtlinie
Zuständigkeit,ist in,Strafsachen
Gesetz,sorgt für,Verhängung einer Sanktion
Gesetz,sorgt für,Verhängung von Sanktionen bei Verstößen
Gesetz,sorgt für,Verhängung von Sanktionen bei geringfügigen Verstößen
Gesetz,sorgt für,Verhängung
Rechts,ist in,Strafverfahren
Information,ist in,Strafverfahren
Gerichtsverhandlung,ist in,Strafverfahren
Verdächtige,ist in,Strafverfahren
bestimmte geringfügige Vergehen,ist in,insbesondere geringfügige Verkehrsdelikte
europäische Union,des Journals ist,L 297/3 12
geringe Vergehen,Sei,Straftaten
Mitgliedsstaaten,Im Journal ist,L 297/3 12
geringe Vergehen,ist in,Bezug auf allgemeine kommunale Vorschriften
geringe Vergehen,Sei,Kriminelle Taten
bestimmte geringfügige Vergehen,Sei,Kriminelle Taten
bestimmte Straftaten,Sei,Straftaten
Straftaten,Sei,Kriminelle Taten
bestimmte geringfügige Vergehen,Straftaten in,Bezug auf allgemeine kommunale Vorschriften
Straftaten,Sei,Straftaten
bestimmte geringfügige Vergehen,Sei,Straftaten
4.11.2016 DE Amtsblatt,ist in,Mitgliedsstaaten
bestimmte Straftaten,Sei,Kriminelle Taten
Es,würde,wäre unvernünftig
Es,würde,In solchen Situationen wäre es unvernünftig
Behörden,sicherstellen,Rechte gemäß der Richtlinie
Es,würde,In Situationen wäre unvernünftig
kompetente Autoritäten,sicherstellen,Rechte gemäß der Richtlinie
Zuständigkeit,ist in,Strafsachen
Richtlinie,sollte daher gelten,nur Verfahren
Gesetz,sorgt für,respektieren
Richtlinie,sollte vorher gelten,Verfahren
Richtlinie,gelten soll,Verfahren
Richtlinie,sollte daher gelten,Verfahren
Richtlinie,sollte daher vorher beantragt werden,nur Verfahren
Richtlinie,gelten soll,nur Verfahren
Richtlinie,sollte vorher gelten,nur Verfahren
Richtlinie,sollte daher vorher beantragt werden,Verfahren
Anwendung,unterliegt,Bedingungen
Anwendung,Ist,Thema
Mitgliedsstaaten,anwenden,Mitteltest
Rechtshilfe,Ist,gewährt
Mitgliedsstaaten,sollen,sollte in der Lage sein
Hilfe,Ist,gewährt
verdächtig,bringen,vor der zuständigen Behörde zu erscheinen
verdächtig,Durchführung,andere als die in der Richtlinie ausdrücklich genannten Handlungen
verdächtig,bringen,vor der zuständigen Behörde erscheinen
verdächtig,verifizieren,Besitz
verdächtig,Durchführung,andere Handlungen als diese
verdächtig,Durchführung,andere als die ausdrücklich genannten Handlungen
verdächtig,Durchführung,andere Ermittlungshandlungen als diese
Untersuchung,Sei,gestartet
folgenden Situationen,identifizieren,verdächtig
Person,erscheinen vorher,Behörde
verdächtig,bringen,erscheinen
verdächtig,Durchführung,wirkt anders
verdächtig,Durchführung,andere als die ausdrücklich genannten Ermittlungshandlungen
verdächtig,bringen,vor der Autorität erscheinen
verdächtig,Durchführung,Ermittlungshandlungen
verdächtig,Durchführung,andere als die genannten Handlungen
verdächtig,Durchführung,andere als die genannten Ermittlungshandlungen
Person,erscheinen vorher,zuständige Behörde
verdächtig,bringen,verdächtig
verdächtig,bringen,Person
verdächtig,bringen,erscheinen
verdächtig,Durchführung,andere als die in der Richtlinie genannten Handlungen
verdächtig,verifizieren,Besitz von Waffen
verdächtig,Durchführung,Handlungen
verdächtig,Durchführung,Ermittlungshandlungen Sonstiges
verdächtig,beschuldigt,Person
verdächtig,Durchführung,andere als die in der Richtlinie genannten Ermittlungshandlungen
verdächtig,Durchführung,andere als die in der Richtlinie ausdrücklich genannten Ermittlungshandlungen
verdächtig,bringen,vor der Behörde erscheinen
Richtlinie,legt sich hin,Mindestregeln
Mitgliedsstaaten,gewähren,Rechtshilfe
Mitgliedsstaaten,gewähren,Hilfe
Mitgliedsstaaten,sollen,sollte in der Lage sein
ausreichende Ressourcen,bezahlen für,Unterstützung durch einen Anwalt
ausreichende Ressourcen,bezahlen für,Hilfe
EMRK-Personen,sind in,Artikel 6 3
Ressourcen,bezahlen für,Hilfe
Ressourcen,bezahlen für,Unterstützung durch einen Anwalt
Mindestregel,erlaubt,Mitgliedsstaaten
Regel,erlaubt,anwenden
Mitgliedsstaaten,anwenden,Mitteltest
Regel,erlaubt,Mitgliedsstaaten
Regel,erlaubt,bewerben
Mindestregel,erlaubt,bewerben
Mindestregel,erlaubt,anwenden
18 Mitgliedstaaten,sollte sich hinlegen,Regelungen zur Bereitstellung von Prozesskostenhilfe
18 Mitgliedstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung
Mitgliedsstaaten,sollte sich hinlegen,praktische Regelungen
Mitgliedsstaaten,sollte sich hinlegen,Vereinbarungen
18 Mitgliedstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung von Prozesskostenhilfe
18 Mitgliedstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung von Hilfe
Mitgliedsstaaten,sollte sich hinlegen,Regelungen zur Bereitstellung von Prozesskostenhilfe
Mitgliedsstaaten,sollte sich hinlegen,Vereinbarungen über die Bereitstellung von Hilfe
18 Mitgliedstaaten,sollte sich hinlegen,Regelungen zur Bereitstellung
18 Mitgliedstaaten,sollte sich hinlegen,Vereinbarungen über die Bereitstellung von Hilfe
Mitgliedsstaaten,sollte sich hinlegen,Regelungen zur Bereitstellung
18 Mitgliedstaaten,sollte sich hinlegen,praktische Regelungen
Mitgliedsstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung von Prozesskostenhilfe
Mitgliedsstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung von Hilfe
Mitgliedsstaaten,sollte sich hinlegen,praktische Regelungen zur Bereitstellung
18 Mitgliedstaaten,sollte sich hinlegen,Vereinbarungen
Rechtshilfe,wird im Folgenden gewährt,Anfrage des Verdächtigen
Rechtshilfe,wird im Folgenden gewährt,Anfrage
Rechtshilfe,Ist,gewährt
Hilfe,Ist,gewährt
Hilfe,wird im Folgenden gewährt,Anfrage des Verdächtigen
Hilfe,wird im Folgenden gewährt,Anfrage
Behörden,sollte ohne gewähren,unangemessene Verzögerung
kompetente Autoritäten,sollte ohne gewähren,Verzögerung
Behörden,Hilfe ohne Hilfe gewähren sollte,unangemessene Verzögerung
Behörden,sollte ohne gewähren,Verzögerung
kompetente Autoritäten,Hilfe ohne Hilfe gewähren sollte,unangemessene Verzögerung
kompetente Autoritäten,Hilfe ohne Hilfe gewähren sollte,Verzögerung
kompetente Autoritäten,sollte ohne gewähren,unangemessene Verzögerung
Behörden,gewähren sollte,Hilfe
Behörden,gewähren sollte,Rechtshilfe
kompetente Autoritäten,gewähren sollte,Hilfe
Behörden,Hilfe ohne Hilfe gewähren sollte,Verzögerung
kompetente Autoritäten,gewähren sollte,Rechtshilfe
Angefragte Personen,sollte haben,Anspruch auf Vollstreckungshilfe durch den Mitgliedstaat
Angefragte Personen,sollte haben,Anspruch auf Prozesskostenhilfe
Angefragte Personen,sollte haben,Rechts
Personen,sollte haben,Anspruch auf Prozesskostenhilfe
Personen,sollte haben,Rechts
Angefragte Personen,sollte haben,Anspruch auf Beihilfe im Mitgliedstaat
Personen,sollte haben,Recht auf Hilfe
Angefragte Personen,sollte haben,Anspruch auf Prozesskostenhilfe im Mitgliedstaat
Personen,sollte haben,Anspruch auf Prozesskostenhilfe im Vollstreckungsmitgliedstaat
Personen,sollte haben,Anspruch auf Prozesskostenhilfe im Mitgliedstaat
Personen,sollte haben,Anspruch auf Beihilfe im Mitgliedstaat
Angefragte Personen,sollte haben,Recht auf Hilfe
Rechtshilfe,ist in,Vollstreckungsmitgliedstaat
