Thema,Prädikat,Objekt
-,-,Dritte Personen
WHO,sicherstellen,ihnen
"kompetenter Fall, dass",eingereicht,gerichtliche Überprüfung
-,verzeichnet,Mitgliedstaat
-,-,-
-,Anforderungen,zwingende Anforderungen
-,-,Temporärer Artikel
Das,Basis,gerichtliche Überprüfung
-,-,konsularische Behörden
Sie,sicherstellen,Wunsch
mehr sie,informiert,jede Freiheit wen
Sie,Wunsch,Artikel
Das,-,Es
-,gegeben,294/11 Verzicht
welche,notiert,Mitgliedstaat
-,-,-
Sie,sicherstellen,Wahrscheinlichkeit
-,haben,Es
Mitglied das,hat,Gewährleistung
-,-,-
-,-,angefragte Personen
Rechtsanwalt,Übung,ihnen
-,-,-
-,-,Justizbehörde
-,notiert,Gesetz
-,-,Mitgliedstaat
Sie,-,Mitgliedstaat
Rolle,-,-
-,helfen,-
-,-,2002/584
-,Behörde,Mitgliedstaat
-,-,Rechtsanwalt
Zeitbedingungen,-,gerichtliche JI-Behörde
Das,-,Übereinstimmung
-,-,Rechte verletzen
-,-,-
Mitglied das,-,Verfahren
Mitglied das,vergriffen,beschuldigtes Konto
-,gewährleistet,Schutz
-,-,-
Übung,Wunsch,kompetent
-,bringen,27
Sie,-,-
-,-,-
-,L,-
misst sie,enthalten,Veröffentlichung
Methoden,gelegt,Mitgliedsstaaten
-,-,-
Sie,kommunizieren,Feld
welche,einreichen,Gesetzesvorschläge
-,-,Amtsblatt
-,-,Verträge
-,Erledigt,Straßburg
-,-,Europäisches Parlament
