ID,EN,FR,DE
225,technical cooperation,cooperation technique,technische zusammenarbeit
226,cross-border cooperation,cooperation transfrontaliere,grenzuberschreitende zusammenarbeit
227,cooperative,cooperative,genossenschaft
228,agricultural cooperative,cooperative agricole,landwirtschaftliche genossenschaft
229,consumer cooperative,cooperative de consommation,konsumgenossenschaft
230,credit union,cooperative de credit,kreditgenossenschaft
231,coordination of aid,coordination des aides,koordinierung der beihilfen
233,publishing of prices,publicite des prix,veroffentlichung der preise
234,joint ownership,copropriete,miteigentum
235,south korea,coree du sud,sudkorea
236,north korea,coree du nord,nordkorea
237,coreper,coreper,astv
238,corporatism,corporatisme,zunftwesen
239,fats,corps gras,fettkorper
240,animal fats,corps gras animal,tierisches fett
241,vegetable fats,corps gras vegetal,pflanzliches fett
242,correspondence,correspondance,korrespondenz
243,corrosion,corrosion,korrosion
244,political affiliation,affiliation politique,parteimitgliedschaft
245,corruption,corruption,korruption
246,corsica,corse,korsika
247,costa rica,costa rica,costa rica
248,stock-exchange listing,cotation boursiere,borsennotierung
249,cote d'ivoire,cote d'ivoire,cote d'ivoire
250,social-security contribution,cotisation sociale,sozialbeitrag
251,sugar levy,cotisation sucre,zuckerabgabe
252,cotton,coton,baumwolle
253,coup d'etat,coup d'etat,staatsstreich
254,chartering,affretement,charterung
255,court of justice of the european communities,cour de justice des communautes europeennes,gerichtshof der europaischen gemeinschaften
256,european court of auditors,cour des comptes europeenne,europaischer rechnungshof
257,european court of human rights,cour europeenne des droits de l'homme,europaischer gerichtshof fur menschenrechte
258,international court of justice,cour internationale de justice,internationaler gerichtshof
259,migratory movement,courant migratoire,wanderungsstrom
260,watercourse,cours d'eau,wasserlauf
261,afghanistan,afghanistan,afghanistan
262,price of securities,cours des valeurs,wertpapierkurs
263,broker,courtier,warenmakler
264,equipment cost,cout d'equipement,ausrustungskosten
265,investment cost,cout d'investissement,anlagekosten
266,cost of capital,cout de capital,kapitalkosten
267,distribution cost,cout de distribution,vertriebskosten
268,operating cost,cout de fonctionnement,betriebsbereitschaftskosten
269,education costs,cout de l'education,bildungskosten
271,construction costs,cout de la construction,baukosten
272,cost of pollution,cout de la pollution,kosten der umweltbelastungen
273,health costs,cout de la sante,gesundheitskosten
274,cost of living,cout de la vie,lebenshaltungskosten
275,production cost,cout de production,produktionskosten
276,storage cost,cout de stockage,lagerkosten
277,direct cost,cout direct,direkte kosten
278,cost of borrowing,cout du credit,kreditkosten
279,wage cost,cout salarial,lohnkosten
280,access to education,acces a l'education,zugang zur bildung
281,africa,afrique,afrika
282,social cost,cout social,sozialkosten
283,artistic creation,creation artistique,kunstlerisches schaffen
284,job creation,creation d'emploi,schaffung von arbeitsplatzen
285,credit,credit,kredit
286,short-term credit,credit a court terme,kurzfristiger kredit
287,export credit,credit a l'exportation,ausfuhrkredit
288,import credit,credit a l'importation,einfuhrkredit
289,consumer credit,credit a la consommation,verbraucherkredit
290,long-term credit,credit a long terme,langfristiger kredit
291,english-speaking africa,afrique anglophone,englischsprachiges afrika
292,medium-term credit,credit a moyen terme,mittelfristiger kredit
293,trade credit,credit commercial,handelskredit
294,swap arrangement,credit croise,swap
295,investment loan,credit d'investissement,investitionskredit
296,payment appropriation,credit de paiement,zahlungsermachtigung
297,documentary credit,credit documentaire,dokumenten-akkreditiv
298,real estate credit,credit immobilier,realkredit
299,industrial credit,credit industriel,industriedarlehen
300,international credit,credit international,internationaler kredit
301,cream,creme,rahm
302,central africa,afrique centrale,zentralafrika
303,dairy ice cream,creme glacee,speiseeis
304,scientific and technical research committee,comite de la recherche scientifique et technique,ausschuss fur wissenschaftliche und technische forschung
305,crete,crete,kreta
306,war crime,crime de guerre,kriegsverbrechen
307,criminology,criminologie,kriminologie
308,energy crisis,crise de l'energie,energiekrise
309,political crisis,crise politique,politische krise
310,economic growth,croissance economique,wirtschaftswachstum
311,north africa,afrique du nord,nordafrika
312,red cross,croix-rouge,rotes kreuz
313,crustacean,crustace,krebstier
314,cuba,cuba,kuba
315,leather,cuir,leder
316,copper,cuivre,kupfer
317,culture,culture,kultur
318,cereal-growing,culture cerealiere,getreidebau
319,terrace cropping,culture en terrasse,terrassenanbau
320,fodder-growing,culture fourragere,futterbau
321,south africa,afrique du sud,sudafrika
322,fruit-growing,culture fruitiere,obstbau
323,agro-industrial cropping,culture industrielle,industrieller anbau
324,market gardening,culture maraichere,gemusebau
325,permanent crop,culture permanente,dauerkultur
326,popular culture,culture populaire,volksbrauchtum
327,hydroponics,culture sans terre,bodenunabhangige kultur
328,glasshouse cultivation,culture sous serre,unterglasanbau
329,tropical agriculture,culture tropicale,tropenkultur
330,self-sufficiency farming,culture vivriere,eigenbedarfskultur
331,cumulative pension entitlement,cumul de pensions,rentenhaufung
332,french-speaking africa,afrique francophone,franzosischsprachiges afrika
333,curacao,curacao,curacao
335,economic cycle,cycle economique,konjunkturzyklus
336,denmark,danemark,danemark
337,regions of denmark,regions du danemark,regionen danemarks
338,parliamentary debate,debat parlementaire,parlamentsdebatte
339,deforestation,deboisement,abholzung
340,decentralisation,decentralisation,dezentralisierung
341,budgetary discharge,decharge du budget,haushaltsentlastung
342,southern africa,afrique meridionale,sudliches afrika
343,waste,dechet,abfall
344,agricultural waste,dechet agricole,landwirtschaftlicher abfall
345,industrial waste,dechet industriel,industrieabfall
346,non-recoverable waste,dechet non recuperable,nicht verwertbarer abfall
347,radioactive waste,dechet radioactif,radioaktiver abfall
348,decision,decision,entscheidung
349,community decision,decision communautaire,entscheidung der gemeinschaft
350,eaec decision,decision ceea,entscheidung eag
351,west africa,afrique occidentale,westafrika
352,ecsc general decision,decision generale ceca,allgemeine entscheidung egks
353,ecsc individual decision,decision individuelle ceca,individuelle entscheidung egks
354,restrictive-practice notification,declaration d'entente,kartellanmeldung
355,announcement of candidacy,declaration de candidature,anmeldung einer kandidatur
356,explanation of voting,declaration de vote,erklarung zur abstimmung
357,east africa,afrique orientale,ostafrika
358,economic take-off,decollage economique,take-off der wirtschaft
359,decolonisation,decolonisation,entkolonisierung
360,counting of the votes,decompte des voix,stimmenzahlung
361,devolution,deconcentration,dekonzentration
362,administrative unit,decoupage administratif,verwaltungsgliederung
363,division into constituencies,decoupage electoral,wahlkreiseinteilung
364,decree,decret,dekret
365,tax relief,deduction fiscale,steuerabzug
366,anti-missile defence,defense antimissile,raketenabwehr
367,loss,deficit,defizit
368,budget deficit,deficit budgetaire,haushaltsdefizit
369,deflation,deflation,deflation
370,clearing of land,defrichement,urbarmachung
371,degradation of the environment,degradation de l'environnement,umweltverschlechterung
372,job access,acces a l'emploi,zugang zur beschaftigung
373,school age,age scolaire,schulpflichtiges alter
374,delinquency,delinquance,straffalligkeit
375,juvenile delinquency,delinquance juvenile,jugendkriminalitat
376,job application,demande d'emploi,stellengesuch
377,consumer demand,demande de consommation,verbrauchernachfrage
378,energy demand,demande energetique,energiebedarf
379,resignation of the government,demission du gouvernement,rucktritt der regierung
380,agency abroad,agence a l'etranger,auslandsvertretung
381,democracy,democratie,demokratie
382,people's democracy,democratie populaire,volksdemokratie
383,democratisation,democratisation,demokratisierung
384,democratisation of education,democratisation de l'education,demokratisierung des bildungswesens
385,demography,demographie,demografie
386,denaturing,denaturation,denaturierung
387,perishable goods,denree perissable,verderbliches lebensmittel
388,eaec supply agency,agence d'approvisionnement ceea,versorgungsagentur eag
389,population density,densite de population,bevolkerungsdichte
390,department (france),departement,departement
391,overseas department (france),departement d'outre-mer,uberseeisches departement
392,expenditure,depense,ausgabe
393,food expenditure,depense alimentaire,ausgabe fur ernahrung
394,budgetary expenditure,depense budgetaire,haushaltsausgabe
395,press agency,agence de presse,presseagentur
396,consumption expenditure,depense de consommation,verbrauchsausgabe
397,administrative expenditure,depense de fonctionnement,verwaltungsausgabe
398,extra-budgetary expenditure,depense hors budget,ausgabe ausserhalb des haushaltsplans
399,national expenditure,depense nationale,staatsausgabe
400,non-compulsory expenditure,depense non obligatoire,nichtobligatorische ausgabe
401,compulsory expenditure,depense obligatoire,obligatorische ausgabe
402,operational expenditure,depense operationnelle,operationelle ausgabe
403,public expenditure,depense publique,offentliche ausgabe
404,depoliticisation,depolitisation,entpolitisierung
405,depopulation,depopulation,entvolkerung
406,deportee,deporte,deportierter
407,sales agent,depositaire,alleinvertreter
408,bank deposit,depot bancaire,bankeinlage
409,capital depreciation,depreciation du capital,wertminderung des kapitals
410,deregulation,dereglementation,aufhebung wirtschaftlicher reglementierungen
411,disarmament,desarmement,abrustung
412,man-made disaster,desastre d'origine humaine,von menschen verursachte katastrophe
413,natural disaster,desastre naturel,naturkatastrophe
414,job description,description d'emploi,stellenbeschreibung
415,desert,desert,wustenbildung
416,desertification,desertification,desertifikation
417,dehydration,deshydratation,wasserentzug
418,withdrawal of candidacy,desistement,kandidaturverzicht
419,civil disobedience,desobeissance civile,ziviler ungehorsam
420,destruction of crops,destruction des cultures,zerstorung von pflanzenkulturen
421,european association of national productivity centres,association europeenne des centres nationaux de productivite,european association of national productivity centres
422,strait,detroit,meerenge
423,external debt,dette exterieure,auslandsschuld
424,public debt,dette publique,offentliche schuld
425,upper house,deuxieme chambre,zweite kammer
426,devaluation,devaluation,abwertung
427,economic development,developpement economique,wirtschaftliche entwicklung
428,nuclear energy agency,agence pour l'energie nucleaire,kernenergie-agentur
429,industrial development,developpement industriel,industrielle entwicklung
430,integrated development,developpement integre,integrierte entwicklung
431,regional development,developpement regional,regionale entwicklung
432,social development,developpement social,soziale entwicklung
433,foreign currency,devise,devisen
434,diabetes,diabete,diabetes
435,north-south relations,relation nord-sud,nord-sud-beziehungen
436,dictatorship,dictature,diktatur
437,regional agency,agence regionale,gebietsvertretung
438,dictionary,dictionnaire,worterbuch
439,cultural difference,difference culturelle,kultureller unterschied
440,international dispute,differend international,volkerrechtliche streitigkeit
441,dissemination of information,diffusion de l'information,informationsverbreitung
442,dissemination of culture,diffusion de la culture,kulturverbreitung
443,limited circulation,diffusion restreinte,eingeschrankte verbreitung
444,selective dissemination of information,diffusion selective d'information,selektive informationsverbreitung
445,size of business,dimension de l'entreprise,unternehmensgrosse
446,diploma,diplome,schulischer abschluss
447,company management,direction d'entreprise,unternehmensleitung
448,directive,directive,richtlinie
449,community directive,directive communautaire,richtlinie der gemeinschaft
450,voting discipline,discipline de vote,fraktionszwang
451,record library,discotheque,diskothek
452,speech,discours,rede
453,access to information,acces a l'information,informationszugang
454,sexual discrimination,discrimination sexuelle,sexuelle diskriminierung
455,economic discrimination,discrimination economique,wirtschaftliche diskriminierung
456,linguistic discrimination,discrimination linguistique,sprachliche diskriminierung
457,political discrimination,discrimination politique,politische diskriminierung
458,racial discrimination,discrimination raciale,rassendiskriminierung
459,religious discrimination,discrimination religieuse,religiose diskriminierung
460,price disparity,disparite de prix,preisunterschied
461,economic disparity,disparite economique,wirtschaftliche disparitat
462,regional disparity,disparite regionale,regionales gefalle
463,preservative,agent de conservation,konservierungsstoff
464,medical centre,centre medical,medizinisches zentrum
465,food resources,ressource alimentaire,nahrungsmittelressourcen
466,available energy resources,disponibilite energetique,verfugbare energiemenge
467,driving mechanism,dispositif de conduite,lenkvorrichtung
468,safety device,dispositif de securite,sicherheitsvorrichtung
469,signalling device,dispositif de signalisation,signal- und beleuchtungseinrichtung
470,dissidence,dissidence,abspaltung
471,dissolution of parliament,dissolution du parlement,auflosung des parlaments
472,deterrent,dissuasion,abschreckung
473,distillation,distillation,destillation
474,distributive trades,distribution commerciale,vertrieb
475,energy distribution,distribution d'energie,energieverteilung
476,water supply,distribution de l'eau,wasserversorgung
477,electricity supply,distribution de l'electricite,stromversorgung
478,exclusive distribution agreement,distribution exclusive,alleinvertrieb
479,product diversification,diversification de la production,diversifizierung der produktion
480,diversification of exports,diversification des exportations,diversifizierung der ausfuhren
481,supervisor,agent de maitrise,meister
482,international division of labour,division internationale du travail,internationale arbeitsteilung
483,divorce,divorce,ehescheidung
484,djibouti,djibouti,dschibuti
485,legal doctrine,doctrine juridique,rechtslehre
486,document,document,dokument
487,audiovisual document,document audiovisuel,audiovisuelles dokument
488,identity document,document d'identite,ausweis
489,document for discussion at a sitting,document de seance,sitzungsdokument
490,built-up area,agglomeration,ortschaft
491,customs document,document douanier,zollpapier
492,official document,document officiel,amtliches dokument
493,parliamentary document,document parlementaire,parlamentsdokument
494,documentation,documentation,dokumentation
496,dominica,dominique,dominica
497,damage,dommage,schaden
498,war damage,dommage de guerre,kriegsschaden
499,damages,dommages et interets,schadenersatz
500,donation,don,spende
501,gift,donation,schenkung
502,customs,douane,zoll
504,double taxation,double imposition,doppelbesteuerung
505,dual nationality,double nationalite,doppelte staatsangehorigkeit
506,holding of two jobs,double occupation,doppelbeschaftigung
507,rural settlement,agglomeration rurale,landliche siedlung
508,provisional twelfth,douzieme provisoire,vorlaufiges zwolftel
509,dredging,dragage,baggern
510,drainage,drainage,entwasserung
511,drenthe,drenthe,drente
512,right to education,droit a l'education,recht auf bildung
513,right to information,droit a l'information,informationsfreiheit
514,right to culture,droit a la culture,recht auf kultur
515,urban centre,agglomeration urbaine,stadtische siedlung
516,right to justice,droit a la justice,anspruch auf rechtliches gehor
517,administrative law,droit administratif,verwaltungsrecht
518,air law,droit aerien,luftrecht
519,anti-dumping duty,droits antidumping,antidumpingzoll
520,right to work,droit au travail,recht auf arbeit
521,law of banking,droit bancaire,bankrecht
522,law on negotiable instruments,droit cambiaire,devisenrecht
523,civil law,droit civil,burgerliches recht
524,commercial law,droit commercial,handelsrecht
525,community law,droit communautaire,gemeinschaftsrecht
526,political unrest,agitation politique,politische agitation
527,constitutional law,droit constitutionnel,verfassungsrecht
528,customary law,droit coutumier,gewohnheitsrecht
529,copyright,droit d'auteur,urheberrecht
530,registration tax,droit d'enregistrement,grunderwerbssteuer
531,right to stopover,droit d'escale,landegebuhr
532,right of establishment,droit d'etablissement,niederlassungsrecht
533,right to strike,droit de greve,streikrecht
534,energy law,droit de l'energie,energierecht
535,environmental law,droit de l'environnement,umweltrecht
536,economic aggregate,agregat economique,wirtschaftsaggregat
537,law of outer space,droit de l'espace,weltraumrecht
538,rights of the individual,droit de l'individu,recht des einzelnen
539,competition law,droit de la concurrence,wettbewerbsrecht
540,family law,droit de la famille,familienrecht
541,law of war,droit de la guerre,kriegsrecht
542,law of the sea,droit de la mer,seerecht
543,right to demonstrate,droit de manifester,demonstrationsrecht
544,fishing rights,droit de peche,fischereirecht
545,access to a profession,acces a la profession,zugang zum beruf
546,right of pre-emption,droit de preemption,vorkaufsrecht
547,right of repossession,droit de reprise,kundigungsrecht wegen eigenbedarf
548,right to vote,droit de vote,aktives wahlrecht
549,insurance law,droit des assurances,versicherungsrecht
550,patent law,droit des brevets,patentrecht
551,law of states,droit des etats,recht der staaten
552,rights of aliens,droit des etrangers,auslanderrecht
553,rights of minorities,droits des minorites,minderheitenrecht
554,company law,droit des societes,gesellschaftsrecht
555,transport law,droit des transports,transportrecht
556,housing law,droit du logement,wohnungsrecht
557,labour law,droit du travail,arbeitsrecht
558,electoral law,droit electoral,wahlrecht
559,part-time farming,agriculture a temps partiel,landwirtschaftlicher nebenerwerbsbetrieb
560,financial legislation,reglementation financiere,finanzbestimmung
561,tax law,droit fiscal,steuerrecht
562,international tax law,droit fiscal international,internationales steuerrecht
563,forestry legislation,legislation forestiere,forstgesetzgebung
564,international human rights law,droit humanitaire international,internationales humanitares recht
565,international law,droit international,internationales recht
566,private international law,droit international prive,internationales privatrecht
567,public international law,droit international public,volkerrecht
568,organic farming,agriculture biologique,biologische landwirtschaft
569,maritime law,droit maritime,seeschifffahrtsrecht
570,matrimonial law,droit matrimonial,eherecht
571,national law,droit national,nationales recht
572,nuclear law,droit nucleaire,atomrecht
573,criminal law,droit penal,strafrecht
574,economic offence,delit economique,wirtschaftsstraftat
575,international criminal law,droit penal international,internationales strafrecht
576,private law,droit prive,privatrecht
577,commercial farming,agriculture commerciale,verkaufsorientierte landwirtschaft
578,public law,droit public,offentliches recht
579,agrarian law,droit rural,agrarrecht
580,social legislation,droit social,sozialrecht
581,territorial law,droit territorial,hoheitsrecht
582,political right,droite politique,politische rechte
583,civil rights,droits civiques,staatsburgerliche rechte
584,human rights,droits de l'homme,menschenrechte
585,women's rights,droits de la femme,rechte der frau
586,contract farming,agriculture contractuelle,vertragslandwirtschaft
587,special drawing rights,droits de tirage speciaux,sonderziehungsrechte
588,dumping,dumping,dumping
589,life expectancy,esperance de vie,lebenserwartung
590,length of studies,duree des etudes,ausbildungsdauer
591,length of lease,duree du bail,mietdauer
592,working time,duree du travail,arbeitszeit
593,legal working time,duree legale du travail,gesetzliche arbeitszeit
594,aams countries,pays de l'eama,aasm-staaten
595,group farming,agriculture de groupe,landwirtschaftliche betriebsgemeinschaft
596,east of england,angleterre de l'est,ostengland
597,water,eau,wasser
598,community waters,eau communautaire,gemeinschaftsgewasser
599,percolation water,eau d'infiltration,sickerwasser
600,bathing water,eau de baignade,badegewasser
