ID	FR
222	affectation des terres
5422	affichage
244	affiliation politique
254	affrètement
261	Afghanistan
281	Afrique
291	Afrique anglophone
302	Afrique centrale
311	Afrique du Nord
321	Afrique du Sud
332	Afrique francophone
5423	Afrique lusophone
342	Afrique méridionale
351	Afrique occidentale
357	Afrique orientale
5424	Afrique subsaharienne
3041	âge électoral
373	âge scolaire
380	agence à l'étranger
8284	Agence communautaire de contrôle des pêches  [V4.3]
388	Agence d'approvisionnement CEEA
395	agence de presse
3118	agence de tourisme
6219	Agence des droits fondamentaux de l'Union européenne
7938	Agence européenne chargée de la sécurité des réseaux et de l'information
7982	Agence européenne de défense
7937	Agence européenne de la sécurité aérienne
5426	Agence européenne des médicaments
7984	Agence européenne des produits chimiques
7221	Agence européenne pour la reconstruction
5427	Agence européenne pour la sécurité et la santé au travail
7936	Agence européenne pour la sécurité maritime
5310	Agence européenne pour l'environnement
7985	Agence ferroviaire européenne
1024	Agence internationale de l'énergie
1034	Agence internationale de l'énergie atomique
8375	Agence multilatérale de garantie des investissements  [V4.3]
428	Agence pour l'énergie nucléaire
437	agence régionale
2829	Agence spatiale européenne
5251	agent CE
463	agent de conservation
481	agent de maîtrise
2963	agent de texture
490	agglomération
507	agglomération rurale
515	agglomération urbaine
526	agitation politique
536	agrégat économique
5428	agression physique
2980	agricultrice
559	agriculture à temps partiel
568	agriculture biologique
577	agriculture commerciale
586	agriculture contractuelle
595	agriculture de groupe
604	agriculture de montagne
615	agriculture de subsistance
6308	agriculture durable
624	agriculture extensive
636	agriculture intensive
645	agriculture méditerranéenne
656	agroalimentaire
3736	agroénergie
6314	agroforesterie
666	agro-industrie
685	agronomie
693	agrume
775	aide à la construction
786	aide à la modernisation
6848	aide à la navigation
797	aide à la production
3068	aide à la reconversion
3069	aide à la restructuration
2965	aide à l'agriculture
3070	aide à l'écoulement
723	aide à l'emploi
737	aide à l'étranger
745	aide à l'exportation
755	aide à l'hectare
3071	aide à l'industrie
766	aide à l'investissement
807	aide alimentaire
3077	aide au développement
7949	aide au reclassement
3323	aide au retour
826	aide aux défavorisés
835	aide aux entreprises
3075	aide aux réfugiés
3076	aide aux sinistrés
6727	aide aux victimes
845	aide bilatérale
852	aide CECA
862	aide communautaire
870	aide complémentaire aux produits
889	aide de l'État
7132	aide de préadhésion
881	aide d'urgence
899	aide économique
910	aide en nature
922	aide financière
3074	aide humanitaire
3481	aide internationale
3969	aide judiciaire
3361	aide ménagère
949	aide multilatérale
958	aide non remboursable
969	aide privée
976	aide régionale
986	aide sanitaire
995	aide sectorielle
1004	aide sociale
5429	aire de stationnement
1062	ajournement
1075	ajustement monétaire
6061	ajustement structurel
1094	ALADI
8499	Alba  [V4.3]
1125	Albanie
1134	alcool
3739	alcool carburant
1143	alcool chimique
1162	alcoolisme
7185	ALECE
5430	ALENA
1177	Alentejo
7899	Alföld méridional
7900	Alföld septentrional
1187	Algarve
1196	Algérie
1204	algue
1224	aliment du bétail
1233	aliment industriel
4163	aliment pour animal de compagnie
1240	aliment pour enfant
1250	aliment préparé
1258	aliment transformé
1277	alimentation animale
1284	alimentation humaine
1300	allégement de la dette
3960	allégement de peine
1318	Allemagne
1308	Allemagne RD
5431	allergie
1340	alliage
3698	alliage à mémoire
3691	alliage supraconducteur
1359	alliance électorale
1369	allocation complémentaire
1389	allocation de décès
1399	allocation de maternité
7946	allocation de soins
1409	allocation des ressources
1380	allocation d'étude
7981	allocation parentale
1419	alphabétisation
1430	Alsace
1437	alternance politique
1446	aluminium
5432	ambassade
1465	amélioration de la production
1475	amélioration des plantes
1456	amélioration du logement
1483	amélioration du sol
1503	aménagement du temps de travail
5433	aménagement du territoire
5226	aménagement foncier
1513	aménagement forestier
1523	aménagement hydraulique
1534	aménagement hydroagricole
3786	aménagement hydroélectrique
1549	amende
1558	amendement
1577	amendement du sol
1587	Amérique
1606	Amérique centrale
1615	Amérique du Nord
1624	Amérique du Sud
1632	Amérique latine
1643	amiante
1654	amidon
1664	Amnesty International
1673	amortissement
1682	amortissement de la dette
1691	analphabétisme
6269	analyse comparative
1711	analyse coût-bénéfice
1721	analyse coût-efficacité
1741	analyse de l'eau
1752	analyse de l'information
1773	analyse démographique
1731	analyse d'entrée-sortie
1782	analyse des bilans
6270	analyse des causes
1791	analyse des coûts
6381	analyse du sol
1800	analyse économique
1811	analyse financière
6271	analyse qualitative
6272	analyse quantitative
1820	analyse sociale
1829	anarchisme
1838	ANASE
1859	anatomie
1869	ancien combattant
5713	ancienne République yougoslave de Macédoine
5436	ancienneté
5437	anciens pays socialistes
1873	Andalousie
1874	Andorre
5438	Angleterre
596	Angleterre de l'Est
3396	Angleterre du Nord-Est
3397	Angleterre du Nord-Ouest
3398	Angleterre du Sud-Est
3399	Angleterre du Sud-Ouest
5162	anglicanisme
1876	Angola
3402	Anguilla
1878	anhydride
5439	animal à fourrure
1888	animal de boucherie
1898	animal de ferme
1908	animal de trait
1919	animal domestique
1929	animal reproducteur
1937	animal sur pied
6295	animal transgénique
1962	annuaire
6736	annulation de dette fiscale
1983	Antarctique
6906	antenne parabolique
1997	antibiotique
3401	Antigua-et-Barbuda
2024	Antilles anglaises
2032	Antilles françaises
2042	Antilles néerlandaises
3834	antimoine
2051	antisémitisme
2070	ANZUS
2086	apartheid
2096	apatride
2104	apéritif
2115	apiculture
5440	appareil à gaz
3874	appareil à radiations
2159	appareil de mesure
2169	appareil de précision
2176	appareil de radio
3856	appareil de reproduction du son
2185	appareil de télévision
2125	appareil d'enregistrement
3861	appareil électrodomestique
2192	appareil électronique
3842	appareil scientifique
4063	appartenance à l'Union européenne
2218	appel d'offres
3173	appellation d'origine
2227	applicabilité directe
2236	application de la loi
5441	application de l'informatique
2247	application du droit communautaire
2256	application solaire
2267	appréciation du personnel
2276	apprenti
2284	apprentissage professionnel
5442	approfondissement de l'Union européenne
2292	approvisionnement
2303	approvisionnement en armes
2312	approvisionnement énergétique
2320	aquiculture
2328	Aquitaine
2336	Arabie saoudite
2345	arachide
8517	Arad  [V4.3]
2354	Aragon
6617	arbitrage
6062	arbitrage commercial
6367	arbitrage commercial international
2371	arbitrage financier
2380	arbitrage international
2388	arbitrage politique
2396	arboriculture
2404	arbre
2426	arbre feuillu
2415	arbre résineux
5443	Arc atlantique
2453	archéologie
5444	archipel
2471	architecture
2482	architecture solaire
8470	archivage numérique  [V4.3]
2492	archives
2503	Arctique
2514	argent
2525	Argentine
8521	Arges  [V4.3]
2536	aridoculture
3434	arme à feu et munitions
3432	arme à laser
6377	arme antipersonnel
3419	arme biologique
2557	arme chimique
2567	arme conventionnelle
3420	arme de destruction massive
3433	arme incendiaire
6363	arme non létale
2595	arme nucléaire
3421	arme nucléaire stratégique
2603	arme nucléaire tactique
4087	arme personnelle
7987	arme prohibée
3431	arme spatiale
2628	armée
3439	armée de l'air
2637	armée de métier
3440	armée de réserve
3436	armée de terre
2647	armement
5445	Arménie
2658	aromatisant
5495	Arrangement de Wassenaar
3970	arrestation
5136	arrêt de la Cour CE
2669	arrêté
6618	arriéré judiciaire
2697	art populaire
2726	article de décoration
2745	article de sport
2755	article de toilette
2774	article ménager
2706	article-cadeau
2784	artisan
3619	artisanat
2688	arts
2810	arts du spectacle
4096	arts visuels
2820	Aruba
5447	ascenseur
2838	Asie
5448	Asie centrale
2848	Asie du Sud
2858	Asie du Sud-Est
2867	asile politique
2877	assainissement
2885	Assemblée générale ONU
5132	Assemblée paritaire ACP-CE
5449	assemblée parlementaire
2900	assiette de l'impôt
6855	assistance en escale
2909	assistance en formation
8411	assistance mutuelle  [V4.3]
3357	assistance sociale
8407	assistant  [V4.3]
2944	association
7415	Association des États des Caraïbes
6547	association européenne
421	Association européenne des centres nationaux de productivité
4046	Association européenne pour la coopération
703	Association internationale de développement
1044	Association internationale de la sécurité sociale
3574	association professionnelle
5446	Association sud-asiatique de coopération régionale
3121	associé
3151	assurance
3187	assurance à l'exportation
3222	assurance accident
3249	assurance accident de travail
3274	assurance agricole
3303	assurance automobile
3332	assurance chômage
3242	assurance des biens
3243	assurance des personnes
3412	assurance d'invalidité
3477	assurance dommages
3512	assurance maladie
3541	assurance maritime
3567	assurance obligatoire
3599	assurance privée
3630	assurance publique
3673	assurance responsabilité civile
3706	assurance transport
3723	assurance vie
3751	assurance vieillesse
3373	assurance-crédit
6899	astreinte
6383	astronautique
3790	astronomie
3904	athéisme
3930	atlas
3967	atmosphère
5299	atome
3993	atteinte à la sûreté de l'État
7889	Attique
4058	attribution de logement
3966	audience judiciaire
6064	audit
4091	audition publique
4115	augmentation de capital
4146	augmentation des prix
4160	Australie
4186	autoapprovisionnement
4197	autobus
4208	autoconsommation
4216	autodétermination
4226	autofinancement
4233	autogestion
4242	autolimitation
4253	automatisation
4261	automobile
4272	autonomie
5450	autonomie administrative
6548	autonomie des handicapés
4282	autonomie financière
6609	autoréglementation
4301	autorisation budgétaire
4318	autorisation de transport
5451	autorisation de vente
4309	autorisation d'entente
7126	Autorité européenne de sécurité des aliments
3312	autorité parentale
4345	autoroute
6176	autoroute de l'information
4353	Autriche
4364	Auvergne
4383	avance de trésorerie
3556	avantage accessoire
4391	avant-projet de budget
5452	avant-projet de budget CE
4408	aviation civile
4417	aviation militaire
4427	aviculture
4438	avion
5453	avion de combat
4449	avis
8489	avis CdR  [V4.3]
4457	avis CE
4026	avis CECA
4024	avis CEEA
5129	avis CES
6284	avis communautaire
5131	avis conforme du PE
4027	avis Cour de justice CE
6285	avis Cour des comptes
4473	avis PE
5141	avocat
4497	avoine
4504	avortement
4513	avortement illégal
4525	avortement thérapeutique
5295	axe communautaire
5454	Azerbaïdjan
4545	azote
8506	Bacau  [V4.3]
4560	Bade-Wurtemberg
4567	Bahamas
4572	Bahreïn
4598	bail
4606	bail commercial
4613	bail rural
4623	baisse des prix
4633	balance commerciale
4644	balance déficitaire
4661	balance des invisibles
4671	balance des paiements
6403	baleine
4679	Bali
4690	Balkans occidentaux
3248	bancatique
4721	bande
5320	bande de fréquences
4732	Bangladesh
4738	banque
4744	Banque africaine de développement
4752	banque agricole
6336	Banque asiatique de développement
4763	banque centrale
5455	Banque centrale européenne
6337	Banque centraméricaine d'intégration économique
4774	banque commerciale
4784	banque coopérative
4806	banque de développement
6338	Banque de développement des Caraïbes
5044	Banque des règlements internationaux
4795	banque d'investissement
4838	Banque européenne d'investissement
4811	banque foncière
3247	banque industrielle
4872	Banque interaméricaine de développement
8377	Banque internationale pour la reconstruction et le développement  [V4.3]
4812	Banque mondiale
4813	banque populaire
4814	banque privée
4815	banque publique
4816	Barbade
4818	barème de prix
4819	barre
4820	bas salaire
4821	base de données
5456	base juridique
4822	base militaire
4823	Basilicate
6194	Basse-Autriche
4824	Basse-Normandie
4825	Basse-Saxe
5457	bassin rhénan
4827	bateau
4829	bateau de pêche
4830	bateau-citerne
5210	batellerie
4831	bâtiment
152	bâtiment agricole
4832	bâtiment de plaisance
4833	bâtiment industriel
4834	bâtiment public
3755	bauxite
4835	Bavière
4837	beaux-arts
5458	Belarus
4839	Belgique
4841	Belize
4842	bénéfice
4843	bénéficiaire de l'aide
5459	bénéficiaire net
4844	Benelux
3330	bénévolat
4846	Bénin
5460	BERD
4847	Berlin
4848	Bermudes
3835	béryllium
4849	besoin alimentaire
4850	besoin de logement
4851	besoin de main-d'œuvre
4853	besoin en eau
4855	besoin financier
6781	besoins fondamentaux
4856	béton
4857	betterave fourragère
4858	betterave sucrière
4859	BEUC
4860	beurre
4861	beurre végétal
4862	Bhoutan
4864	bibliographie
4865	bibliothèque
4867	bibliothèque nationale
6764	bibliothèque parlementaire
4866	bibliothèque pour la jeunesse
4868	bibliothèque publique
4869	bibliothèque scientifique
4870	bibliothèque universitaire
6067	bibliothèque virtuelle
4871	bicamérisme
4874	bidonville
5461	bien à double usage
4876	bien communal
4877	bien culturel
4878	bien de consommation
3195	bien de production
3197	bien d'équipement
3198	bien d'occasion
4879	bien durable
4880	bien non durable
5317	bien personnel
5462	bien-être des animaux
4881	bien-être social
3193	biens et services
4883	bière
8511	Bihor  [V4.3]
3897	bijouterie orfèvrerie
4884	bilan
4885	bilan d'approvisionnement
4886	bilan énergétique
4887	bilan social
4888	bilinguisme
8412	biocarburant  [V4.3]
4889	biochimie
6385	bioclimatologie
4890	bioconversion
4891	biodégradabilité
5463	biodiversité
4892	bioénergie
5169	bioéthique
4900	biogaz
4905	biographie
3796	bio-industrie
4921	biologie
4930	biomasse
3697	biomatériau
7410	biométrie
3795	bioprocédé
4940	biosphère
3797	biotechnologie
5464	biotope
4950	bipartisme
4959	bipolarisation
4984	biscuiterie
4990	bismuth
8512	Bistrita-Nasaud  [V4.3]
5465	blanchiment d'argent
5466	blanchisserie
4994	blé
5000	blé dur
5010	blé tendre
7998	Blekinge
5011	blocage des prix
3553	blocage des salaires
8413	blog  [V4.3]
7853	Bohême centrale
7840	Bohême du Sud
3884	bois aggloméré
5013	bois de chauffage
5014	bois de construction
5467	bois tropical
5016	boisement
5017	boisson
5018	boisson alcoolisée
1665	boisson gazeuse
5019	boisson non alcoolisée
5020	Bolivie
5468	bombardier
5021	bon du Trésor
5022	Bonaire
5023	bonification d'intérêt
5024	bonneterie
5026	Bornéo
5469	Bosnie-et-Herzégovine
5028	botanique
8505	Botosani  [V4.3]
5029	Botswana
5030	bouddhisme
7339	bouddhiste
6408	boue d'épuration
5031	boulangerie
3825	boulonnerie visserie
5032	Bourgogne
5033	bourse de marchandises
3233	Bourse des valeurs
5034	bovin
5037	Brabant-Septentrional
8528	Braila  [V4.3]
5470	Brandebourg
8500	Brasov  [V4.3]
5039	Brême
5040	Brésil
5041	Bretagne
5042	brevet
5043	brevet européen
6821	brique
7945	brise-glace
5046	brome
5047	brucellose
5048	bruit
5049	Brunei
8490	Bucarest — Ilfov  [V4.3]
5050	budget
4132	budget annexe
5051	budget communautaire
5053	budget de la défense
3652	budget de la recherche
5175	budget de l'enseignement
5052	budget de l'État
5054	budget extraordinaire
5056	budget familial
3254	budget général
5158	budget général CE
7383	budget local
5057	budget opérationnel CECA
5058	budget publicitaire
5059	budget rectificatif
7384	budget régional
3344	budget social
5060	budget social européen
5061	budget supplémentaire
5062	budgétisation
5012	bœuf
5063	Bulgarie
5064	bulletin de vote
5067	bureau de vote
5066	bureau d'information
5068	bureau du Parlement
4174	bureau du PE
4875	Bureau international d'éducation
3708	Bureau international du travail
5069	bureau politique
5071	bureautique
6196	Burgenland
1236	Burkina
5072	Burundi
6148	Businesseurope
3768	butane
5073	butteroil
8529	Buzau  [V4.3]
5074	cabinet fantôme
3859	câble électrique
5471	cabotage aérien
5077	cabotage maritime
5209	cabotage routier
5078	cacao
8414	cachet officiel  [V4.3]
5079	cadastre
3550	cadence de travail
3836	cadmium
5080	cadre
5081	cadre administratif
5472	cadre communautaire d'appui
5084	cadre moyen
5085	cadre supérieur
5088	café
5089	caisse d'épargne
5090	caisse hypothécaire
5091	Calabre
3155	calamité agricole
8522	Calarasi  [V4.3]
5304	calcium
5092	calcul des coûts
5473	calcul scientifique
5474	calendrier de l'UEM
5094	calendrier scolaire
1555	Cambodge
5095	Cameroun
8415	camp de concentration  [V4.3]
5096	campagne agricole
5097	campagne électorale
5098	Campanie
5099	camping
5100	Canada
5101	canal de Panamá
5103	canal de Suez
5211	canal maritime
4172	Canaries
5104	cancer
5105	candidat
5106	canne à sucre
3385	Cantabrie
7341	cantine scolaire
5242	caoutchouc naturel
5241	caoutchouc synthétique
5111	capacité de chargement
5112	capacité de contracter
5113	capacité de jouissance
5123	capacité de production
5140	capacité de stockage
5152	capacité de transport
5110	capacité d'exercice
5161	capacité juridique
6902	capital d'amorçage
5202	capital industriel
7926	capital intellectuel
5218	capital social
5230	capitale
5157	capitaux à risque
5240	capitaux étrangers
5153	capitaux spéculatifs
5252	caprin
5253	capture accessoire
5254	capture autorisée
5255	capture de poissons
5256	capture par espèce
5257	capture totale
5108	Cap-Vert
5259	Caraïbes
8518	Caras-Severin  [V4.3]
5260	carbochimie
5261	carbone
5262	carburant
3776	carburant d'aviation
3738	carburol
5263	carcasse
5264	Caricom
6197	Carinthie
5475	carrière professionnelle
3364	carte de santé
5476	carte d'extension
5266	carte scolaire
5267	cartel
5269	cartographie
3883	carton
5270	cash flow
5271	casier judiciaire
5477	cassette audio
3382	Castille et León
3384	Castille-La Manche
5272	catalogage
5273	Catalogne
5274	catalogue
2873	catégorie sociale défavorisée
5275	catégorie socioprofessionnelle
5163	catholicisme
5276	cautionnement électoral
5327	CECA
5342	Cedefop
5344	CEEA
5345	célibataire
7955	cellule souche
5346	cellulose
6094	Cenelec
5348	censure
5350	centrale nucléaire
5351	centralisation de l'information
5353	centre commercial
5354	Centre commun de recherche
5355	centre de calcul
3725	Centre de développement pour l'Asie et le Pacifique
5356	centre de documentation
6072	Centre de traduction des organes de l'Union européenne
6728	centre d'éducation surveillée
4594	Centre des Nations unies pour le développement régional
5278	Centre du commerce international
6207	Centre européen de l'entreprise publique
7983	Centre européen de prévention et de contrôle des maladies
8395	Centre européen de recherche et de documentation parlementaires  [V4.3]
8378	Centre international pour le règlement des différends relatifs aux investissements  [V4.3]
464	centre médical
5357	centre politique
5282	Centre pour le développement de l'entreprise
7954	Centre satellitaire de l'Union européenne
5358	centre serveur
5248	CEPT
5359	céramique
3693	céramique technique
5480	cercle de qualité
5360	céréale
5361	céréale alimentaire
5363	céréale fourragère
5364	céréale panifiable
5365	CERN
5368	certificat de circulation
5367	certificat d'origine
5369	certificat sanitaire
5481	certification communautaire
6325	certification forestière
6918	cervidé
5372	cessation d'activité
5374	cessation de paiement
3522	cessation d'emploi
5373	cessation d'exploitation agricole
5375	cessez-le-feu
6282	Ceuta
3388	Ceuta et Melilla
5376	chambre de commerce et d'industrie
5377	chambre directement élue
5378	chambre fédérale
5379	chambre parlementaire
5380	champagne
5381	Champagne-Ardenne
5482	changement climatique
5483	changement de régime politique
5382	changement social
5383	changement technologique
5384	chanvre
5385	chaptalisation
5386	charbon
5244	charbon de bois
5387	charbonnage
5388	charge à l'essieu
5390	charge de famille
7187	charge publique
5391	charge utile
5392	chargement
6077	charte africaine des droits de l'homme et des peuples
5484	charte communautaire des droits sociaux fondamentaux des travailleurs
5393	charte de La Havane
3902	charte des droits de l'homme
6286	charte des droits fondamentaux de l'Union européenne
5394	charte des Nations unies
5485	charte européenne
6079	charte européenne de l'énergie
5486	charte internationale
5395	charte sociale européenne
5396	chasse
5397	chaudière
5503	chauffage
5959	chef de gouvernement
5960	chef de l'opposition
5961	chef de ménage
5805	chef d'État
5906	chef d'exploitation agricole
5962	cheptel
5963	chèque
5964	chiffre d'affaires
5965	Chili
5966	chimie
5967	chimie alimentaire
5300	chimie analytique
6386	chimie du sol
5968	chimie industrielle
3789	chimie nucléaire
5969	Chine
5970	chirurgie
6903	chirurgie esthétique
5487	chirurgien
5971	chlore
5972	choix budgétaire
5973	choix de technologie
5974	chômage
5975	chômage conjoncturel
3515	chômage de longue durée
6344	chômage de migrant
5976	chômage déguisé
5977	chômage des femmes
5978	chômage des jeunes
5979	chômage partiel
5980	chômage saisonnier
5981	chômage structurel
5982	chômage technique
5983	chômage technologique
5986	chômeur
6545	chrétien
5987	christianisme
5988	chrome
5989	Chypre
5990	cidre
5993	ciment
5488	cimetière
7959	cimetière militaire
6715	cindynique
5994	cinéma
5489	circonstance aggravante
5490	circonstance atténuante
5995	circulaire
2039	circulation aérienne
3127	circulation routière
6849	circulation urbaine
6765	citation
5491	citoyenneté européenne
5996	civilisation
5997	classe dirigeante
5998	classe inférieure
5999	classe moyenne
6000	classe ouvrière
6001	classe paysanne
6002	classe sociale
6003	classe supérieure
6004	classification
5492	clause abusive
6005	clause compromissoire
5493	clause contractuelle
7188	clause de conscience
6006	clause de répartition
6007	clause de sauvegarde
5494	clause d'exemption
6081	clause sociale
6009	clergé
6010	clientèle
6011	climat
6012	climatisation
6384	climatologie
6171	clonage
6013	clôture des comptes
6014	club politique
8513	Cluj  [V4.3]
6017	coalition politique
3244	coassurance
6018	cobalt
6019	codage
6610	code administratif
5496	code civil
8425	code de commerce  [V4.3]
3482	code de conduite
6020	code de la route
6021	code de navigation
6022	code du travail
6023	code juridique
5497	code pénal
5498	codification du droit communautaire
6024	coexistence pacifique
6025	cofinancement
6026	cogestion
7189	cohabitation politique
5499	cohésion économique et sociale
5500	coiffure et soins esthétiques
6027	coke
6028	collaboration budgétaire
6030	collecte de données
6029	collecte de l'impôt
6031	collecteur solaire
6032	collectivisme
5501	collectivité locale
5502	collectivité régionale
6033	collectivité rurale
6034	collectivité territoriale
6035	collectivité urbaine
7986	Collège européen de police
6036	Colombie
5121	colonialisme
6038	colorant
6039	colorant alimentaire
6040	colorant alimentaire artificiel
6041	colorant alimentaire naturel
6042	colza
6043	combustible
6044	combustible de remplacement
6045	combustible fossile
3792	combustible irradié
6047	combustible nucléaire
5086	Comecon
6048	comité agricole CE
6049	comité CE
5504	Comité conjoint EEE
6050	comité consultatif CE
5505	Comité consultatif conjoint EEE
3729	Comité d'aide au développement
5506	comité de gestion CE
304	comité de la recherche scientifique et technique
6346	comité de l'emploi CE
5507	comité de réglementation CE
6051	comité d'entreprise
6084	comité d'entreprise européen
4051	comité des ambassadeurs ACP-CE
5508	Comité des régions
6053	comité du Conseil de l'Union européenne
6054	Comité économique et social européen
6093	Comité européen de normalisation
8475	Comité militaire de l'UE  [V4.3]
5509	comité mixte CE
6055	comité monétaire CE
4052	comité paritaire ACP-CE
6056	comité paritaire CE
5510	Comité parlementaire conjoint EEE
6057	comité permanent CE
6058	comité permanent ONU
8478	Comité politique et de sécurité  [V4.3]
6059	comité scientifique CE
6060	comité technique CE
5511	comitologie
5322	commémoration
6766	commentaire de loi
3213	commerce ambulant
3212	commerce associé
5	commerce de détail
6	commerce de gros
5513	commerce de l'art
7	commerce des armes
4	commerce d'État
5512	commerce d'organes
6089	commerce électronique
6364	commerce équitable
8	commerce Est-Ouest
9	commerce extérieur
3214	commerce indépendant
3199	commerce intégré
10	commerce intérieur
11	commerce international
5151	commerce Nord-Sud
13	commercialisation
4044	commissaire européen
14	commission ad hoc
7186	Commission centrale pour la navigation du Rhin
15	commission d'enquête
4038	Commission européenne
17	commission ONU
18	commission parlementaire
19	commission PE
21	commission permanente
8386	commission régionale ONU  [V4.3]
22	commission spécialisée
23	commission technique ONU
24	commissionnaire
25	Commonwealth
1190	Communauté andine
5119	communauté autonome
5107	Communauté d'Afrique de l'Est
8399	Communauté de développement de l'Afrique australe  [V4.3]
3390	communauté de Madrid
3391	communauté de Valence
5479	Communauté des États indépendants
8398	Communauté des États sahélo-sahariens  [V4.3]
6159	Communauté économique des États de l'Afrique centrale
5341	Communauté économique des États de l'Afrique de l'Ouest
4586	Communauté économique et monétaire de l'Afrique centrale
5343	Communauté européenne
5514	Communauté flamande
5515	Communauté française
5516	Communauté germanophone
5517	communautés de Belgique
26	Communautés européennes
27	commune
29	communication de masse
5334	communication des données
30	communication par satellite
31	communiqué de presse
32	communisme
33	Comores
8463	compagnie aérienne à bas prix  [V4.3]
34	compagnie d'assurances
35	compétence administrative
36	compétence communautaire
37	compétence d'attribution
39	compétence de l'exécutif
40	compétence des États membres
41	compétence du Parlement
5518	compétence du PE
4030	compétence externe CE
6622	compétence extraterritoriale
4182	compétence institutionnelle
5519	compétence institutionnelle CE
42	compétence juridictionnelle
43	compétence mixte
44	compétence territoriale
45	compétitivité
6789	complément alimentaire
46	complémentarité des échanges
8417	complicité  [V4.3]
47	comportement du consommateur
49	comportement politique
6549	comportement social
50	composant électronique
3810	composé chimique
51	composé minéral
52	composition de la population
53	composition du Parlement
7190	composition d'une commission parlementaire
54	comptabilité
3083	comptabilité économique agricole
55	comptabilité générale
56	comptabilité nationale
58	comptabilité publique
59	comptabilité régionale
60	comptable
61	compte
62	compte consolidé
63	compte d'exploitation
64	comptoir de vente
65	comté
66	concentration de la population
67	concentration des pouvoirs
69	concentration économique
70	concentration industrielle
5520	conception assistée par ordinateur
71	conception de produit
6365	concession de services
72	concessionnaire
2999	conchyliculture
7342	concile
4090	concours administratif
4071	concours CE
73	concours financier
75	concurrence
76	concurrence internationale
78	condensation
79	condiment
5329	condition de la retraite
80	condition de l'aide
82	condition de travail
83	condition de vie
84	condition économique
81	condition féminine
86	condition socio-économique
87	conditionnement
89	conditions atmosphériques
7191	conduite de réunion
5370	Confédération européenne des syndicats
5521	confédération patronale
5522	confédération syndicale
8404	Confédération syndicale internationale  [V4.3]
6016	Conférence des Nations unies sur le commerce et le développement
6083	Conférence des Nations unies sur l'environnement et le développement
7952	conférence des présidents
5523	conférence européenne
5284	Conférence européenne de l'aviation civile
5347	Conférence européenne des ministres des transports
5524	conférence intergouvernementale CE
5525	conférence internationale
5526	Conférence internationale du travail
3130	conférence maritime
91	conférence ONU
3504	Conférence sur le désarmement en Europe
5527	conférence tripartite
